Real Sto Return,Running Update Time,Running Reverse KL,Running Forward KL,Running Env Steps,Reward Loss,Itration,Real Det Return
130.64,0,13.109,30.6293,0,-158.15139770507812,0,126.36
289.69,1,27.6965,30.7939,5000,-168.1785888671875,1,331.67
343.87,2,39.8069,31.1238,10000,-186.4984588623047,2,353.64
336.17,3,43.4966,31.4975,15000,-223.759521484375,3,341.33
392.28,4,50.6636,30.4495,20000,-256.09136962890625,4,422.12
399.66,5,49.1935,31.5634,25000,-255.72216796875,5,406.73
385.37,6,43.4845,31.3896,30000,-323.5377502441406,6,397.84
415.77,7,46.4204,31.4235,35000,-397.3339538574219,7,432.73
409.64,8,45.9786,30.9066,40000,-422.70989990234375,8,418.24
417.01,9,45.4656,31.2057,45000,-473.8809814453125,9,416.89
578.88,10,40.0894,28.5482,50000,-496.163818359375,10,590.12
587.88,11,41.5278,28.015,55000,-525.644287109375,11,633.58
625.79,12,52.4203,27.441,60000,-632.652099609375,12,651.29
750.86,13,57.3741,26.5093,65000,-662.1272583007812,13,844.95
783.34,14,42.1271,27.2942,70000,-657.4702758789062,14,656.65
781.17,15,42.5452,26.9621,75000,-876.68115234375,15,934.02
796.63,16,80.2687,25.0037,80000,-889.1056518554688,16,848.34
977.49,17,35.357,23.532,85000,-663.6682739257812,17,1279.44
812.83,18,52.3824,24.8925,90000,-754.4636840820312,18,699.01
983.16,19,43.6844,24.5087,95000,-685.31494140625,19,916.28
1016.76,20,35.771,22.9471,100000,-739.1994018554688,20,1124.67
1302.77,21,33.0989,23.7416,105000,-605.7744140625,21,2003.71
1517.64,22,29.2227,23.2045,110000,-564.536865234375,22,2781.79
1953.24,23,16.5181,23.8095,115000,-535.19775390625,23,2833.72
2643.88,24,16.8684,22.9572,120000,-538.1220703125,24,2840.5
2691.81,25,16.2606,23.451,125000,-529.209228515625,25,2908.58
1267.07,26,31.3701,23.8589,130000,-823.3430786132812,26,2787.45
2297.12,27,19.9919,23.337,135000,-575.42041015625,27,3053.7
2817.22,28,15.8621,23.7005,140000,-518.4435424804688,28,3074.83
2916.68,29,14.8494,22.7609,145000,-540.5420532226562,29,3082.79
3046.51,30,15.6735,23.3029,150000,-586.7508544921875,30,3033.61
2836.1,31,15.0798,22.6448,155000,-550.2513427734375,31,3071.48
3062.9,32,16.629,22.7327,160000,-613.654052734375,32,3052.82
2574.97,33,20.4688,22.4368,165000,-867.337890625,33,2651.2
2614.15,34,25.3293,23.1989,170000,-918.7127075195312,34,873.79
3032.4,35,16.0937,22.9556,175000,-703.6884765625,35,3022.41
2146.62,36,21.0623,23.1806,180000,-1012.9476318359375,36,954.92
2773.62,37,14.4093,22.5826,185000,-627.9470825195312,37,3083.8
2960.17,38,15.2591,23.0768,190000,-656.8587036132812,38,3084.22
3056.34,39,14.7654,22.6337,195000,-645.2922973632812,39,3072.52
2941.12,40,14.9502,22.0773,200000,-781.11279296875,40,3108.93
3007.29,41,13.5618,22.2001,205000,-688.1751098632812,41,3085.83
3066.06,42,14.6636,22.5926,210000,-666.6277465820312,42,3100.06
2968.13,43,13.7827,21.9105,215000,-720.5459594726562,43,3096.76
2724.57,44,14.5959,21.6952,220000,-788.2998046875,44,3114.08
3060.06,45,14.197,22.2646,225000,-719.7491455078125,45,3088.9
2936.43,46,14.4663,21.4191,230000,-756.549072265625,46,3134.08
2868.95,47,14.9797,21.3586,235000,-880.6463623046875,47,3112.34
3024.13,48,13.5575,21.8496,240000,-721.2407836914062,48,3144.65
3078.83,49,14.3467,22.4137,245000,-788.3602905273438,49,3101.97
3110.94,50,14.2648,22.3133,250000,-744.9417114257812,50,3122.74
3062.95,51,14.4141,22.7199,255000,-846.0759887695312,51,3063.23
3084.39,52,14.4247,22.5577,260000,-825.2467041015625,52,3078.69
3096.99,53,13.6128,21.6649,265000,-805.1685180664062,53,3131.48
3089.82,54,13.7963,21.9309,270000,-862.5471801757812,54,3097.41
3076.15,55,14.4725,22.7652,275000,-871.677001953125,55,3076.62
2954.26,56,13.9861,21.7908,280000,-867.0467529296875,56,3163.36
3095.24,57,13.633,21.8495,285000,-900.5905151367188,57,3132.03
3108.23,58,13.6745,22.0123,290000,-889.6487426757812,58,3112.88
3068.99,59,14.0536,22.3972,295000,-935.9019775390625,59,3141.81
3082.94,60,14.5679,22.7502,300000,-997.7276000976562,60,3091.85
3087.06,61,13.6758,22.0371,305000,-967.1874389648438,61,3090.44
