Itration,Real Det Return,Running Env Steps,Running Update Time,Running Reverse KL,Running Forward KL,Real Sto Return,Reward Loss
0,209.39,0,0,16.6108,32.6384,210.01,-118.30693817138672
1,343.29,5000,1,26.2787,29.9922,338.33,-131.90289306640625
2,363.59,10000,2,39.4902,30.3739,355.8,-248.88121032714844
3,394.82,15000,3,30.9102,30.3074,387.91,-249.42649841308594
4,367.93,20000,4,25.1206,30.2577,362.67,-304.9700012207031
5,370.56,25000,5,33.362,29.8508,372.71,-392.5557861328125
6,395.13,30000,6,24.5659,30.2076,386.1,-432.7710266113281
7,407.0,35000,7,19.6469,28.6947,397.58,-425.0772399902344
8,406.81,40000,8,34.7182,29.2497,397.31,-690.4146118164062
9,369.98,45000,9,15.2769,29.7254,369.82,-513.5267333984375
10,483.59,50000,10,14.9937,28.3744,469.83,-513.6146240234375
11,589.49,55000,11,13.9956,26.6749,540.25,-503.56732177734375
12,755.88,60000,12,22.823,25.8002,761.83,-730.0574951171875
13,712.12,65000,13,34.4258,26.6081,820.83,-933.7489013671875
14,752.74,70000,14,30.1227,26.4891,755.08,-852.52587890625
15,531.87,75000,15,24.9448,26.2936,545.4,-805.4534301757812
16,874.74,80000,16,35.9634,24.9166,1061.9,-991.8948364257812
17,1919.81,85000,17,20.0035,24.571,1211.14,-703.2703247070312
18,2835.03,90000,18,18.0123,24.5526,1988.45,-611.4686279296875
19,1810.47,95000,19,16.0961,24.7107,1455.76,-560.3466186523438
20,902.2,100000,20,23.3791,23.5788,1156.69,-875.8565063476562
21,920.87,105000,21,40.4895,24.4431,1269.97,-989.5860595703125
22,922.69,110000,22,19.3479,23.3493,1357.79,-790.30322265625
23,885.94,115000,23,29.5915,23.5081,2161.55,-832.3524169921875
24,1477.79,120000,24,27.5751,22.7452,2122.08,-833.000732421875
25,999.89,125000,25,24.128,22.2012,1826.78,-923.2726440429688
26,3054.89,130000,26,11.5672,21.5735,2664.39,-430.46417236328125
27,1858.37,135000,27,12.9121,21.2898,2024.86,-555.3623657226562
28,3203.73,140000,28,10.8833,20.696,3063.24,-566.0485229492188
29,1892.6,145000,29,10.7216,20.3722,2076.57,-423.8340759277344
30,1005.13,150000,30,11.2496,19.4501,2344.92,-537.4890747070312
31,2843.79,155000,31,10.3596,19.5618,2836.6,-587.5162353515625
32,3332.09,160000,32,9.9948,18.4141,2612.58,-351.0251770019531
33,2961.92,165000,33,11.2152,19.2606,2655.58,-591.3768920898438
34,999.45,170000,34,14.4465,19.9169,2197.89,-662.8614501953125
35,3311.09,175000,35,10.816,18.8554,3187.44,-514.9883422851562
36,3242.32,180000,36,11.9484,19.8247,3112.17,-463.02606201171875
37,3395.41,185000,37,11.397,18.5012,3139.16,-251.7417449951172
38,3273.14,190000,38,10.0108,17.295,3260.49,-326.0675354003906
39,3434.89,195000,39,9.2554,15.7576,3380.03,-295.2707214355469
40,3369.29,200000,40,9.8933,16.9991,3226.34,-324.9912414550781
41,3417.35,205000,41,11.2183,17.081,3403.27,-259.90045166015625
42,3414.26,210000,42,10.4008,16.3096,3400.99,-264.2508239746094
43,3406.27,215000,43,10.5401,16.9837,3382.59,-285.8210754394531
44,3372.11,220000,44,7.7032,14.609,3348.65,-192.91078186035156
45,3417.24,225000,45,8.6791,14.6836,3401.72,-184.76229858398438
46,3456.74,230000,46,8.9946,15.5693,3416.44,-119.5218734741211
47,3439.53,235000,47,8.648,15.0638,3413.42,-219.14959716796875
48,3455.43,240000,48,8.3421,14.9111,3428.96,-124.1762466430664
49,3424.69,245000,49,10.0298,15.8624,3404.78,-203.76536560058594
50,3457.23,250000,50,8.7315,15.4946,3421.63,-224.17218017578125
51,3485.79,255000,51,10.6953,15.3411,3062.57,-359.9595031738281
52,3426.77,260000,52,9.4751,16.365,3413.83,-267.06500244140625
53,3474.48,265000,53,10.5385,16.0958,3424.27,-387.8563232421875
54,3457.49,270000,54,9.1137,15.5478,3444.02,-212.39146423339844
55,3461.3,275000,55,9.9965,15.6255,3078.25,-321.5321044921875
56,3461.73,280000,56,10.2398,16.7256,3429.94,-321.4033203125
57,3478.58,285000,57,10.4676,16.2374,3359.22,-389.625
58,3455.14,290000,58,8.4569,15.7324,3269.88,-231.40576171875
59,3459.91,295000,59,9.2761,15.9824,3385.28,-253.12997436523438
60,3445.78,300000,60,8.1023,15.2223,3426.21,-234.45465087890625
61,3399.42,305000,61,8.4946,15.2949,3388.35,-244.12855529785156
62,3444.39,310000,62,10.4262,16.5385,3267.18,-424.45440673828125
63,3398.9,315000,63,9.1442,15.4847,3372.62,-307.08306884765625
64,3400.99,320000,64,9.3829,15.6748,3391.88,-341.1923828125
65,3460.26,325000,65,9.2035,15.5662,3426.51,-206.8412322998047
66,3459.39,330000,66,8.6934,15.6407,3222.54,-355.8233947753906
67,3423.02,335000,67,9.0638,15.6022,3283.96,-381.2315673828125
68,3431.57,340000,68,10.0597,16.3892,3385.2,-321.9056396484375
69,3443.78,345000,69,8.3,14.9166,3404.47,-243.15599060058594
70,3421.09,350000,70,8.4256,15.4779,3389.41,-335.32635498046875
71,3455.7,355000,71,8.4921,15.5202,3346.9,-255.7922821044922
72,3445.93,360000,72,8.9002,15.3309,3416.95,-184.9743194580078
73,3445.54,365000,73,8.3533,14.8681,3363.69,-239.2246856689453
74,3442.53,370000,74,8.1165,15.0517,3260.58,-252.3712158203125
75,3450.69,375000,75,8.3389,14.8423,3412.37,-290.2044372558594
76,3468.6,380000,76,8.3713,15.1132,3435.61,-243.40919494628906
77,3455.54,385000,77,8.7831,15.313,3068.41,-287.23980712890625
78,3444.65,390000,78,8.6126,15.5174,3412.4,-278.19219970703125
79,3465.45,395000,79,8.6324,14.9918,3420.35,-218.672607421875
80,3439.73,400000,80,7.7027,14.7704,3346.54,-333.6357116699219
81,3424.81,405000,81,7.9746,14.743,3321.6,-287.5712585449219
82,3443.05,410000,82,8.8663,15.6956,3130.1,-419.82757568359375
83,3429.5,415000,83,8.1361,14.8019,3230.06,-363.757568359375
84,3460.53,420000,84,8.2641,14.5342,3430.16,-215.4002227783203
85,3445.04,425000,85,9.728,15.5628,3195.46,-504.7032165527344
86,3467.18,430000,86,8.2828,14.7587,3349.2,-233.62969970703125
87,3437.23,435000,87,8.57,14.8539,3400.93,-337.6075744628906
88,3461.38,440000,88,13.9619,16.4532,2824.76,-768.47412109375
89,3428.69,445000,89,8.6356,15.1277,3376.49,-260.9191589355469
90,3423.33,450000,90,10.7803,15.6997,3233.16,-474.6211853027344
91,3430.94,455000,91,8.3186,14.7213,3200.7,-314.6855773925781
92,3437.53,460000,92,7.4667,14.2138,3373.23,-246.3441619873047
93,3429.38,465000,93,7.9515,14.8358,3353.42,-352.3133850097656
94,3435.21,470000,94,7.9968,14.6549,3387.13,-411.6336364746094
95,3423.88,475000,95,8.5506,14.8175,3367.24,-359.372802734375
96,3408.77,480000,96,8.1221,14.6009,3367.88,-291.9537048339844
97,3457.5,485000,97,8.2106,14.8581,3386.82,-287.726318359375
98,3432.3,490000,98,7.9932,14.3577,3329.99,-331.9399719238281
99,3424.12,495000,99,7.8942,14.5232,3254.8,-311.5928039550781
100,3428.6,500000,100,7.6595,14.1353,3379.42,-336.8204650878906
101,3411.95,505000,101,7.9864,14.2392,3363.13,-341.2032165527344
102,3424.63,510000,102,8.1719,14.5703,3392.23,-332.9742431640625
103,3409.67,515000,103,7.9208,14.3383,3386.1,-356.72418212890625
104,3419.2,520000,104,8.5682,15.144,3346.01,-439.1807556152344
105,3446.29,525000,105,8.0276,14.4198,3397.82,-324.2526550292969
106,3429.74,530000,106,7.6478,14.2911,3385.43,-294.2042541503906
107,3444.41,535000,107,7.6984,14.0567,3413.87,-250.74874877929688
108,3409.17,540000,108,7.6031,14.3829,3356.71,-373.2898254394531
109,3429.51,545000,109,7.7436,13.9212,3386.61,-254.60546875
110,3448.73,550000,110,7.9201,14.7995,3171.24,-335.8188171386719
111,3443.5,555000,111,8.049,14.4355,3380.21,-335.9942626953125
112,3422.55,560000,112,7.7858,14.4482,3375.38,-370.4870910644531
113,3422.19,565000,113,7.5741,13.7713,3393.68,-312.9732666015625
114,3451.04,570000,114,8.2909,14.3468,3411.2,-386.3507385253906
115,3445.22,575000,115,7.6239,13.9845,3402.23,-305.7843017578125
116,3448.21,580000,116,8.188,14.5981,3399.39,-339.8805236816406
117,3418.9,585000,117,7.6267,14.3825,3345.12,-297.95721435546875
118,3441.07,590000,118,7.3158,14.3202,3381.21,-317.22021484375
119,3438.92,595000,119,7.5693,14.0471,3409.33,-313.95574951171875
120,3431.42,600000,120,7.576,14.5267,3173.88,-454.84197998046875
121,3430.69,605000,121,7.5115,14.5978,3323.08,-433.8648681640625
122,3449.86,610000,122,8.1311,14.79,3349.5,-348.9992370605469
123,3423.75,615000,123,7.7154,14.0604,3384.37,-397.85467529296875
124,3414.6,620000,124,7.6008,14.1323,3375.18,-350.58856201171875
125,3441.2,625000,125,7.6441,14.4881,3397.06,-383.1202392578125
126,3434.11,630000,126,7.4898,13.7626,3392.64,-356.7103576660156
127,3435.07,635000,127,8.0985,15.1168,3337.51,-415.0369567871094
128,3433.14,640000,128,7.8556,14.2873,3378.01,-400.1805725097656
129,3443.6,645000,129,7.9242,14.5896,3360.84,-386.5823669433594
130,3430.26,650000,130,7.7688,14.6578,3390.26,-409.7813720703125
131,3434.73,655000,131,8.3217,14.3315,3351.87,-510.8028259277344
132,3446.45,660000,132,9.0823,14.9497,3396.17,-620.5530395507812
133,3436.82,665000,133,8.0358,14.3035,3363.48,-417.471923828125
134,3466.61,670000,134,7.9255,14.8025,3282.39,-372.2145080566406
135,3453.29,675000,135,7.7438,14.6272,3397.63,-420.4407043457031
136,3439.85,680000,136,8.066,14.2296,3399.6,-391.1603698730469
137,3447.46,685000,137,8.1131,14.3721,3333.66,-436.6250305175781
138,3428.25,690000,138,7.624,14.2981,3390.8,-405.21832275390625
139,3453.32,695000,139,7.8924,14.7078,3399.9,-461.38104248046875
140,3442.22,700000,140,7.9279,14.4485,3334.63,-407.9291687011719
141,3451.58,705000,141,8.6008,14.8044,3404.9,-502.3969421386719
142,3446.71,710000,142,7.642,14.134,3262.9,-426.1366271972656
143,3437.36,715000,143,7.9432,14.3733,3397.18,-449.5119323730469
144,3466.35,720000,144,8.9701,14.6869,3237.47,-686.880615234375
145,3452.37,725000,145,7.7637,13.9002,3286.94,-504.4826354980469
146,3445.43,730000,146,8.2416,14.351,3333.05,-401.86529541015625
147,3457.26,735000,147,8.6472,14.9686,3362.91,-448.48541259765625
148,3469.28,740000,148,8.7125,14.7397,3403.35,-620.7928466796875
149,3455.37,745000,149,7.6336,14.1451,3429.12,-449.3753662109375
150,3440.78,750000,150,7.9597,14.3586,3277.24,-510.28387451171875
151,3450.92,755000,151,7.8818,13.9741,3296.53,-450.6058654785156
152,3467.11,760000,152,7.6792,14.0547,3425.79,-384.6286926269531
153,3458.53,765000,153,7.7283,14.302,3247.59,-536.0149536132812
154,3450.54,770000,154,7.5964,14.0894,3343.77,-432.37701416015625
155,3451.23,775000,155,7.6271,14.0457,3353.15,-529.6551513671875
156,3446.44,780000,156,7.8275,14.439,3397.43,-518.6945190429688
157,3457.27,785000,157,7.8231,13.8382,3309.43,-488.83807373046875
158,3447.07,790000,158,10.182,14.9216,3188.48,-766.2938842773438
159,3455.28,795000,159,7.8902,14.045,3300.8,-512.8514404296875
160,3476.6,800000,160,7.9422,14.3753,3378.82,-499.2209777832031
161,3467.42,805000,161,7.7138,14.082,3334.19,-490.1031494140625
162,3446.98,810000,162,7.9309,14.3453,3291.07,-508.92083740234375
163,3462.41,815000,163,7.6287,14.1731,3321.7,-569.8788452148438
