Running Update Time,Running Env Steps,Real Det Return,Running Forward KL,Reward Loss,Running Reverse KL,Real Sto Return,Itration
54,270000,616.34,70.0502,-717.3118286132812,30.1587,176.21,54
55,275000,797.55,72.9169,-747.5675048828125,30.5152,187.4,55
56,280000,759.26,71.9027,-761.5390014648438,30.6169,228.37,56
57,285000,514.53,69.7116,-767.8717041015625,29.7845,163.61,57
58,290000,502.53,68.8747,-774.9474487304688,29.944,227.18,58
59,295000,789.15,71.8903,-806.2373657226562,29.9501,188.4,59
60,300000,536.72,70.9506,-834.1961669921875,31.7086,285.91,60
61,305000,580.85,71.2586,-845.0834350585938,30.3401,200.13,61
62,310000,688.24,70.915,-862.49853515625,31.0132,242.74,62
63,315000,497.26,72.836,-885.5543212890625,30.5721,216.03,63
64,320000,733.67,70.4995,-892.6281127929688,29.9733,215.8,64
65,325000,755.77,68.5504,-897.2314453125,29.4337,202.1,65
66,330000,822.47,70.7276,-941.1150512695312,30.0349,211.55,66
67,335000,662.87,72.6567,-957.6309814453125,30.7843,191.9,67
68,340000,559.63,68.9346,-965.326416015625,29.6265,176.12,68
69,345000,805.71,70.4486,-994.9450073242188,30.5963,211.0,69
70,350000,742.29,69.9834,-1007.1976318359375,29.262,191.92,70
71,355000,534.61,71.9737,-1042.66162109375,30.6941,254.94,71
72,360000,720.26,71.3507,-1062.1500244140625,30.5707,220.41,72
73,365000,791.45,69.8799,-1069.57666015625,30.5346,254.82,73
74,370000,756.6,73.2833,-1116.3768310546875,31.4251,222.61,74
75,375000,733.04,67.3229,-1091.91943359375,29.2903,175.41,75
76,380000,746.76,71.4539,-1147.8282470703125,30.7281,338.33,76
77,385000,852.12,71.8047,-1174.6640625,30.6327,269.29,77
78,390000,611.78,69.5339,-1177.1790771484375,30.79,258.85,78
79,395000,618.64,70.0157,-1212.5770263671875,30.6084,219.74,79
80,400000,717.31,71.7222,-1237.7064208984375,30.7728,296.98,80
81,405000,663.36,70.6478,-1249.7227783203125,30.7828,261.62,81
82,410000,805.1,69.2051,-1268.5548095703125,30.7131,260.72,82
83,415000,642.44,71.5457,-1297.3868408203125,30.3778,255.98,83
84,420000,923.44,73.4523,-1343.9666748046875,31.4281,248.1,84
85,425000,848.78,71.6866,-1344.8092041015625,30.6331,231.99,85
86,430000,795.23,66.9208,-1324.714599609375,29.4915,287.8,86
87,435000,839.57,69.6885,-1388.03662109375,29.9474,273.89,87
88,440000,837.54,72.2865,-1433.08935546875,30.6037,276.1,88
89,445000,942.48,69.8867,-1430.6309814453125,30.0746,271.88,89
90,450000,683.54,71.8219,-1477.587890625,31.0057,166.11,90
91,455000,820.68,71.8643,-1509.7237548828125,30.7802,222.14,91
92,460000,534.42,69.9574,-1506.2052001953125,29.4474,236.68,92
93,465000,822.19,72.7837,-1547.050048828125,31.3054,259.01,93
94,470000,749.04,69.9321,-1564.677978515625,31.0769,278.43,94
95,475000,913.08,68.49,-1562.680908203125,29.532,221.79,95
96,480000,852.15,71.0804,-1619.475341796875,30.7984,258.63,96
97,485000,989.5,71.4818,-1661.98876953125,30.2209,294.86,97
98,490000,738.66,69.4517,-1661.7337646484375,30.1505,213.32,98
99,495000,839.27,72.2123,-1714.8974609375,30.3739,223.74,99
100,500000,865.35,71.1713,-1740.0408935546875,30.3857,244.76,100
101,505000,971.51,70.0398,-1760.1251220703125,30.2069,270.52,101
102,510000,878.99,68.8666,-1758.9466552734375,29.9523,248.93,102
103,515000,918.88,70.0153,-1822.99609375,30.1019,259.13,103
104,520000,906.78,68.8472,-1817.352783203125,29.8374,257.48,104
105,525000,846.64,70.971,-1875.123779296875,30.4883,284.84,105
106,530000,789.62,70.1986,-1902.65478515625,30.4343,198.46,106
107,535000,935.25,72.2732,-1956.3831787109375,30.8981,261.36,107
108,540000,638.39,72.4863,-2003.8487548828125,31.2515,272.45,108
109,545000,677.65,71.9391,-2023.4422607421875,31.0034,285.84,109
110,550000,851.87,70.3335,-2023.1968994140625,30.0513,250.48,110
111,555000,365.81,70.2121,-2048.428466796875,30.2441,174.61,111
112,560000,815.75,70.3599,-2100.2197265625,30.5334,274.74,112
113,565000,810.59,69.4261,-2108.75537109375,29.7038,279.24,113
114,570000,817.13,70.5701,-2160.198974609375,29.9083,247.05,114
115,575000,879.0,70.5573,-2212.254150390625,30.0347,333.8,115
116,580000,769.84,70.9452,-2225.4892578125,30.0384,237.12,116
117,585000,990.57,70.9336,-2284.9599609375,29.9418,281.86,117
118,590000,692.75,70.334,-2289.691162109375,30.2806,336.56,118
119,595000,861.77,69.896,-2328.0458984375,30.4271,271.39,119
120,600000,682.85,70.3526,-2365.134033203125,30.3301,248.12,120
121,605000,660.49,70.8615,-2421.471435546875,30.4017,189.52,121
122,610000,742.38,70.8413,-2465.425048828125,30.2093,278.43,122
123,615000,939.53,70.1652,-2499.9375,30.3772,267.72,123
124,620000,900.83,70.7607,-2552.7998046875,30.8465,260.17,124
125,625000,687.87,72.1733,-2591.275146484375,30.2481,233.61,125
126,630000,822.56,71.4339,-2636.624755859375,30.0302,192.79,126
127,635000,935.44,73.1771,-2683.637451171875,30.9015,301.0,127
128,640000,780.62,71.9345,-2682.2451171875,30.0052,219.91,128
129,645000,908.05,72.4852,-2764.673828125,31.1106,322.66,129
130,650000,779.36,70.7156,-2750.173583984375,30.0402,250.41,130
131,655000,716.87,72.8171,-2825.61669921875,30.8173,201.7,131
132,660000,743.92,72.7747,-2859.268798828125,30.2437,242.62,132
133,665000,766.73,71.1841,-2895.250732421875,30.377,259.28,133
134,670000,931.37,70.064,-2912.328125,30.0158,301.04,134
135,675000,757.17,72.1771,-2960.806396484375,30.3154,272.15,135
136,680000,709.87,70.5633,-3007.487548828125,30.7932,257.78,136
137,685000,899.24,72.3524,-3110.601806640625,30.9003,298.32,137
138,690000,920.56,70.3614,-3106.72705078125,30.3632,302.4,138
139,695000,995.08,71.3541,-3146.763427734375,30.2045,251.22,139
140,700000,689.88,69.0767,-3102.50341796875,29.7973,292.85,140
141,705000,886.1,71.2428,-3217.00732421875,29.6682,221.97,141
142,710000,863.01,71.2295,-3259.420166015625,30.1532,285.99,142
143,715000,882.11,71.0878,-3328.6796875,30.1596,297.01,143
144,720000,1017.46,70.5951,-3385.758544921875,29.7089,341.2,144
145,725000,982.61,69.1726,-3383.178955078125,29.9654,322.26,145
146,730000,832.27,69.9657,-3434.013671875,29.8506,259.34,146
147,735000,781.99,72.5,-3559.072021484375,30.1474,265.24,147
148,740000,774.45,70.8617,-3599.370361328125,29.9777,231.89,148
149,745000,932.37,71.6714,-3660.3779296875,30.155,350.57,149
150,750000,1030.77,68.1177,-3568.77587890625,30.2787,322.66,150
151,755000,878.38,70.62,-3692.949951171875,30.5856,299.61,151
152,760000,641.23,72.114,-3802.8544921875,30.2201,246.33,152
153,765000,936.12,71.8809,-3854.421875,30.7682,344.76,153
154,770000,862.26,70.1458,-3845.404052734375,30.2191,330.42,154
155,775000,894.51,69.0451,-3893.01416015625,29.9397,384.94,155
156,780000,689.62,73.3268,-4053.661376953125,30.8071,283.46,156
157,785000,827.31,72.0507,-4058.579833984375,30.4827,273.78,157
158,790000,844.45,74.4848,-4176.02197265625,30.3776,297.94,158
159,795000,875.46,71.5986,-4159.49462890625,30.7702,301.62,159
160,800000,812.54,71.3088,-4266.1865234375,30.4914,341.85,160
161,805000,977.25,70.3096,-4289.47216796875,30.016,300.34,161
162,810000,946.68,73.0373,-4376.71728515625,30.8136,343.19,162
163,815000,798.44,73.7445,-4494.00830078125,31.0005,298.54,163
164,820000,920.7,73.1194,-4497.59033203125,30.7335,337.4,164
165,825000,917.91,72.8689,-4557.84228515625,30.2119,290.26,165
166,830000,712.62,70.8737,-4623.072265625,30.2876,321.07,166
167,835000,862.83,73.1311,-4715.7060546875,30.3062,296.33,167
168,840000,947.09,72.1255,-4826.05517578125,30.6216,323.27,168
169,845000,902.48,72.6111,-4859.16162109375,30.9481,297.88,169
170,850000,893.05,71.5302,-4854.814453125,30.6302,330.13,170
171,855000,954.25,73.3937,-4989.60595703125,31.0071,334.15,171
172,860000,870.39,69.9928,-4993.14208984375,30.3148,352.88,172
173,865000,923.31,71.429,-5035.08154296875,29.688,290.51,173
174,870000,969.62,70.7207,-5097.02001953125,30.255,293.08,174
175,875000,1003.17,70.1149,-5164.02099609375,30.6793,252.8,175
176,880000,856.37,72.754,-5360.111328125,30.3944,262.95,176
177,885000,890.88,70.8439,-5308.4716796875,29.7635,291.68,177
178,890000,716.4,71.6007,-5389.33837890625,30.3306,316.13,178
179,895000,906.7,73.1936,-5528.15625,31.5296,286.79,179
180,900000,1024.65,70.3635,-5487.49658203125,30.0791,331.01,180
181,905000,960.72,69.8771,-5478.1650390625,29.9077,298.0,181
182,910000,908.25,72.3019,-5738.7822265625,30.9231,307.68,182
183,915000,758.16,71.5595,-5807.03662109375,30.5659,316.81,183
184,920000,970.34,71.1551,-5791.69140625,30.4441,297.33,184
185,925000,909.7,71.4913,-5936.22998046875,30.6075,283.78,185
186,930000,821.45,72.3035,-5987.15478515625,30.0538,210.16,186
187,935000,778.9,71.3074,-6042.54296875,30.5023,300.73,187
188,940000,797.36,72.0314,-6152.62548828125,30.3781,311.97,188
189,945000,827.52,72.0436,-6184.99169921875,29.7893,290.43,189
190,950000,908.71,71.3618,-6347.59912109375,30.5645,316.79,190
191,955000,1014.43,67.151,-6085.0654296875,29.6025,360.51,191
192,960000,1028.87,69.4233,-6370.35693359375,30.0728,344.29,192
193,965000,1011.82,72.4946,-6596.47314453125,30.8484,322.51,193
194,970000,917.19,72.4947,-6645.8232421875,30.7478,360.15,194
195,975000,718.89,70.7946,-6654.046875,30.5851,352.13,195
196,980000,868.3,72.1017,-6811.76318359375,30.7682,280.69,196
197,985000,919.77,70.7578,-6745.44140625,30.7035,349.04,197
198,990000,966.82,72.0233,-6984.54345703125,30.0625,261.45,198
199,995000,769.37,71.9924,-7019.04443359375,30.2863,277.59,199
200,1000000,750.67,73.0879,-7159.64013671875,30.2018,261.24,200
201,1005000,994.93,73.0803,-7186.65576171875,30.3837,295.93,201
202,1010000,804.74,71.7236,-7281.8232421875,30.2888,348.8,202
203,1015000,911.44,74.1713,-7441.59228515625,30.4179,317.53,203
204,1020000,659.13,71.8428,-7511.833984375,30.852,215.98,204
205,1025000,805.39,72.8124,-7555.76123046875,30.8641,275.57,205
206,1030000,906.69,73.0803,-7599.36083984375,30.6193,312.46,206
207,1035000,605.64,72.4728,-7734.11474609375,30.4168,321.76,207
208,1040000,658.96,72.294,-7849.23095703125,30.4338,263.06,208
209,1045000,714.75,73.664,-7953.10302734375,30.7348,274.45,209
210,1050000,760.63,73.4186,-7922.4287109375,30.2262,230.39,210
211,1055000,801.04,72.1088,-8047.90380859375,30.0026,225.9,211
212,1060000,607.72,73.1307,-8228.2314453125,30.3337,234.52,212
213,1065000,706.04,73.2491,-8284.66015625,30.567,273.93,213
214,1070000,904.28,73.6913,-8407.1572265625,30.5001,225.35,214
215,1075000,1002.45,73.221,-8457.0126953125,30.8447,295.6,215
216,1080000,817.31,72.3866,-8559.4775390625,29.835,243.23,216
217,1085000,965.39,73.6334,-8643.345703125,30.3374,275.98,217
218,1090000,859.68,73.2364,-8836.3173828125,30.2835,210.87,218
219,1095000,615.38,74.1489,-8816.498046875,30.9086,273.83,219
220,1100000,853.27,74.6213,-8972.0576171875,30.8828,268.8,220
