Running Forward KL,Running Reverse KL,Real Det Return,Running Update Time,Running Env Steps,Real Sto Return,Reward Loss,Itration
74.9612,25.6611,270.96,0,0,-109.11,21.992488861083984,0
73.0358,25.3532,385.23,1,5000,-86.3,-0.0212937593460083,1
74.6727,28.1501,410.75,2,10000,-44.06,-9.169496536254883,2
72.7834,26.5844,395.87,3,15000,-12.74,-28.544105529785156,3
72.9999,27.9283,542.07,4,20000,38.55,-37.29904556274414,4
73.4792,28.3365,546.92,5,25000,43.22,-50.8994255065918,5
73.136,29.3813,542.98,6,30000,37.86,-62.769493103027344,6
73.0441,30.9022,711.0,7,35000,118.33,-77.69412231445312,7
74.5827,31.647,701.82,8,40000,114.16,-91.45734405517578,8
74.2686,30.5927,702.17,9,45000,87.79,-99.72540283203125,9
73.5451,31.774,680.55,10,50000,128.28,-114.74024200439453,10
71.9973,31.2975,889.45,11,55000,156.97,-125.84200286865234,11
72.8676,31.6696,721.99,12,60000,163.23,-139.9873809814453,12
73.1385,31.1677,679.31,13,65000,160.5,-151.67031860351562,13
73.5522,31.7706,609.42,14,70000,157.86,-165.05018615722656,14
72.386,31.5049,584.26,15,75000,151.49,-179.07130432128906,15
72.7894,31.0429,449.25,16,80000,171.97,-191.25949096679688,16
73.1408,31.2695,617.39,17,85000,202.42,-204.6873016357422,17
74.7436,32.3437,655.75,18,90000,148.46,-222.30123901367188,18
73.911,31.5589,784.59,19,95000,126.63,-227.4528350830078,19
73.1691,32.019,641.24,20,100000,160.4,-238.63711547851562,20
73.3829,31.2766,617.35,21,105000,162.09,-256.7530212402344,21
73.484,31.5335,832.93,22,110000,257.79,-268.1994323730469,22
71.8042,30.9982,754.66,23,115000,194.64,-282.40716552734375,23
71.9605,31.8879,685.19,24,120000,206.85,-294.4394836425781,24
74.4032,32.1753,870.82,25,125000,224.43,-312.2442932128906,25
76.1481,32.1111,905.32,26,130000,172.94,-328.01776123046875,26
72.9927,31.3199,822.87,27,135000,184.35,-335.58935546875,27
72.7028,31.2882,672.74,28,140000,188.26,-348.1123962402344,28
73.4233,31.403,866.11,29,145000,229.17,-363.54376220703125,29
73.3796,31.7118,826.12,30,150000,202.05,-378.6674499511719,30
72.0804,30.8786,824.44,31,155000,158.08,-384.08026123046875,31
73.0011,31.4367,753.34,32,160000,131.56,-403.83172607421875,32
73.6981,30.8326,816.08,33,165000,214.35,-417.36376953125,33
71.8317,31.4795,724.99,34,170000,203.04,-427.442138671875,34
70.3612,31.0425,731.98,35,175000,250.39,-439.6910705566406,35
74.2426,32.1722,766.66,36,180000,213.9,-465.4371032714844,36
71.352,31.1634,764.94,37,185000,220.29,-468.1793212890625,37
73.1869,31.7126,829.82,38,190000,230.86,-491.0246276855469,38
71.0913,30.2418,845.88,39,195000,215.0,-497.17095947265625,39
72.1436,30.5927,901.77,40,200000,250.3,-512.7027587890625,40
69.3698,30.5307,818.32,41,205000,288.23,-518.8109741210938,41
70.4676,30.5991,871.47,42,210000,220.51,-537.7012939453125,42
72.2818,30.7081,795.44,43,215000,204.09,-558.257080078125,43
73.2301,31.1665,798.98,44,220000,264.52,-576.7752685546875,44
72.1651,30.8109,867.34,45,225000,261.54,-590.19287109375,45
72.5816,31.1231,863.18,46,230000,262.35,-605.0982055664062,46
71.4051,30.9455,821.23,47,235000,206.86,-617.7095336914062,47
72.3032,31.1084,767.87,48,240000,254.96,-635.7916259765625,48
73.0261,31.6456,829.47,49,245000,309.09,-653.0269165039062,49
72.2983,30.9921,876.15,50,250000,236.07,-663.9791870117188,50
71.3641,31.2594,895.24,51,255000,267.98,-680.2023315429688,51
72.6697,31.4128,806.24,52,260000,185.03,-700.5975341796875,52
73.597,31.2166,972.27,53,265000,263.24,-719.5037841796875,53
71.6122,31.1865,842.34,54,270000,263.83,-735.3159790039062,54
71.0613,30.9442,952.78,55,275000,286.22,-749.8431396484375,55
72.626,30.8916,824.76,56,280000,257.44,-769.3175659179688,56
71.7642,31.403,815.79,57,285000,232.66,-782.6289672851562,57
71.9456,30.5608,836.3,58,290000,258.74,-795.6202392578125,58
72.1103,31.215,851.86,59,295000,285.63,-819.949462890625,59
70.8874,30.7403,897.81,60,300000,286.19,-834.0183715820312,60
72.6253,31.5127,984.1,61,305000,269.42,-859.4854125976562,61
72.3671,30.5673,909.87,62,310000,323.9,-871.20703125,62
72.9674,31.3945,811.18,63,315000,303.51,-896.04833984375,63
73.021,31.7334,942.71,64,320000,302.82,-907.1889038085938,64
71.5918,31.2268,817.7,65,325000,294.3,-928.8501586914062,65
73.2892,31.8272,938.09,66,330000,294.56,-954.385498046875,66
72.6438,31.9629,798.31,67,335000,286.82,-974.5507202148438,67
71.3404,31.1124,972.81,68,340000,320.52,-990.1441040039062,68
73.6816,31.6066,925.38,69,345000,276.95,-1012.91845703125,69
72.6327,31.4436,894.91,70,350000,319.19,-1038.7989501953125,70
71.1246,30.7249,1016.92,71,355000,303.97,-1048.8931884765625,71
69.9489,30.4084,930.08,72,360000,339.12,-1053.6812744140625,72
