Real Sto Return,Running Env Steps,Itration,Real Det Return,Reward Loss,Running Forward KL,Running Update Time,Running Reverse KL
350.93,0,0,272.02,174.03172302246094,49.3739,0,12.7878
395.82,5000,1,395.45,142.80987548828125,49.064,1,13.8052
309.47,10000,2,556.29,106.9930191040039,49.1865,2,13.8722
503.2,15000,3,662.37,91.73910522460938,48.2591,3,13.3429
392.39,20000,4,461.52,120.84981536865234,49.1571,4,13.4017
466.08,25000,5,475.69,91.45365905761719,48.7449,5,12.2703
374.87,30000,6,365.13,123.1554183959961,48.8121,6,14.3408
535.14,35000,7,492.2,55.6045036315918,48.5353,7,14.6017
516.17,40000,8,509.87,82.30349731445312,48.885,8,21.543
557.67,45000,9,570.28,27.16289520263672,48.8111,9,13.5186
575.0,50000,10,587.48,0.6163120269775391,48.3814,10,13.6371
570.1,55000,11,625.39,19.0007381439209,48.979,11,16.7956
628.84,60000,12,660.11,0.179290771484375,48.3485,12,15.8035
668.24,65000,13,654.56,-38.63993453979492,48.0151,13,16.9387
671.27,70000,14,752.51,-36.610992431640625,48.3241,14,14.3697
816.99,75000,15,749.74,-43.01247024536133,47.7463,15,14.5299
853.28,80000,16,940.26,-35.146549224853516,47.2166,16,17.4346
902.41,85000,17,1037.79,-56.392818450927734,47.0822,17,13.0148
786.35,90000,18,811.73,-73.84912872314453,47.285,18,15.0445
1210.41,95000,19,1506.81,-73.56082153320312,46.9091,19,13.3099
1196.74,100000,20,1391.15,-83.13591766357422,47.0869,20,15.0739
1564.46,105000,21,1793.63,-98.81321716308594,46.9544,21,17.3415
2136.79,110000,22,2345.95,-100.627197265625,46.5274,22,17.4867
2269.63,115000,23,2182.14,-129.84487915039062,47.5093,23,17.7447
1858.26,120000,24,2367.76,-130.36993408203125,47.3206,24,17.8247
1906.09,125000,25,1119.22,-115.0326919555664,47.2739,25,22.6923
2037.31,130000,26,2653.39,-132.6639862060547,46.8864,26,18.5099
1935.06,135000,27,2698.4,-151.12948608398438,46.9079,27,18.1651
2195.63,140000,28,2760.97,-141.84036254882812,45.6961,28,16.9009
2816.67,145000,29,2892.11,-153.92172241210938,46.7666,29,19.3754
2735.08,150000,30,2964.68,-151.6526641845703,47.1439,30,22.603
2991.29,155000,31,2971.35,-158.4097137451172,46.2047,31,20.7017
