Running Reverse KL,Real Sto Return,Running Forward KL,Itration,Real Det Return
25.3964,-110.11,73.5869,0,551.89
24.8477,-28.21,73.2508,1,477.35
26.591,-34.09,71.9956,2,634.61
27.2185,13.28,70.6618,3,714.22
27.503,102.91,71.569,4,630.6
29.8182,111.79,71.5248,5,624.39
29.6475,181.79,71.7676,6,680.77
29.0384,217.62,65.3304,7,1231.42
29.3072,295.1,68.6216,8,613.74
28.0953,211.15,65.5996,9,777.25
30.1139,233.96,69.3621,10,983.51
28.7135,302.92,66.8015,11,781.16
30.0347,249.67,67.8572,12,990.77
28.108,319.55,65.3944,13,688.36
28.8726,515.15,66.7635,14,1144.78
26.6,444.73,62.6136,15,974.33
27.3763,257.57,64.7389,16,605.76
25.8938,768.88,58.338,17,1566.71
26.8466,568.52,62.2436,18,1722.13
27.312,515.9,64.9552,19,1461.84
26.474,705.67,62.9113,20,1445.0
24.9105,1228.77,56.9742,21,2008.65
26.7806,1059.83,60.3378,22,1906.24
26.1035,1035.99,63.9603,23,2232.18
26.7736,793.65,62.4501,24,1775.82
27.8473,1355.89,60.7264,25,3165.95
27.7746,1835.62,59.7706,26,3054.6
27.4163,2314.71,61.6502,27,3154.08
29.7154,1539.98,63.1027,28,2030.12
36.8789,2347.39,64.4055,29,3352.39
32.3843,1578.21,63.0024,30,2830.04
31.5215,1952.27,63.7525,31,3135.69
27.9086,1492.42,62.6911,32,1965.34
32.1187,2173.64,63.9064,33,2210.51
30.7134,1650.75,65.0515,34,1634.57
31.0415,1592.69,64.0756,35,2520.8
42.0589,3208.41,65.9692,36,3920.31
33.9184,1560.93,64.1674,37,1821.45
35.6625,2450.22,64.0343,38,2988.08
27.2762,1049.44,64.0664,39,1926.44
38.8426,2009.9,65.7675,40,3457.06
37.0864,2740.08,64.638,41,2851.12
33.7187,2658.37,64.869,42,3314.32
36.1193,3326.95,65.2931,43,3361.44
45.002,2962.02,67.114,44,4031.57
39.4574,1916.28,66.2593,45,2546.26
27.8606,981.05,65.0094,46,1524.25
34.4974,1750.65,65.5975,47,1492.58
36.718,3186.14,65.4932,48,4078.97
45.5374,2885.35,69.4907,49,4342.93
37.3017,2848.01,65.4255,50,3776.51
48.3895,3226.97,67.5192,51,4135.87
39.2633,2551.93,64.588,52,2351.8
43.6643,3158.51,66.0967,53,3952.73
39.9159,3176.42,65.1801,54,4823.56
51.6051,3176.1,69.739,55,4374.13
49.2652,3461.25,67.3594,56,3969.46
