Running Env Steps,Reward Loss,Running Reverse KL,Real Sto Return,Real Det Return,Running Update Time,Itration,Running Forward KL
0,-95.70512390136719,14.0048,326.05,423.19,0,0,49.2771
5000,45.194580078125,18.9425,335.59,368.81,1,1,49.1183
10000,-58.88551330566406,17.695,310.29,296.65,2,2,49.3704
15000,-134.99472045898438,14.1624,376.64,425.09,3,3,48.565
20000,-197.66001892089844,13.3858,370.62,410.99,4,4,48.9152
25000,-145.62899780273438,14.1977,393.18,378.67,5,5,48.9385
30000,-119.24794006347656,21.7036,420.31,447.14,6,6,49.2044
35000,-95.7315444946289,24.5617,661.93,909.59,7,7,48.4101
40000,-127.82462310791016,16.0259,712.57,820.45,8,8,48.3651
45000,-138.20582580566406,18.3062,518.09,611.39,9,9,48.203
50000,28.370431900024414,27.7758,90.1,16.19,10,10,52.2992
55000,-133.0614776611328,31.2069,468.78,257.61,11,11,52.2645
60000,-165.7681884765625,24.2776,451.03,376.43,12,12,49.1297
65000,-394.5738830566406,15.4613,265.11,331.51,13,13,50.3257
70000,-348.0331115722656,31.785,367.65,448.8,14,14,50.6071
75000,-200.40402221679688,20.6783,169.38,65.54,15,15,50.816
80000,-23.286788940429688,69.6879,283.87,329.76,16,16,51.3518
85000,-140.4432373046875,39.2983,611.78,535.62,17,17,49.4956
90000,-7.343903064727783,42.9419,931.03,926.88,18,18,53.6784
95000,-74.86732482910156,25.5187,891.73,571.73,19,19,52.8087
100000,-39.77921676635742,30.8032,894.49,798.35,20,20,51.4611
105000,9.53742504119873,36.2993,1004.06,955.0,21,21,52.1585
110000,-119.13369750976562,40.2897,362.63,238.81,22,22,50.6955
115000,-127.99369049072266,35.0173,411.57,545.98,23,23,50.5375
120000,-160.60890197753906,33.923,426.25,568.38,24,24,50.793
125000,-209.3540496826172,23.6504,478.52,491.69,25,25,49.9113
130000,-246.8113250732422,21.6644,-7.92,-8.04,26,26,52.8884
135000,-147.73892211914062,37.0808,618.7,570.36,27,27,52.2255
140000,-180.3588409423828,40.3185,523.6,597.52,28,28,51.4243
145000,-83.44413757324219,54.6631,888.17,1020.78,29,29,55.5688
150000,-131.17247009277344,31.0673,864.48,739.05,30,30,51.3987
155000,-285.6329040527344,96.6201,54.19,49.38,31,31,53.2169
160000,-80.1536865234375,42.6959,993.33,1119.85,32,32,53.8078
165000,-24.07377052307129,58.1471,1049.86,1050.75,33,33,55.6157
170000,-91.74181365966797,73.0348,41.97,46.09,34,34,56.7075
175000,-75.4994125366211,44.2805,1041.49,1038.8,35,35,55.1672
180000,-176.6646728515625,25.0367,1143.82,1260.03,36,36,52.9223
