Itration,Running Forward KL,Real Sto Return,Running Reverse KL,Real Det Return
0,458.2413,327.31,305.1319,322.85
1,441.8774,342.03,269.0101,438.54
2,452.9286,304.34,283.3808,320.53
3,440.2858,390.19,268.8971,490.75
4,443.9211,392.94,251.412,360.62
5,435.5053,424.46,265.9216,397.64
6,447.5537,380.77,310.3524,372.21
7,445.8819,441.8,280.0746,463.35
8,443.4864,490.74,299.6288,459.59
9,427.6502,496.35,259.8007,456.56
10,446.7209,481.57,270.4714,480.5
11,433.412,520.63,253.7828,531.22
12,426.4619,640.52,273.5171,534.52
13,425.2037,533.06,279.4279,544.41
14,429.7051,575.36,263.5609,619.12
15,422.1411,556.25,265.9015,463.58
16,426.5584,609.03,256.7328,545.93
17,445.1121,536.1,254.6796,527.27
18,416.026,548.65,260.926,486.99
19,408.8644,542.86,272.4659,538.66
20,430.5151,513.09,263.1758,472.22
21,415.5079,526.19,260.3036,561.92
22,427.2783,604.38,264.0521,520.56
23,423.2115,584.12,258.3488,627.25
24,412.7445,565.53,259.1247,472.5
25,413.8245,598.21,272.9459,598.11
26,417.2345,607.28,255.148,563.82
27,415.7793,608.55,269.5498,602.35
28,413.4674,545.37,271.5081,549.34
29,409.0084,617.93,260.9766,726.58
30,418.2005,598.41,250.6504,593.95
31,419.5102,645.8,260.5909,749.27
32,398.5749,716.14,266.8042,573.81
33,404.9674,668.89,246.5596,636.79
34,417.1945,660.41,274.2717,547.85
35,410.8254,643.34,252.143,525.88
36,401.8902,689.46,232.2928,638.31
37,411.1358,654.44,259.4803,582.6
38,406.7323,772.04,233.5756,849.61
39,410.0252,765.38,248.7634,732.36
40,414.2986,703.1,256.1511,806.55
41,422.7989,674.62,250.1175,484.66
42,405.4903,695.11,249.7737,605.91
43,416.3368,670.01,256.9845,613.98
44,420.1353,741.13,258.2286,679.06
45,412.2166,669.26,222.2683,551.61
46,409.8114,838.14,221.4774,562.56
47,412.6811,798.05,247.4378,709.69
48,401.9309,771.69,232.1695,637.47
49,404.3512,743.68,229.7743,705.9
50,411.9454,731.82,234.3968,784.59
51,399.5571,888.46,230.2664,834.03
52,388.5134,862.26,226.4337,742.56
53,397.9114,986.5,232.5294,692.75
54,406.534,774.52,248.0674,605.21
55,399.6929,948.12,233.6227,696.42
56,392.5641,874.81,229.4534,707.92
57,390.595,911.03,234.9457,512.1
58,401.4535,875.0,242.1865,557.57
59,392.4676,802.96,239.1416,674.6
60,391.0856,1193.26,211.2982,899.97
61,404.8922,940.58,216.2467,708.31
62,385.2233,1133.6,209.4445,817.47
63,380.9663,967.32,222.732,835.37
64,381.5754,957.16,227.0758,820.48
65,378.5973,1203.69,233.9115,971.49
66,384.5951,1639.01,209.4726,779.98
67,362.7779,2395.44,175.2458,2889.96
68,364.8846,2184.23,194.0036,1036.89
69,358.3393,2748.14,186.1622,2568.91
70,350.8023,3452.78,169.4465,1710.83
71,357.8514,2795.62,168.3785,2214.05
72,391.4408,1195.08,239.7044,953.91
73,369.6388,1834.21,202.3954,944.62
74,369.8642,2760.23,194.5474,2617.21
75,378.0216,1719.32,217.7578,1123.74
76,364.9895,1399.26,197.9449,2151.87
77,377.9431,1518.5,200.5299,1942.63
78,356.6394,2364.41,192.1888,1737.13
79,367.8711,3335.34,194.6463,1397.03
80,379.2861,1765.31,212.7936,1037.17
81,374.6871,2354.74,196.3799,1688.02
82,383.6591,1103.07,225.5262,1041.52
83,369.7431,2667.84,186.2324,2213.35
84,376.1529,1274.92,213.4552,1202.35
85,366.4385,3677.57,180.2119,2653.1
86,371.8417,1779.56,207.5779,1532.04
87,387.6637,1207.09,244.3522,1055.32
88,391.0207,2226.87,233.0207,1310.93
89,365.8551,2830.89,216.9986,2129.26
90,395.3655,1240.71,228.0461,988.5
91,358.4883,3759.22,177.0614,3453.14
92,365.7369,3850.01,187.059,4689.3
93,367.2554,3505.55,193.6897,3078.81
94,364.2178,2039.21,187.2999,2277.45
95,363.2189,2993.38,172.464,3750.13
96,376.4807,3710.57,194.8007,4560.69
97,375.5056,2823.04,198.4933,3262.8
98,390.9923,1688.36,231.8408,4175.11
99,363.4955,4248.13,188.9184,3224.68
100,366.5899,4155.36,200.2501,3660.96
101,362.4322,3929.8,195.7563,4538.5
102,367.7589,3044.32,188.8752,3482.67
103,363.3169,4663.84,194.4775,4848.07
104,380.5915,3183.53,200.0344,3484.13
105,368.6194,4498.48,189.7972,4314.76
106,363.6644,4755.93,188.6693,4591.39
107,374.1119,3011.43,216.8145,2063.38
108,368.8725,4346.93,187.7278,3665.04
109,360.3046,4769.89,187.6074,3798.38
110,374.6592,3237.47,203.8626,4080.0
111,362.084,4063.35,186.157,3463.7
112,365.2534,4475.86,189.2672,3529.83
113,370.651,3854.46,195.3564,5141.29
114,364.5536,4504.37,187.1673,5024.04
115,364.0902,3363.74,186.7235,3223.98
116,357.378,4187.81,177.5143,4402.32
117,364.115,4655.75,182.7799,3243.77
118,366.6616,3664.43,188.4866,3867.4
119,366.5281,2916.63,205.0049,2294.15
120,363.3029,4334.77,180.4372,2860.09
121,371.4697,4217.8,190.3868,4583.74
122,359.4895,4011.18,185.2266,5038.25
123,365.3527,4249.07,183.5744,4571.09
124,356.207,4713.83,177.7396,3908.46
125,372.7078,3490.19,209.5695,2043.93
126,361.8229,4898.69,179.6282,5086.93
127,363.8864,4532.73,184.3049,5066.78
128,358.3661,4200.49,177.9665,4005.78
129,362.6882,4549.67,186.4453,5087.77
130,365.4163,4488.85,175.106,3855.39
131,373.589,4859.7,182.1589,3310.05
132,360.7654,4555.51,181.234,1567.39
133,369.4114,4044.84,183.697,1341.04
134,364.4511,4733.21,179.7112,5104.1
135,364.6057,4083.07,179.3427,3276.16
136,360.3627,3829.29,168.6326,4774.58
137,367.7362,3905.0,181.3639,1616.47
138,378.4249,4597.86,179.2807,2967.64
139,375.2969,4639.41,177.5804,4205.41
140,366.7935,4399.38,176.2173,2428.11
141,366.2776,4564.96,178.5461,4006.31
142,363.6909,4914.17,185.1449,4459.85
143,363.9839,4340.04,182.4374,4865.33
144,368.9004,4237.54,179.945,1785.57
145,358.6418,3631.71,181.3171,4909.64
146,364.4346,4403.81,184.4116,4787.23
147,363.9342,4720.02,183.1786,5028.31
148,352.98,2693.83,178.074,2961.09
149,362.7063,4508.73,185.6137,4155.87
150,355.9523,4978.32,177.437,4263.47
151,360.8097,4472.84,186.4972,4215.48
152,361.7246,4844.14,180.4093,5107.67
153,372.9868,2970.38,190.4617,3410.66
154,367.4055,4181.09,182.7125,2456.82
155,362.9356,3941.38,191.386,3440.95
156,362.9332,4840.74,186.2284,5116.79
157,367.5258,4649.42,185.6902,5079.41
158,361.5914,4023.95,181.1467,5106.06
159,361.6585,4243.36,179.0431,4361.06
160,372.0033,3750.87,199.3997,2150.84
161,349.252,4809.33,169.4641,4334.35
162,372.9176,2815.24,199.8965,2466.67
163,357.1511,4815.61,173.9775,4825.0
164,362.8413,4657.62,179.8755,5085.47
165,356.5042,4811.53,188.8862,5167.5
166,368.3935,4562.45,187.807,4206.92
167,358.8144,4568.34,176.5743,4266.02
168,353.5761,4493.41,168.3623,4990.95
169,357.4647,4316.73,171.5883,2760.61
170,351.4304,4969.05,170.7201,5060.65
171,354.7257,4893.59,176.6458,4893.55
172,353.9818,4720.54,165.2549,3447.73
173,350.2748,4568.02,164.4881,3431.68
174,354.7159,4377.67,168.3736,2549.21
175,356.983,4801.76,181.6504,4361.17
176,363.1433,3634.87,181.8098,1994.98
177,354.3237,4181.59,178.9674,5128.96
178,364.935,4684.47,178.1056,3619.67
179,356.6275,4252.23,178.4181,5047.29
180,350.0235,4698.82,168.5515,2983.73
181,349.7105,3937.37,167.8773,4535.91
182,358.1154,3989.44,187.8215,4830.71
183,366.5038,3431.68,174.4748,4813.9
184,346.6171,4657.71,168.0873,5077.36
185,351.7939,4837.72,172.4566,5199.17
186,352.6993,4734.88,173.1507,5115.01
187,357.2672,3818.28,177.4276,4660.5
188,354.5277,3531.96,177.8127,4838.0
189,352.3337,4550.33,174.9609,4733.95
190,352.1592,3531.92,184.6454,4889.82
191,351.0495,4203.3,173.5678,3142.1
192,345.9066,4787.02,165.1475,5025.23
193,368.648,3317.71,198.9381,4130.93
194,366.066,2360.8,190.3296,4606.59
195,359.9409,2747.19,187.207,4839.54
196,355.4197,4209.09,167.1315,4635.49
197,348.7786,4764.67,166.6798,2582.04
198,366.2401,3447.34,187.9833,4976.96
199,370.1948,3486.96,194.0804,4888.67
200,373.3906,2380.14,219.0325,5129.58
201,348.7759,4621.74,174.2686,5189.14
202,353.993,4502.65,169.0864,5119.61
203,353.6853,4694.17,176.2284,5171.02
204,353.1829,4299.86,165.0926,3205.89
205,396.6627,1916.01,223.2522,1770.99
206,356.6201,2833.17,189.2017,3867.06
207,430.0189,746.06,266.0874,640.89
208,394.8297,1362.12,398.4966,2358.3
209,400.6655,1951.99,487.8233,2137.64
210,388.1965,2627.22,227.9213,1744.64
211,408.5388,830.02,287.5665,646.82
212,408.8605,678.25,324.3156,576.77
213,384.5136,1094.66,325.284,1018.35
214,379.3882,1336.36,258.0957,496.64
215,367.3065,3334.25,187.4108,1880.26
216,364.4938,2646.27,198.2397,1538.72
217,369.1952,2180.09,194.8951,4392.99
218,404.7584,920.73,243.6457,1017.96
