Real Sto Return,Running Env Steps,Itration,Reward Loss,Running Update Time,Running Forward KL,Real Det Return,Running Reverse KL
238.11,0,0,-324.67974853515625,0,31.6387,227.37,20.814
329.05,5000,1,-344.8955993652344,1,31.4914,340.09,55.177
294.69,10000,2,-374.09100341796875,2,31.4999,279.83,49.1468
353.13,15000,3,-377.71697998046875,3,32.0167,356.26,52.997
394.9,20000,4,-369.43328857421875,4,30.9109,429.73,46.7495
352.88,25000,5,-381.438232421875,5,29.578,340.84,46.2302
377.56,30000,6,-363.0675354003906,6,29.8518,347.19,68.821
660.69,35000,7,-305.6795654296875,7,28.1069,663.32,54.242
166.84,40000,8,-507.6400146484375,8,32.3559,147.62,157.3008
554.64,45000,9,-334.47039794921875,9,27.9625,573.26,53.2225
615.6,50000,10,-142.29714965820312,10,28.2709,706.11,106.0284
1008.87,55000,11,-152.71949768066406,11,25.6234,1133.73,80.2128
869.21,60000,12,-244.38589477539062,12,26.2121,913.49,58.5873
1275.24,65000,13,-229.7113494873047,13,23.7833,1359.19,26.2319
1062.79,70000,14,-261.12164306640625,14,24.7061,1365.76,48.0634
1230.42,75000,15,-268.4800109863281,15,25.1448,1454.93,51.8542
899.0,80000,16,-233.17098999023438,16,25.8516,920.56,102.3623
867.62,85000,17,-370.4216003417969,17,26.0598,908.75,53.6345
929.49,90000,18,-417.6533203125,18,24.4863,919.45,26.4923
1337.74,95000,19,-354.0874938964844,19,23.969,796.43,16.5337
1199.01,100000,20,-361.2520446777344,20,24.3217,2523.39,18.3129
1072.0,105000,21,-376.8680114746094,21,24.5564,1085.74,50.2493
2649.71,110000,22,-171.0095672607422,22,23.7949,3024.19,14.5712
2471.95,115000,23,-168.09097290039062,23,24.2101,2987.47,25.3849
2422.92,120000,24,-165.67327880859375,24,23.2532,2958.69,13.8721
2716.23,125000,25,-115.48092651367188,25,22.5837,3038.11,12.2856
3035.22,130000,26,-109.04574584960938,26,21.6101,3021.92,12.9188
1671.73,135000,27,-230.92123413085938,27,23.313,2887.22,13.9192
2791.89,140000,28,-117.6641845703125,28,23.6804,2848.53,13.8152
1108.81,145000,29,-323.48077392578125,29,23.97,2030.33,17.1733
2875.86,150000,30,-112.04877471923828,30,22.7862,2978.2,13.0011
865.54,155000,31,-479.81207275390625,31,25.1048,914.79,31.7297
2328.02,160000,32,-142.73214721679688,32,21.9133,3113.64,12.5214
