Real Sto Return,Running Update Time,Running Env Steps,Real Det Return,Reward Loss,Running Reverse KL,Running Forward KL,Itration
308.15,0,0,379.13,-121.1968994140625,12.909,49.7821,0
303.2,1,5000,374.64,-106.77394104003906,12.4688,48.888,1
450.02,2,10000,466.27,-89.35440826416016,12.2863,48.4004,2
398.55,3,15000,394.44,-97.36761474609375,18.3443,49.2887,3
376.71,4,20000,378.36,-170.7081756591797,15.141,49.4839,4
373.44,5,25000,405.12,-136.9949951171875,12.1313,48.8087,5
462.31,6,30000,478.83,-198.69900512695312,12.3684,48.4969,6
450.39,7,35000,419.66,-211.3359375,14.5167,48.9235,7
406.57,8,40000,374.12,-167.249267578125,12.8212,48.8147,8
409.5,9,45000,433.34,-206.37353515625,12.1489,47.8603,9
325.53,10,50000,509.6,-73.8313980102539,24.7562,49.2669,10
-2.2,11,55000,2.62,73.2500228881836,51.1833,52.9938,11
476.19,12,60000,496.88,-227.32894897460938,29.5415,51.7738,12
456.79,13,65000,389.34,-446.83880615234375,15.3964,49.9312,13
288.22,14,70000,376.49,-288.7858581542969,16.5246,49.2042,14
288.9,15,75000,258.95,-323.1750793457031,17.3018,50.244,15
243.71,16,80000,254.19,-392.85504150390625,18.3131,51.6204,16
236.99,17,85000,145.35,-296.5248718261719,21.8857,51.5629,17
331.11,18,90000,394.19,-314.0514221191406,17.5065,50.0846,18
339.35,19,95000,418.31,-430.4970397949219,16.5958,50.5457,19
377.07,20,100000,290.48,-230.9036102294922,25.518,50.1676,20
270.66,21,105000,276.02,-296.6238708496094,26.5982,51.2647,21
221.11,22,110000,252.85,-243.87490844726562,37.403,52.966,22
-2.47,23,115000,-1.87,-59.98417663574219,62.2697,55.3503,23
-7.79,24,120000,-11.56,-125.01183319091797,107.3349,55.3728,24
243.86,25,125000,371.5,-409.86346435546875,18.0163,49.8296,25
407.78,26,130000,523.9,-321.41290283203125,16.8076,50.0564,26
1091.35,27,135000,982.55,-77.0077133178711,28.6087,51.787,27
736.17,28,140000,1035.09,-230.3472137451172,22.018,51.239,28
355.87,29,145000,544.1,-245.85720825195312,23.5506,51.3669,29
-5.21,30,150000,-5.22,-298.67877197265625,150.4117,54.7226,30
28.22,31,155000,22.82,-187.94618225097656,62.3834,53.9727,31
26.32,32,160000,37.56,-242.10108947753906,141.0043,52.4274,32
-12.37,33,165000,-8.83,-309.49127197265625,22.6911,52.3272,33
957.43,34,170000,988.97,-135.14166259765625,28.072,55.1802,34
