Running Update Time,Running Env Steps,Itration,Real Det Return,Real Sto Return,Running Reverse KL,Reward Loss,Running Forward KL
0,0,0,428.32,378.11,12.6809,333.8241271972656,49.4536
1,5000,1,313.92,315.54,13.6773,343.3517761230469,49.5674
2,10000,2,343.64,381.8,13.5538,666.4409790039062,49.0058
3,15000,3,417.24,382.0,15.1648,364.1851806640625,49.4303
4,20000,4,458.27,403.8,14.0261,479.2244567871094,48.8561
5,25000,5,463.66,431.1,13.231,723.78369140625,47.6703
6,30000,6,708.92,575.58,12.9423,325.8175964355469,48.3312
7,35000,7,737.49,575.5,29.6246,244.80931091308594,48.513
8,40000,8,996.32,666.26,15.7282,154.13441467285156,48.3373
9,45000,9,829.32,754.63,20.9546,138.0205841064453,48.142
10,50000,10,957.24,783.48,22.1378,124.09648132324219,47.0342
11,55000,11,1507.47,1178.81,40.5536,-196.85317993164062,47.439
12,60000,12,980.62,982.68,38.612,-197.9585418701172,47.5455
13,65000,13,1221.24,964.67,20.9495,-148.91494750976562,46.6219
14,70000,14,878.35,855.1,32.0659,-192.56605529785156,47.221
15,75000,15,1239.84,1049.06,19.988,-405.71630859375,46.2896
16,80000,16,2256.07,1611.08,19.0518,-323.5588073730469,46.3199
17,85000,17,2401.06,2014.89,24.023,-556.43115234375,46.317
18,90000,18,2280.22,1267.66,23.8327,-558.1399536132812,46.6005
19,95000,19,2680.98,1355.63,18.9879,-518.5429077148438,46.6044
20,100000,20,1828.97,1337.35,24.2367,-579.8637084960938,46.758
21,105000,21,1770.55,1475.46,14.4021,-407.87579345703125,46.2742
22,110000,22,1388.28,1153.46,12.9248,-190.20899963378906,46.3007
23,115000,23,1668.65,1335.21,18.0984,-683.4005126953125,46.516
24,120000,24,1995.17,1455.32,14.5386,-572.492431640625,45.3161
25,125000,25,1668.53,1475.48,14.6737,-631.3856201171875,46.1856
26,130000,26,1336.99,1224.93,18.2814,-632.5579833984375,46.105
27,135000,27,1695.75,1415.89,19.5839,-883.231201171875,46.5524
28,140000,28,1423.3,1218.58,20.9459,-1011.0735473632812,46.6671
29,145000,29,1404.23,1194.17,25.7412,-1034.42333984375,46.1749
30,150000,30,1420.5,1192.51,20.6635,-963.4234008789062,45.9709
31,155000,31,1496.34,1321.06,40.3743,-1247.5308837890625,46.5479
32,160000,32,1885.21,1646.37,24.5046,-1151.1473388671875,46.2525
33,165000,33,1802.07,1680.12,21.0802,-927.4382934570312,45.5377
34,170000,34,2005.1,1762.51,18.6257,-1061.9229736328125,45.5839
35,175000,35,2160.63,1740.85,15.4372,-1027.379150390625,45.8917
36,180000,36,1466.54,1258.31,26.7574,-1369.111328125,46.5801
37,185000,37,1270.25,1270.83,30.1792,-1835.075927734375,46.4251
38,190000,38,1236.29,1234.28,23.2149,-1690.9456787109375,46.4031
39,195000,39,1374.02,1368.63,20.5919,-1211.4412841796875,46.7638
40,200000,40,1586.31,1366.86,15.1693,-978.8486328125,46.4211
41,205000,41,1504.01,1777.06,26.6058,-1468.7791748046875,45.7847
42,210000,42,2644.51,1868.3,16.7935,-1288.4056396484375,45.2991
43,215000,43,2208.7,1626.04,18.1747,-1420.23828125,45.6334
44,220000,44,1740.5,1446.58,21.0799,-1754.599853515625,46.0754
45,225000,45,2181.71,1716.26,17.0949,-1344.3719482421875,45.3812
46,230000,46,2242.25,1630.0,16.8947,-1543.9884033203125,45.2949
47,235000,47,2251.45,2274.3,19.2803,-1473.7191162109375,45.4881
48,240000,48,3397.8,3398.35,18.0146,-1459.263427734375,45.2981
49,245000,49,3276.7,3375.06,17.1117,-1463.3228759765625,45.7331
50,250000,50,3269.59,3000.88,18.2978,-1559.9632568359375,44.8585
51,255000,51,3673.75,2947.97,20.3587,-1683.0384521484375,45.0601
52,260000,52,3566.52,3165.43,16.9302,-1526.709716796875,45.1286
53,265000,53,3682.78,3655.29,18.2012,-1563.288818359375,44.9464
54,270000,54,3499.46,3552.98,19.1543,-1574.862548828125,45.1435
55,275000,55,3712.01,3651.68,20.0556,-1593.43701171875,45.1802
56,280000,56,3687.3,3677.95,19.8821,-1585.56787109375,45.3816
57,285000,57,3556.86,3334.08,18.4395,-1680.9805908203125,45.0289
58,290000,58,3586.92,3439.1,18.0319,-1658.23681640625,44.9322
59,295000,59,3782.79,3749.73,18.9995,-1527.4984130859375,44.7177
60,300000,60,3727.0,3711.02,19.8939,-1609.77978515625,44.8936
61,305000,61,3850.67,3684.83,19.0849,-1611.2259521484375,44.7131
62,310000,62,3684.56,3581.89,19.294,-1713.326904296875,44.7034
63,315000,63,3845.37,3778.36,20.401,-1673.7552490234375,44.9408
64,320000,64,3860.57,3810.9,19.2285,-1703.644287109375,44.2148
65,325000,65,3861.03,3805.56,20.035,-1740.5465087890625,45.0347
66,330000,66,3849.37,3811.96,19.2648,-1729.2457275390625,44.8951
67,335000,67,3702.71,3689.24,18.4752,-1817.2132568359375,44.7765
68,340000,68,3908.62,3883.64,19.7025,-1719.1259765625,44.8517
69,345000,69,3889.92,3842.48,18.608,-1736.0770263671875,44.6441
70,350000,70,3830.07,3839.37,18.7396,-1828.6187744140625,44.2571
71,355000,71,3865.31,3866.05,17.625,-1803.1343994140625,43.8441
