Itration,Running Env Steps,Real Det Return,Running Update Time,Reward Loss,Running Forward KL,Real Sto Return,Running Reverse KL
0,0,336.06,0,56.64682388305664,74.5781,-70.12,25.7239
1,5000,277.44,1,38.77857208251953,73.1124,-60.36,25.1219
2,10000,499.37,2,30.398160934448242,73.4453,-29.15,26.3523
3,15000,316.6,3,17.477354049682617,73.8618,20.38,26.8024
4,20000,497.36,4,10.541773796081543,70.6297,54.02,28.0655
5,25000,705.2,5,-3.981759786605835,71.7149,61.0,28.4107
6,30000,459.5,6,-12.214872360229492,72.0417,79.15,28.981
7,35000,652.67,7,-23.478322982788086,70.294,120.99,29.2052
8,40000,821.07,8,-35.64448547363281,70.135,137.85,30.109
9,45000,734.15,9,-47.30103302001953,68.2331,167.07,30.4752
10,50000,758.25,10,-60.65100860595703,73.2797,123.36,31.0996
11,55000,584.79,11,-71.44810485839844,71.5021,201.9,30.3421
12,60000,688.03,12,-85.84420013427734,70.9412,282.28,30.474
13,65000,873.24,13,-101.13184356689453,71.2177,186.89,30.537
14,70000,821.7,14,-110.30393981933594,72.6734,224.89,31.3959
15,75000,752.52,15,-123.16947174072266,70.7542,253.35,30.1823
16,80000,729.88,16,-134.06114196777344,68.7715,279.48,29.3758
17,85000,843.0,17,-143.78726196289062,70.9944,253.24,30.1377
18,90000,777.42,18,-162.59715270996094,73.1492,253.57,30.8821
19,95000,903.78,19,-170.4097137451172,70.1499,230.44,30.4572
20,100000,871.1,20,-188.69857788085938,70.7878,220.13,30.2221
21,105000,906.44,21,-199.99356079101562,71.999,204.48,30.778
22,110000,755.45,22,-215.44873046875,71.2494,188.39,30.3176
23,115000,726.85,23,-222.0492401123047,71.5153,201.11,30.4857
24,120000,733.01,24,-240.13929748535156,71.0661,199.17,30.4715
25,125000,864.65,25,-249.46975708007812,70.448,257.48,30.0747
26,130000,865.43,26,-257.34393310546875,71.1185,231.15,30.3242
27,135000,736.18,27,-278.69696044921875,70.0484,266.8,30.5615
28,140000,696.76,28,-287.8941650390625,71.8671,175.95,31.0631
29,145000,863.32,29,-297.29681396484375,69.6572,199.03,29.8173
30,150000,792.77,30,-308.7441711425781,69.422,214.49,29.8182
31,155000,835.67,31,-337.53228759765625,71.5476,228.97,30.8394
32,160000,701.3,32,-337.8898010253906,69.6721,222.98,29.9513
33,165000,822.32,33,-364.6217956542969,72.1532,253.13,31.3896
34,170000,790.6,34,-369.6712951660156,72.1038,213.91,30.1693
35,175000,807.29,35,-389.4373779296875,70.6693,182.38,30.2306
36,180000,849.44,36,-395.4844970703125,70.6237,283.01,30.6236
37,185000,772.14,37,-408.7184753417969,71.1777,248.7,30.2225
38,190000,555.72,38,-428.61431884765625,70.1798,274.25,30.157
39,195000,881.56,39,-443.9959411621094,70.7012,313.45,30.3167
40,200000,735.22,40,-453.6564636230469,70.891,233.31,29.8121
41,205000,725.56,41,-475.8294372558594,72.1012,251.83,30.2836
42,210000,740.77,42,-475.5504455566406,68.024,294.47,29.3889
43,215000,738.55,43,-489.5201416015625,68.1225,299.55,29.5678
44,220000,749.53,44,-514.587646484375,69.7359,228.44,30.0074
45,225000,887.43,45,-528.5931396484375,71.354,248.52,30.2396
46,230000,820.1,46,-540.286376953125,71.3099,248.34,30.3702
47,235000,740.27,47,-553.342041015625,69.3602,219.01,29.7035
48,240000,968.05,48,-573.8577270507812,70.8096,240.91,30.7618
49,245000,756.91,49,-581.2252197265625,68.5113,206.37,29.7807
50,250000,720.86,50,-611.6547241210938,72.3638,209.69,30.447
51,255000,910.71,51,-627.1271362304688,72.4555,198.76,30.3619
52,260000,827.58,52,-636.4070434570312,72.2207,225.67,29.831
53,265000,816.26,53,-658.8338012695312,72.828,254.11,29.9281
54,270000,923.97,54,-658.2208251953125,69.7344,274.59,29.6568
55,275000,984.11,55,-684.4573364257812,71.751,301.67,30.2864
56,280000,773.91,56,-699.674072265625,70.9976,283.21,30.7248
57,285000,932.2,57,-712.810302734375,70.7516,363.23,30.1729
58,290000,875.99,58,-731.98046875,70.3106,265.07,30.5282
59,295000,1087.44,59,-757.5037841796875,71.7244,284.85,29.9148
60,300000,1020.58,60,-745.3644409179688,67.1121,412.01,29.0086
61,305000,939.61,61,-773.0553588867188,69.5957,286.3,29.4825
62,310000,855.19,62,-813.5803833007812,73.5001,368.75,30.8907
63,315000,1111.26,63,-811.3588256835938,69.7631,329.18,29.7761
64,320000,980.16,64,-824.0138549804688,69.2854,297.92,29.3443
65,325000,983.34,65,-864.80810546875,70.5889,282.43,30.2255
66,330000,972.97,66,-875.466552734375,69.4738,347.17,29.8329
67,335000,1083.77,67,-877.6709594726562,68.9779,378.09,29.8146
68,340000,1056.86,68,-917.0131225585938,72.0,309.59,30.734
69,345000,1163.25,69,-938.2667236328125,72.8405,384.39,30.3853
70,350000,1046.9,70,-953.2803955078125,70.1645,318.85,29.6805
71,355000,1023.22,71,-921.3865966796875,66.3102,315.96,28.5111
72,360000,1164.03,72,-967.4192504882812,68.7789,474.06,30.1055
73,365000,1187.3,73,-986.1627807617188,69.5158,377.17,29.8794
74,370000,1331.09,74,-969.9061279296875,66.6283,450.9,28.6627
75,375000,1062.97,75,-1019.1800537109375,67.0229,357.19,28.9423
76,380000,1228.13,76,-1029.363037109375,66.1067,589.09,29.131
