Real Sto Return,Running Update Time,Itration,Reward Loss,Real Det Return,Running Env Steps,Running Reverse KL,Running Forward KL
205.95,0,0,105.27570343017578,214.54,0,18.3748,32.1487
276.62,1,1,101.50410461425781,277.63,5000,16.9901,30.1606
222.38,2,2,105.30465698242188,142.3,10000,12.5506,29.7588
365.37,3,3,74.95323944091797,397.25,15000,13.1933,28.7949
341.05,4,4,67.0098648071289,365.13,20000,17.265,29.3535
460.44,5,5,54.70054626464844,393.92,25000,14.2855,27.5091
423.17,6,6,39.42592239379883,497.25,30000,12.9997,27.648
1020.8,7,7,11.649932861328125,1018.55,35000,24.0392,37.8212
556.12,8,8,-9.017459869384766,539.88,40000,18.1893,27.927
523.18,9,9,-11.677488327026367,537.7,45000,23.7082,27.5297
210.35,10,10,-49.07831954956055,209.17,50000,22.6068,32.5092
984.99,11,11,-21.340457916259766,985.33,55000,31.6006,37.6051
-2.43,12,12,-50.53886795043945,-2.47,60000,134.1189,38.2552
590.25,13,13,-43.97749710083008,1008.08,65000,29.7883,34.9007
2184.15,14,14,-47.057064056396484,2445.11,70000,14.1501,23.0598
671.61,15,15,-78.26934814453125,672.02,75000,30.6647,28.1213
251.28,16,16,-62.10737609863281,243.45,80000,16.8864,32.3558
287.08,17,17,-90.7077407836914,288.81,85000,32.6256,30.1969
372.58,18,18,-108.3281478881836,364.58,90000,23.7441,31.1268
1009.02,19,19,-92.38532257080078,1008.88,95000,36.2762,37.3381
986.58,20,20,-97.77395629882812,986.85,100000,38.6154,36.1167
993.29,21,21,-102.63948059082031,993.27,105000,49.5397,39.9446
1014.15,22,22,-122.94234466552734,1013.12,110000,37.8242,36.8758
1028.92,23,23,-131.38710021972656,1028.01,115000,29.7726,37.3804
1037.23,24,24,-145.59996032714844,1037.82,120000,33.8989,37.5394
1020.12,25,25,-155.94503784179688,1021.34,125000,29.6964,37.9621
980.78,26,26,-162.28250122070312,979.82,130000,37.7322,39.6279
976.18,27,27,-175.82762145996094,974.39,135000,27.8455,38.337
1004.27,28,28,-186.3318634033203,1003.96,140000,30.7945,37.831
1014.61,29,29,-195.5612335205078,1013.36,145000,33.6639,34.5729
948.75,30,30,-204.50001525878906,989.92,150000,46.6976,38.8572
510.87,31,31,-88.17285919189453,500.0,155000,99.1658,28.7311
268.28,32,32,-88.48421478271484,268.2,160000,17.8012,30.0268
995.03,33,33,-245.9607696533203,996.18,165000,33.9967,38.3948
856.4,34,34,-255.62265014648438,1004.44,170000,21.8386,37.3511
997.0,35,35,-260.81390380859375,996.66,175000,34.2076,38.118
1038.14,36,36,-272.9168701171875,1036.71,180000,32.6264,36.9372
1025.5,37,37,-284.0202941894531,1024.55,185000,32.2612,39.0576
468.39,38,38,-237.04676818847656,471.49,190000,37.0845,30.7581
289.21,39,39,-234.9980010986328,280.08,195000,24.8809,32.2517
723.88,40,40,-314.1846618652344,983.0,200000,31.4739,37.1584
392.38,41,41,-297.93194580078125,329.3,205000,27.1691,32.823
513.39,42,42,-242.08633422851562,622.72,210000,16.6338,27.2425
1040.78,43,43,-349.2415466308594,1041.4,215000,36.5792,35.3833
979.45,44,44,-356.1778869628906,979.35,220000,33.9826,37.96
1005.08,45,45,-364.52801513671875,1003.89,225000,43.5712,37.0809
344.81,46,46,-297.8031005859375,759.22,230000,19.1795,28.3915
997.78,47,47,-384.3556213378906,1001.09,235000,36.7685,37.0565
303.0,48,48,-292.4296875,320.62,240000,34.7592,29.0077
1051.52,49,49,-410.20599365234375,1025.91,245000,32.6643,37.9783
1057.09,50,50,-420.36602783203125,1057.36,250000,36.8921,34.8197
1022.57,51,51,-429.9342346191406,1014.88,255000,31.7534,37.6988
1029.77,52,52,-439.96710205078125,1028.68,260000,26.4169,35.5972
1053.84,53,53,-448.49200439453125,1054.04,265000,37.4779,33.8631
1060.72,54,54,-459.6976623535156,1060.71,270000,36.0344,34.4749
1055.18,55,55,-472.4000549316406,1054.57,275000,36.629,35.1645
1043.52,56,56,-476.66815185546875,1042.46,280000,33.8131,33.8291
991.02,57,57,-494.8031921386719,991.14,285000,43.2203,39.1031
986.88,58,58,-511.9400634765625,988.02,290000,34.0257,39.9365
176.58,59,59,-446.55706787109375,173.72,295000,38.7647,29.2626
486.85,60,60,-399.8361511230469,491.11,300000,18.5933,27.7385
262.58,61,61,-423.509765625,264.67,305000,210.3244,31.5216
287.64,62,62,-499.0777282714844,293.55,310000,48.9397,33.3739
561.59,63,63,-498.4363708496094,405.88,315000,132.5435,35.4711
231.13,64,64,-449.0566101074219,231.07,320000,197.217,32.4243
313.4,65,65,-444.11151123046875,309.21,325000,112.6297,32.2181
809.44,66,66,-568.56103515625,947.32,330000,31.9386,32.5651
268.69,67,67,-601.0984497070312,272.45,335000,50.1917,38.1979
881.42,68,68,-603.2813110351562,972.32,340000,56.2897,34.3511
270.81,69,69,-624.1268920898438,268.32,345000,50.9696,38.0746
318.19,70,70,-581.008544921875,405.19,350000,116.3541,32.4282
993.44,71,71,-650.3753662109375,994.28,355000,43.103,40.333
55.4,72,72,-587.9686279296875,54.85,360000,167.3172,36.419
991.93,73,73,-668.9866943359375,991.14,365000,32.4621,38.2729
958.28,74,74,-656.4736938476562,956.93,370000,37.342,39.5372
982.32,75,75,-690.6751708984375,982.47,375000,58.3782,39.0271
25.72,76,76,-696.43017578125,25.02,380000,39.0569,33.0758
401.89,77,77,-443.6312561035156,402.2,385000,16.1072,30.037
727.78,78,78,-673.324951171875,803.25,390000,40.2927,32.3445
127.68,79,79,-754.75146484375,123.65,395000,45.5727,38.0586
987.09,80,80,-740.681640625,987.26,400000,39.4518,39.9325
990.85,81,81,-756.236083984375,990.46,405000,32.2449,39.2086
241.91,82,82,-686.8585815429688,232.42,410000,31.8035,32.6213
1020.74,83,83,-773.8974609375,1020.82,415000,42.5207,36.1407
988.38,84,84,-789.0191040039062,988.58,420000,56.4384,37.8949
984.99,85,85,-805.958984375,984.99,425000,36.4677,38.1178
1005.77,86,86,-808.7232055664062,1005.7,430000,51.6968,39.2709
985.57,87,87,-816.8909912109375,985.22,435000,45.5003,36.0673
272.78,88,88,-870.1861572265625,274.98,440000,50.9485,31.5614
1002.49,89,89,-847.467041015625,1002.35,445000,47.9855,39.2816
203.56,90,90,-691.5643920898438,203.34,450000,24.8604,33.5069
282.53,91,91,-847.2105712890625,309.52,455000,27.38,32.1185
999.91,92,92,-876.82763671875,999.22,460000,51.0832,39.2161
1002.12,93,93,-888.242919921875,1001.98,465000,50.5005,36.2681
1027.98,94,94,-891.7670288085938,1022.81,470000,27.355,36.3968
1006.12,95,95,-917.4530639648438,1006.27,475000,41.4373,39.8732
1008.56,96,96,-919.9338989257812,1007.61,480000,31.2013,36.3426
48.77,97,97,-848.9625854492188,48.57,485000,31.7879,32.7207
1013.06,98,98,-930.6780395507812,1005.45,490000,29.4338,35.4737
1045.28,99,99,-948.4769287109375,1013.44,495000,31.908,35.3854
1046.84,100,100,-959.4273681640625,1050.81,500000,29.832,36.885
1011.38,101,101,-975.8389892578125,1011.37,505000,32.6707,37.4801
1005.63,102,102,-988.7904052734375,1005.4,510000,27.2786,37.6572
1013.07,103,103,-1001.953369140625,1011.31,515000,26.299,38.6766
1018.75,104,104,-1011.5670166015625,1019.57,520000,25.4967,37.357
990.66,105,105,-1032.783935546875,999.57,525000,45.8491,39.629
1003.3,106,106,-1049.1353759765625,1003.68,530000,36.0403,37.0679
356.37,107,107,-809.6907348632812,177.56,535000,40.1438,31.9702
677.58,108,108,-1045.945068359375,816.21,540000,34.3132,37.2478
106.36,109,109,-806.813232421875,108.07,545000,61.7865,30.164
