Itration,Real Det Return,Running Reverse KL,Running Forward KL,Real Sto Return
0,247.35,282.6076,435.9585,330.39
1,270.11,268.5333,449.5642,276.84
2,384.4,246.3216,432.8959,347.88
3,387.81,250.9363,410.0457,396.26
4,435.0,231.9456,425.3814,470.66
5,370.93,273.9437,430.5367,365.76
6,373.76,239.1806,427.839,387.2
7,523.57,249.2604,420.792,451.22
8,549.57,248.8574,416.9424,462.27
9,479.39,258.6907,416.845,461.78
10,412.21,290.2446,423.3973,487.09
11,538.96,247.6,410.589,474.99
12,585.18,262.7358,424.8731,521.66
13,492.81,270.7652,417.4023,565.06
14,556.73,252.9701,402.0089,626.31
15,761.36,243.795,403.7162,661.41
16,553.62,235.7689,405.9523,542.2
17,494.92,264.0072,407.5225,529.69
18,520.85,282.7115,416.908,570.61
19,590.56,240.0633,398.4566,641.01
20,514.1,230.8267,393.8983,643.17
21,709.31,246.8336,418.1064,683.02
22,666.84,251.8175,402.987,678.79
23,551.41,248.2901,399.2192,735.87
24,485.38,278.3749,420.2476,631.07
25,568.34,269.5549,411.4659,632.14
26,561.25,259.2244,394.226,722.94
27,552.0,257.6712,401.3711,638.51
28,653.38,281.0888,402.1922,809.7
29,534.43,311.7751,407.8928,695.39
30,557.94,320.6269,395.2214,758.96
31,654.63,273.5192,406.7769,720.92
32,739.01,274.2872,410.0701,736.37
33,533.51,294.5218,395.0028,794.92
34,724.91,306.3062,406.0912,797.97
35,767.14,265.0491,407.9918,763.91
36,671.35,284.7275,405.0319,795.65
37,552.23,291.3801,419.552,799.09
38,708.34,282.2523,406.3602,897.18
39,539.15,294.5414,421.2997,644.2
40,554.36,295.4377,413.9392,741.3
41,1298.82,259.8823,415.7625,896.53
42,624.74,296.6461,404.3843,832.17
43,914.54,252.3985,402.1439,887.52
44,904.13,260.0998,394.4145,1206.7
45,798.44,280.0295,409.5676,782.56
46,720.21,276.9914,419.095,904.22
47,655.79,232.224,397.8123,853.05
48,936.97,302.7555,416.4527,916.18
49,725.8,302.6699,393.8493,825.38
50,874.32,282.8044,409.6494,782.7
51,1094.76,293.4574,389.4474,1066.39
52,982.92,301.3845,399.6304,900.88
53,819.8,269.9065,400.1847,912.87
54,544.94,277.8055,391.0909,776.13
55,923.94,278.9746,385.4324,878.21
56,615.03,249.9224,378.0209,1094.83
57,578.86,271.8589,378.6199,1072.78
58,720.26,218.0542,380.319,957.19
59,1026.15,269.4792,374.0171,1243.99
60,1446.52,239.9648,376.4908,1722.8
61,934.35,237.0474,378.0502,1385.27
62,761.16,240.2868,384.5074,1530.82
63,1387.56,188.484,354.7894,2207.76
64,1148.97,249.3883,378.7372,1307.97
65,2091.66,209.3519,361.6785,1814.82
66,724.86,280.0079,384.7136,1215.24
67,1595.43,196.8353,359.3228,2551.03
68,1853.36,172.6289,351.6571,2625.37
69,2349.97,229.6355,371.6913,2454.99
70,2744.46,229.7737,358.3435,1410.26
71,1781.11,220.418,357.8136,2529.2
72,1930.6,205.7126,346.6315,3530.73
73,2976.77,184.0777,349.9185,2971.61
74,1025.46,234.8731,362.6676,1889.63
75,781.97,265.9297,371.6153,1571.49
76,798.26,232.1719,362.557,2251.02
77,1175.5,225.1552,358.8319,2120.45
78,655.35,240.1726,361.9415,1624.64
79,575.31,248.9646,369.5393,1255.67
80,818.14,251.6821,358.6034,2024.34
81,611.68,244.0059,359.3769,1199.07
82,607.73,248.7839,361.0134,1999.81
83,834.35,237.6475,353.8947,1480.65
84,1667.86,168.3882,337.3705,3304.7
85,1744.01,222.4069,350.0684,2341.7
86,1289.16,185.8175,344.6241,2293.18
87,2150.12,231.4422,360.1614,2077.67
88,2645.7,177.6361,343.9375,3502.18
89,1760.53,210.621,349.2736,3041.43
90,2496.24,183.7601,345.5901,2985.86
91,1539.34,215.9182,347.3693,2923.84
92,2251.67,168.924,339.2263,3984.49
93,1493.76,254.4689,359.5708,3427.43
94,3039.22,192.6935,339.6826,3455.86
95,3858.02,191.2128,350.7131,3670.43
96,1398.64,180.1866,340.8641,3043.92
97,1492.12,162.0466,342.2016,4314.93
98,2375.38,150.9512,337.9683,3944.06
99,4060.25,167.8964,341.8391,3667.66
100,2933.69,156.7328,335.3537,4694.85
101,2477.19,164.5789,334.0043,4253.69
102,3071.92,154.99,336.5535,4191.63
103,1589.33,192.5004,345.7232,3740.53
104,3601.84,170.9371,337.5494,4355.19
105,2560.95,172.6291,341.7816,3700.93
106,3239.27,160.5731,336.8032,4871.27
107,2742.95,159.4306,338.5602,4766.23
108,1531.21,159.3159,337.0929,4425.47
109,2257.44,157.7089,345.6052,4840.97
110,1471.08,152.8501,335.6093,4540.64
111,1893.32,160.9116,341.8094,4717.49
112,3103.98,179.8137,343.5054,3944.27
113,4843.32,169.8754,343.9373,3902.18
114,2405.98,160.0761,336.807,3891.45
115,4461.92,166.9419,341.5186,5130.04
116,1958.53,149.1203,333.9487,3962.12
117,3101.48,157.0081,336.273,4882.26
118,2217.76,169.0039,345.7719,4266.58
119,4959.3,163.9857,344.9449,5169.66
120,3542.68,138.6704,330.4222,4947.26
121,2170.12,168.0394,343.8028,3932.88
122,4692.78,156.95,344.9485,4897.55
123,5100.61,165.0063,339.8483,5273.14
124,5000.17,149.8608,334.1267,4684.32
125,4468.34,167.4946,345.2587,4450.49
126,4160.51,148.3736,333.6923,4987.61
127,4639.53,146.0676,331.4343,4594.88
128,2179.46,148.8662,334.2733,4151.34
129,5164.73,166.1993,346.9653,5275.59
130,4268.35,145.1048,328.6482,4961.79
131,4402.67,158.651,343.0095,4994.5
132,4414.97,182.8139,348.4733,5297.39
133,5083.96,155.6205,340.8651,4644.56
134,3997.35,173.0268,344.9229,4428.38
