Real Sto Return,Real Det Return,Running Update Time,Running Forward KL,Running Env Steps,Reward Loss,Running Reverse KL,Itration
380.41,195.75,0,49.0979,0,247.5179443359375,12.4516,0
310.29,297.92,1,49.5035,5000,303.0544738769531,12.7708,1
426.35,489.72,2,48.8778,10000,517.6033325195312,13.2025,2
302.55,410.7,3,49.1694,15000,329.85369873046875,14.2894,3
350.05,494.93,4,49.2037,20000,387.91119384765625,13.9489,4
307.24,403.46,5,48.8619,25000,-86.6382827758789,18.5088,5
419.0,490.14,6,48.9439,30000,-141.87074279785156,15.9482,6
420.57,451.97,7,48.5412,35000,-32.06709671020508,13.237,7
460.72,472.72,8,49.2939,40000,-214.04693603515625,17.8113,8
513.59,513.35,9,48.8716,45000,-185.29542541503906,14.9966,9
544.39,495.6,10,48.5867,50000,-311.76275634765625,20.3702,10
624.57,623.59,11,47.7402,55000,-290.1479187011719,14.9433,11
766.55,763.51,12,47.4438,60000,-371.9945373535156,17.5398,12
930.25,1013.56,13,47.6657,65000,-636.2766723632812,20.0954,13
1081.13,1068.28,14,46.9853,70000,-787.248291015625,26.2627,14
1374.27,1638.19,15,46.8672,75000,-753.7890014648438,25.5104,15
1699.86,1593.76,16,46.0335,80000,-724.9215087890625,19.8766,16
1734.0,2111.52,17,46.2159,85000,-829.596923828125,21.8969,17
1285.59,1111.31,18,46.4443,90000,-798.1435546875,28.4408,18
1158.38,1308.46,19,45.2288,95000,-784.1743774414062,18.0166,19
1264.54,1552.96,20,45.5695,100000,-595.09814453125,14.1011,20
1336.47,1499.99,21,45.9314,105000,-640.4168701171875,15.8244,21
1435.59,1611.41,22,46.0418,110000,-757.6286010742188,16.8362,22
1055.78,1241.55,23,45.8275,115000,-739.8743896484375,17.3042,23
1796.3,1948.91,24,45.1079,120000,-777.7247314453125,16.1532,24
1191.09,1095.06,25,45.4319,125000,-701.8510131835938,14.433,25
1634.63,1121.17,26,44.9981,130000,-802.4774780273438,16.6016,26
1858.15,2807.84,27,44.6988,135000,-829.1756591796875,14.3594,27
1747.5,1326.41,28,43.7533,140000,-863.99267578125,14.0384,28
1799.58,1882.7,29,45.4893,145000,-995.1011962890625,16.7803,29
2238.55,2944.79,30,45.019,150000,-934.9544677734375,13.8782,30
1889.88,1922.13,31,44.9203,155000,-1053.5465087890625,14.99,31
2709.75,2927.1,32,44.4047,160000,-909.658447265625,14.7509,32
2678.58,3025.15,33,45.3583,165000,-1210.0634765625,16.7084,33
2861.61,3069.79,34,45.4231,170000,-1013.8146362304688,17.282,34
1744.62,2011.43,35,44.8308,175000,-1463.2806396484375,16.6399,35
2764.71,3080.15,36,44.8989,180000,-1121.690185546875,14.977,36
