Real Sto Return,Itration,Running Forward KL,Running Reverse KL,Running Update Time,Running Env Steps,Real Det Return,Reward Loss
310.07,0,49.1387,12.9441,0,0,296.51,302.94293212890625
307.51,1,49.6482,24.1557,1,5000,310.13,212.73146057128906
394.82,2,49.7136,19.4016,2,10000,393.82,444.75250244140625
395.45,3,49.2954,12.4605,3,15000,413.12,264.6805114746094
374.9,4,48.8201,14.3102,4,20000,393.98,164.1826629638672
366.55,5,48.9666,12.6989,5,25000,400.26,231.11489868164062
456.71,6,49.4006,12.8998,6,30000,403.08,221.8570098876953
439.17,7,49.0886,13.1571,7,35000,428.88,283.42205810546875
363.35,8,49.2272,13.5442,8,40000,351.73,225.17457580566406
394.62,9,49.0104,15.9386,9,45000,403.44,235.79978942871094
390.83,10,49.1647,17.393,10,50000,519.9,234.44297790527344
535.97,11,48.9144,21.2836,11,55000,527.99,206.15164184570312
446.19,12,47.9596,20.5812,12,60000,725.87,107.53864288330078
705.89,13,48.7733,14.3187,13,65000,438.04,175.38902282714844
489.28,14,50.4714,15.2872,14,70000,516.94,271.9420471191406
281.22,15,52.6127,23.6798,15,75000,644.35,-139.2146759033203
349.3,16,51.0041,20.9903,16,80000,273.71,82.24597930908203
574.74,17,49.7375,29.9353,17,85000,603.36,43.51058578491211
425.67,18,48.3352,15.0015,18,90000,426.02,115.77227783203125
649.05,19,47.2915,16.2905,19,95000,757.71,93.17532348632812
532.16,20,47.4145,24.0533,20,100000,400.6,-16.69529151916504
617.31,21,47.3086,15.2143,21,105000,638.16,132.26840209960938
518.69,22,48.2827,18.5412,22,110000,633.34,-9.17080020904541
145.03,23,48.8509,51.4626,23,115000,515.27,-120.58329772949219
811.3,24,46.4296,13.7798,24,120000,392.11,7.698267936706543
1228.96,25,47.264,20.6476,25,125000,1098.9,-46.3366813659668
454.66,26,48.1476,46.0156,26,130000,586.11,-157.70193481445312
277.45,27,50.827,71.9513,27,135000,143.57,-164.10020446777344
863.57,28,48.0448,34.5501,28,140000,1044.52,-90.1146240234375
