Running Reverse KL,Real Det Return,Real Sto Return,Reward Loss,Running Update Time,Running Env Steps,Running Forward KL,Itration
11.9897,-19.52,-196.83,303.0263671875,0,0,158.7117,0
11.6759,-4.48,-106.66,31.93471908569336,1,5000,158.3642,1
11.7122,144.29,-79.81,-181.1689910888672,2,10000,158.1649,2
11.8695,287.96,84.96,-226.96377563476562,3,15000,158.1404,3
12.017,758.3,381.81,-537.1016845703125,4,20000,158.2142,4
12.2736,1206.29,665.03,-666.4415283203125,5,25000,157.8731,5
13.2427,1316.96,690.85,-362.983642578125,6,30000,157.8917,6
13.4671,1465.95,862.47,-516.513671875,7,35000,157.8329,7
13.5522,1691.69,1054.38,-706.888427734375,8,40000,157.4921,8
13.2114,2436.18,1901.15,-1771.92724609375,9,45000,157.1367,9
13.7439,2956.51,2223.91,-2330.2666015625,10,50000,156.9296,10
15.5332,3409.46,2704.39,-2392.444580078125,11,55000,157.0491,11
16.1789,3599.43,3180.96,-2581.37744140625,12,60000,156.9123,12
15.8506,3815.09,3314.68,-2815.740966796875,13,65000,157.0132,13
15.2821,4062.59,3552.77,-2926.952880859375,14,70000,156.7322,14
16.1052,4386.61,3863.36,-3379.19677734375,15,75000,156.6829,15
15.8014,4574.12,3939.29,-3515.6181640625,16,80000,156.4587,16
16.4194,4866.33,4320.3,-3712.928466796875,17,85000,156.3972,17
17.3585,5079.52,4628.29,-3878.45947265625,18,90000,156.2798,18
16.4691,5164.35,4734.47,-4015.1396484375,19,95000,155.9441,19
15.3396,5533.6,4877.02,-4022.894775390625,20,100000,154.7359,20
15.7369,5883.85,5310.08,-4197.04931640625,21,105000,154.9868,21
14.7189,6129.53,5221.93,-4202.4951171875,22,110000,154.166,22
14.7265,6131.93,5043.58,-4445.53515625,23,115000,153.6504,23
15.7243,6087.21,5718.22,-4622.0537109375,24,120000,154.0674,24
15.0702,6248.56,5844.11,-4637.259765625,25,125000,152.7297,25
14.799,6530.72,6043.31,-4797.01953125,26,130000,153.1708,26
16.4293,6579.86,5976.14,-4960.64404296875,27,135000,152.7221,27
15.3557,6572.09,6226.83,-5134.34765625,28,140000,152.5482,28
15.9942,6536.8,6228.49,-5437.4365234375,29,145000,153.4324,29
14.768,6836.79,6479.37,-5226.97900390625,30,150000,151.6306,30
16.0925,7070.14,6623.05,-5501.74853515625,31,155000,152.0871,31
15.7313,7399.74,7005.8,-5554.93798828125,32,160000,151.5529,32
16.3684,7544.11,7003.35,-5677.8037109375,33,165000,151.5829,33
15.8577,7812.19,7208.0,-5844.17236328125,34,170000,151.4182,34
16.0451,7827.14,7093.46,-5825.72216796875,35,175000,151.2115,35
15.0653,7887.01,7336.61,-5911.3251953125,36,180000,151.1636,36
16.4087,8060.86,7547.14,-6101.759765625,37,185000,151.5498,37
16.71,8298.93,7655.78,-6337.2822265625,38,190000,151.4435,38
16.3579,8256.79,7630.64,-6262.32666015625,39,195000,150.7372,39
15.7184,8540.43,7371.32,-6604.23779296875,40,200000,150.3212,40
15.3126,8713.25,7212.59,-6524.1240234375,41,205000,151.0291,41
16.7193,8714.43,8137.8,-6780.2734375,42,210000,150.5316,42
14.9086,8173.72,7980.14,-6763.0390625,43,215000,150.4519,43
