Running Forward KL,Itration,Running Reverse KL,Real Sto Return,Real Det Return
75.9091,0,26.1002,-121.08,401.09
73.7298,1,25.2055,-32.99,459.13
73.0979,2,26.3057,2.12,481.24
71.1328,3,26.6146,-0.07,637.53
70.2594,4,27.2121,69.16,704.38
72.4264,5,28.45,60.79,743.32
70.0242,6,28.7347,165.64,719.26
72.0504,7,30.234,142.9,601.65
68.4901,8,28.9493,116.45,719.33
66.8428,9,28.6321,190.37,727.7
69.4848,10,29.288,221.84,641.14
67.6478,11,28.9219,199.26,1024.83
63.8159,12,27.418,252.75,1082.88
67.1468,13,29.0975,239.79,864.48
65.1799,14,27.9157,247.45,918.79
63.5676,15,27.615,208.45,885.96
63.3812,16,27.2001,291.52,1190.27
63.6447,17,27.8966,264.79,935.37
58.7835,18,25.4982,320.63,919.72
57.1151,19,24.4168,402.43,1221.82
58.5803,20,25.4376,402.27,982.94
60.8454,21,25.8306,386.32,982.14
59.4549,22,25.2624,262.81,892.08
59.5135,23,25.9232,298.64,816.63
56.864,24,24.6019,534.72,1213.06
58.6808,25,25.2523,437.41,1013.24
52.4224,26,22.3608,954.59,1532.85
62.3079,27,26.8051,399.5,1228.08
55.1882,28,23.727,667.43,1227.47
52.7481,29,22.2577,610.72,2068.0
55.9126,30,23.0882,451.1,982.19
55.3608,31,23.2978,678.6,1494.27
55.8559,32,23.3664,688.52,1358.05
51.9563,33,20.8212,726.67,1589.96
53.6783,34,21.5047,678.94,1030.24
51.5257,35,19.9811,749.48,1688.33
51.1579,36,22.0306,1937.34,2749.05
53.8158,37,21.5357,918.74,1149.82
49.991,38,20.9443,1179.76,1576.4
54.1359,39,23.6125,2166.9,2918.62
51.8818,40,23.2547,2112.85,2749.86
51.219,41,20.2686,1173.77,1679.79
52.6907,42,23.2735,2211.38,3146.22
52.0285,43,20.1417,1254.35,2136.11
54.2236,44,29.0035,2319.46,3036.33
54.1625,45,22.8553,2067.02,3140.96
55.4861,46,27.5745,2776.27,3288.88
57.0897,47,32.1663,2246.01,3604.78
55.8427,48,24.8367,2207.71,2708.05
55.3003,49,25.0211,1058.03,1644.06
57.3928,50,25.1319,2687.72,2725.39
57.0918,51,30.7914,2142.01,3747.67
57.2633,52,30.8321,1390.95,2409.47
60.3854,53,35.037,1634.83,2930.18
58.0654,54,28.6776,2783.12,3847.04
60.0997,55,34.9642,3216.09,4261.86
59.8949,56,31.5769,3302.21,4513.45
63.2813,57,39.2469,2701.46,3524.3
63.7793,58,40.6859,3005.54,3968.14
59.5876,59,32.2763,3842.95,4597.63
64.5847,60,44.0057,3352.25,4391.56
62.3505,61,39.7737,3602.73,4557.17
61.7411,62,41.3096,2236.86,3289.69
60.8178,63,36.2773,3368.88,4145.02
63.1802,64,38.7126,3737.04,4585.07
62.069,65,40.1253,1896.58,3590.86
60.7307,66,32.6968,2782.58,4665.81
72.4435,67,53.1372,3776.46,4636.62
63.3493,68,40.8368,4096.2,4656.18
65.706,69,50.2028,3296.15,4518.33
66.6203,70,47.1306,4095.72,4631.16
63.2069,71,44.088,3923.51,4613.69
66.0641,72,47.6212,3631.28,4192.86
66.7163,73,45.2588,3346.62,4327.99
62.5819,74,41.7665,3646.28,4142.59
61.7207,75,39.9829,3636.92,4494.83
71.7251,76,55.7092,3151.64,4508.09
65.6175,77,49.451,3352.25,3834.29
64.9997,78,47.1535,4434.02,4988.36
64.7684,79,46.1068,3850.68,4961.09
72.1332,80,51.212,3353.84,5016.77
65.3178,81,47.42,3993.51,4455.18
64.553,82,44.1683,3491.32,3990.41
69.3506,83,55.5911,4198.32,4886.42
67.24,84,53.6167,3954.71,5106.91
70.7674,85,54.6456,3657.96,4658.22
68.9184,86,57.9236,3956.54,5061.79
66.3852,87,53.1732,3098.05,3927.0
68.2849,88,58.472,4242.51,4981.26
75.362,89,64.2284,3649.5,4442.22
66.2409,90,50.8221,4633.45,4545.02
68.6139,91,61.431,4502.37,4280.53
78.7755,92,70.4592,3801.02,4889.71
72.0857,93,62.5732,4057.93,4354.31
71.4928,94,67.7422,3559.05,4598.21
69.7205,95,59.217,4291.12,4827.44
67.5097,96,55.1898,4010.53,4601.9
70.9211,97,58.4722,3549.07,4049.83
73.4342,98,59.3073,3958.72,4639.31
66.4684,99,54.6937,3163.04,3935.29
71.904,100,63.7978,4860.45,4426.97
70.4682,101,63.2888,4096.69,4770.39
75.8714,102,63.704,4122.21,5207.94
76.2934,103,66.2206,4004.7,5095.79
74.8861,104,66.5936,4418.52,4355.59
73.9185,105,68.8539,4271.73,5216.15
73.041,106,63.4325,3124.33,4459.71
69.1834,107,61.9253,4244.24,4721.46
65.1824,108,47.4469,3760.02,5208.25
70.2035,109,64.1846,4661.1,4990.09
68.2303,110,61.2863,4828.88,4704.66
77.1313,111,68.6364,4686.34,5263.28
72.0072,112,57.4589,4474.85,5232.49
74.7496,113,65.9833,4586.86,5121.18
72.2208,114,64.1808,4803.37,5187.02
78.2102,115,74.5194,4152.58,5262.52
74.5268,116,62.6798,5044.45,5265.73
73.134,117,62.7507,4105.88,4856.79
78.7657,118,67.9484,4534.35,4992.15
72.2098,119,60.5007,4858.35,5117.37
79.2368,120,74.5943,4858.23,5197.51
78.4805,121,69.3741,4636.99,5221.46
77.9188,122,73.7513,5172.91,5112.14
76.3388,123,70.4731,4376.55,4994.8
69.1695,124,60.746,5107.73,5306.52
77.572,125,75.629,4912.09,5350.61
74.3496,126,65.4016,4693.75,5314.59
69.5568,127,67.8967,4097.42,4879.69
75.0875,128,64.5074,5049.35,5046.64
71.1743,129,67.5868,4681.91,5295.64
71.4037,130,65.4286,4925.07,5337.99
68.6376,131,65.0303,4780.4,5129.43
77.9146,132,69.1038,4796.37,5153.94
78.461,133,73.8881,4932.98,5077.29
74.4237,134,77.667,4838.04,5179.2
77.8388,135,72.6856,4938.24,5468.51
75.3463,136,63.4672,4767.58,5425.13
80.4251,137,84.228,4444.17,4547.06
69.9572,138,65.3841,4367.29,5326.06
77.9987,139,70.3922,4777.7,5471.44
75.6642,140,69.5129,4974.45,5491.34
78.2751,141,77.2399,4714.04,5194.81
76.9533,142,68.2439,4631.21,4989.96
71.2137,143,66.63,4657.64,5327.2
70.8872,144,69.5078,4894.67,5182.16
80.6808,145,79.1188,5115.84,5154.84
79.6417,146,75.5833,4859.8,5378.53
78.8708,147,78.0818,4907.12,5389.66
76.7417,148,68.7617,4912.52,5152.98
76.3457,149,72.1982,5146.02,5148.05
76.4556,150,73.3074,4771.25,5323.78
77.2225,151,73.0301,4561.21,5464.8
79.0064,152,73.7104,4568.07,5559.82
76.833,153,75.9561,4838.56,5275.7
71.7119,154,70.9992,4750.88,4812.5
77.2577,155,79.3432,4474.83,5412.04
75.4812,156,66.8344,5138.15,5391.29
76.5601,157,70.281,5008.35,5526.69
80.8203,158,82.0181,5312.1,5435.79
77.4582,159,70.2459,4909.52,5608.43
69.5939,160,65.71,3982.83,4898.22
79.2274,161,74.2448,5119.38,5161.82
73.6091,162,74.3041,4807.94,5369.66
77.8612,163,74.5587,4036.88,5066.55
77.7116,164,76.0897,5330.12,5217.65
78.0822,165,76.524,4850.81,5629.61
79.6678,166,83.5893,4695.26,5436.89
79.9699,167,77.3308,5071.62,5283.01
77.3258,168,72.2652,4551.98,5623.85
78.7188,169,73.6532,5153.03,5527.56
81.8271,170,79.1532,5261.75,5510.92
77.9402,171,72.9276,3811.54,5094.2
72.8106,172,70.6896,4684.44,5601.55
79.0432,173,77.4695,4425.62,5565.44
79.3803,174,73.3761,4571.28,5347.54
78.1276,175,74.2819,4360.13,5429.47
77.8372,176,75.9572,4815.75,5423.58
80.3479,177,76.9288,5275.27,5620.88
78.4509,178,76.7187,5189.27,5016.81
78.5905,179,76.1451,5178.7,5007.63
80.7262,180,79.2088,4486.88,5666.95
74.4766,181,76.3981,4889.43,5311.03
77.3893,182,75.2072,5103.05,5038.36
75.5963,183,68.219,5348.89,5696.44
79.7833,184,79.9004,5016.66,5531.85
78.673,185,75.4523,4971.58,5299.57
81.3349,186,79.4403,5411.77,5664.98
79.341,187,77.7198,5253.35,5694.42
80.2636,188,74.581,4921.29,5705.95
82.2247,189,84.5668,4362.21,4986.9
82.3447,190,82.0681,5442.89,5689.53
80.4358,191,73.7056,4816.75,5482.12
75.6944,192,76.5305,4893.07,5504.33
73.5703,193,75.1105,5077.9,5593.65
80.2757,194,74.3136,4786.79,5470.22
78.5933,195,73.0352,4583.95,5612.7
70.536,196,64.3998,5030.48,5414.8
80.9911,197,76.9256,5373.88,5813.08
79.1132,198,71.9003,4796.47,5363.97
80.3343,199,80.451,5157.6,5483.7
79.7969,200,73.1224,5337.77,5540.65
