Real Det Return,Real Sto Return,Itration,Reward Loss,Running Forward KL,Running Reverse KL,Running Update Time,Running Env Steps
5190.51,5160.4,132,-13525.4345703125,310.6968,130.4749,132,660000
5126.98,4709.31,133,-13014.93359375,303.7626,123.1899,133,665000
5311.9,4963.14,134,-10933.046875,292.9252,95.6737,134,670000
5002.58,5008.05,135,-12579.400390625,301.6952,100.2234,135,675000
5219.31,5192.69,136,-13168.39453125,298.8361,115.1407,136,680000
4271.47,4465.4,137,-13012.890625,298.3903,115.2032,137,685000
4966.66,5064.75,138,-12647.439453125,295.4281,114.1074,138,690000
5148.1,5092.65,139,-12748.162109375,291.2518,107.1754,139,695000
5205.26,5174.83,140,-11839.55078125,288.1955,94.2554,140,700000
5209.55,5230.1,141,-12023.7099609375,290.6493,90.0305,141,705000
5124.57,4948.9,142,-14023.0673828125,304.2956,120.9941,142,710000
5224.98,5145.33,143,-11351.6787109375,283.4595,79.2793,143,715000
5108.14,4927.58,144,-12547.3466796875,289.0752,100.035,144,720000
5223.79,5237.12,145,-12518.9931640625,285.6128,90.259,145,725000
5332.86,4579.71,146,-12860.37890625,300.7354,109.0537,146,730000
5088.49,3788.54,147,-14114.3935546875,305.5148,128.6768,147,735000
5248.89,5299.22,148,-12864.5439453125,295.6471,94.2447,148,740000
5300.19,5260.08,149,-11879.1640625,286.0376,86.9589,149,745000
5296.01,5149.58,150,-12524.98828125,299.5033,106.4784,150,750000
5377.73,5277.55,151,-11917.486328125,280.5084,78.1377,151,755000
5271.21,4990.27,152,-11903.712890625,280.4356,74.764,152,760000
5313.92,5315.13,153,-12201.728515625,291.5764,86.5389,153,765000
5331.12,5221.63,154,-12600.2236328125,285.2136,79.5198,154,770000
5325.2,5261.79,155,-12823.3447265625,287.8458,79.4335,155,775000
5295.43,5274.98,156,-12570.62890625,285.2554,79.422,156,780000
5234.41,5087.93,157,-12421.94140625,287.0165,84.7054,157,785000
5262.62,5022.2,158,-12143.291015625,277.6869,70.2268,158,790000
5309.42,5174.55,159,-13432.876953125,293.0038,87.2186,159,795000
5285.76,5099.58,160,-13245.2587890625,287.3283,82.997,160,800000
5266.8,5160.66,161,-12717.8291015625,283.9243,70.0545,161,805000
5310.02,5288.43,162,-14234.462890625,290.9162,86.8302,162,810000
5271.85,4673.09,163,-12595.11328125,277.4421,76.6405,163,815000
5279.39,4783.16,164,-13993.6162109375,298.1211,102.6626,164,820000
5336.18,5076.54,165,-12968.556640625,278.512,70.5076,165,825000
5296.92,4971.61,166,-12500.41015625,280.9831,67.1836,166,830000
5388.31,5244.94,167,-14220.4951171875,292.4268,96.2307,167,835000
5452.59,5210.33,168,-14530.78515625,297.8342,99.1987,168,840000
5371.44,5178.63,169,-13933.11328125,289.2176,84.4183,169,845000
5315.87,4602.1,170,-12992.578125,277.7623,68.3951,170,850000
5266.69,4736.29,171,-13799.9462890625,288.9044,88.6169,171,855000
5376.9,5166.37,172,-13110.40234375,279.4683,71.3592,172,860000
5185.28,5158.82,173,-14074.638671875,295.0622,88.9332,173,865000
5418.16,5240.56,174,-13797.9931640625,290.4549,81.4017,174,870000
4893.37,5292.82,175,-15083.9228515625,293.7647,93.5173,175,875000
4558.47,4898.69,176,-15202.03515625,292.9685,98.5988,176,880000
5059.64,5248.23,177,-15393.546875,294.905,97.5287,177,885000
5429.95,5366.43,178,-15770.75390625,302.9371,109.9344,178,890000
4903.86,4743.03,179,-15047.365234375,292.4016,87.0647,179,895000
5216.05,5287.53,180,-15779.240234375,300.4527,110.8098,180,900000
5281.55,4929.7,181,-14603.056640625,283.2286,79.847,181,905000
5106.78,5266.78,182,-16068.18359375,305.6112,112.7551,182,910000
5387.54,5322.79,183,-14744.1591796875,290.7844,86.9261,183,915000
5092.51,4528.9,184,-15962.7705078125,294.3612,96.0094,184,920000
5234.37,4901.95,185,-15751.72265625,290.8457,86.5168,185,925000
2647.62,4452.84,186,-15640.318359375,305.7685,122.8621,186,930000
5160.8,5232.67,187,-15606.8515625,288.1793,86.8576,187,935000
5120.12,5284.11,188,-16031.09375,295.5633,100.2138,188,940000
4574.58,5170.43,189,-15278.552734375,288.398,87.0433,189,945000
3468.83,5200.66,190,-15375.4560546875,289.6155,86.166,190,950000
5431.08,5370.09,191,-15868.3779296875,296.3191,94.4757,191,955000
5423.99,5345.85,192,-15821.87890625,292.6298,101.3052,192,960000
3863.88,4910.81,193,-15380.3251953125,292.9798,106.3387,193,965000
3802.36,5290.49,194,-15540.65625,293.0723,102.7738,194,970000
5181.42,5080.0,195,-15030.7958984375,283.543,89.5284,195,975000
5246.91,5251.46,196,-16218.654296875,289.6631,94.8744,196,980000
5281.01,5371.21,197,-15875.4814453125,290.9383,100.5239,197,985000
4435.59,5079.02,198,-15373.884765625,288.9793,93.677,198,990000
5124.26,5344.18,199,-16335.3447265625,293.1649,102.9114,199,995000
5322.98,5316.44,200,-15736.671875,289.1598,93.4846,200,1000000
5310.67,5181.58,201,-15801.5830078125,286.8762,88.7994,201,1005000
5530.69,5128.89,202,-16284.19140625,293.3174,102.5748,202,1010000
5290.45,5269.89,203,-16029.0849609375,294.3396,102.2459,203,1015000
3755.03,4621.37,204,-15868.826171875,295.4316,97.967,204,1020000
5578.2,5158.11,205,-16661.244140625,311.6793,120.9051,205,1025000
5388.53,5399.84,206,-16390.85546875,299.7866,110.8054,206,1030000
