Real Det Return,Real Sto Return,Itration,Reward Loss,Running Forward KL,Running Reverse KL,Running Update Time,Running Env Steps
317.27,256.5,0,-1411.355224609375,434.5656,251.6562,0,0
303.96,304.23,1,-5338.95751953125,433.6627,371.3796,1,5000
319.1,335.74,2,-4679.63232421875,421.6261,359.6682,2,10000
470.9,429.66,3,-4158.73046875,396.5248,311.2291,3,15000
296.41,384.71,4,-2049.57421875,420.2676,266.3267,4,20000
323.24,370.3,5,-4188.8369140625,398.1003,292.7358,5,25000
406.23,372.03,6,-5274.12841796875,395.0854,285.8518,6,30000
472.64,458.46,7,-4343.6494140625,390.2058,248.2886,7,35000
580.92,500.84,8,-4612.384765625,388.5382,253.6366,8,40000
525.52,489.88,9,-4189.07666015625,400.9755,242.3828,9,45000
508.63,551.82,10,-4676.78955078125,370.4212,257.8143,10,50000
573.66,495.12,11,-3516.601806640625,394.0524,232.0455,11,55000
575.19,539.79,12,-4520.7509765625,387.5719,237.93,12,60000
543.29,624.16,13,-4121.54052734375,368.3758,236.8361,13,65000
551.96,570.28,14,-4094.307861328125,383.7385,248.2593,14,70000
489.73,486.13,15,-4362.08984375,392.8635,266.5459,15,75000
609.78,557.76,16,-4418.126953125,391.9325,244.3036,16,80000
589.95,605.22,17,-4604.43017578125,377.1768,250.1338,17,85000
514.8,616.13,18,-3541.805908203125,395.3903,270.4287,18,90000
492.02,631.24,19,-6972.4814453125,382.8699,273.1413,19,95000
466.89,735.31,20,-7362.11767578125,383.577,276.8246,20,100000
561.12,590.95,21,-6023.93994140625,371.7014,284.684,21,105000
509.06,578.07,22,-7860.67333984375,373.2696,293.8441,22,110000
774.07,813.04,23,-6147.35205078125,365.8131,244.097,23,115000
722.98,1013.01,24,-6674.33837890625,358.7782,227.411,24,120000
700.03,729.92,25,-7383.2666015625,372.657,252.3364,25,125000
936.22,943.69,26,-5568.65673828125,351.0308,209.178,26,130000
601.44,793.77,27,-5492.85498046875,354.1176,220.8028,27,135000
563.14,741.8,28,-6870.8056640625,370.7377,257.9317,28,140000
709.95,820.66,29,-5797.96142578125,365.1121,234.987,29,145000
1145.98,1215.4,30,-6788.96044921875,346.4775,211.8261,30,150000
915.11,1074.94,31,-6585.03515625,337.4349,224.939,31,155000
958.15,1137.23,32,-5647.00439453125,341.8352,230.3582,32,160000
1096.56,1044.03,33,-7094.3447265625,352.8117,256.0667,33,165000
563.47,1003.31,34,-9648.4609375,360.4993,308.4206,34,170000
882.63,851.05,35,-8576.8720703125,354.7934,252.2977,35,175000
728.57,959.89,36,-8164.85400390625,356.2817,242.1323,36,180000
690.32,1070.85,37,-8062.31298828125,357.1007,242.1943,37,185000
1632.54,1192.18,38,-7222.939453125,350.7457,204.981,38,190000
971.71,1309.32,39,-7155.76953125,351.857,202.8763,39,195000
754.96,1078.37,40,-6766.65673828125,343.3402,191.029,40,200000
769.04,975.65,41,-7804.2578125,359.2051,235.8683,41,205000
1728.51,1932.75,42,-5570.2822265625,316.8926,163.794,42,210000
719.49,960.78,43,-7945.546875,345.4146,213.7287,43,215000
804.88,1093.54,44,-8434.494140625,348.9752,219.101,44,220000
984.77,1384.72,45,-8363.09765625,344.4387,209.6133,45,225000
716.16,1483.31,46,-8002.6357421875,339.4913,205.4442,46,230000
962.1,895.48,47,-6967.48291015625,340.1766,200.0298,47,235000
1498.65,1512.13,48,-7565.24072265625,329.4522,202.383,48,240000
2739.3,1712.33,49,-5910.95556640625,317.3561,170.1251,49,245000
1099.76,1352.62,50,-7125.46728515625,342.4315,196.6672,50,250000
3242.18,2239.33,51,-5419.388671875,315.6534,167.6978,51,255000
2196.41,2268.99,52,-3708.814697265625,313.3894,126.6038,52,260000
1722.87,1825.13,53,-5182.96435546875,316.071,155.8846,53,265000
2558.85,3069.46,54,-5194.39453125,319.7492,155.5724,54,270000
2989.22,2173.02,55,-5639.970703125,317.6785,153.83,55,275000
1551.36,2178.61,56,-6637.44189453125,323.8431,170.6798,56,280000
1249.02,2034.91,57,-8429.8193359375,354.5195,202.3776,57,285000
4202.46,3175.08,58,-3934.2607421875,300.0435,107.1411,58,290000
1607.76,2550.91,59,-5446.64501953125,314.3331,149.3727,59,295000
1603.09,1206.52,60,-8529.552734375,347.6039,206.6768,60,300000
1025.96,2352.59,61,-7860.8828125,339.2304,198.4787,61,305000
1335.89,2341.98,62,-6235.03759765625,318.9724,148.4895,62,310000
4189.52,3138.33,63,-5684.69384765625,315.3414,143.2827,63,315000
1969.13,2534.63,64,-6720.5107421875,322.3121,153.5719,64,320000
2775.85,4101.63,65,-6000.1201171875,316.4399,152.1834,65,325000
3585.9,3136.95,66,-5718.51416015625,312.0988,129.1874,66,330000
2148.93,3540.12,67,-7863.8359375,327.9667,171.5199,67,335000
2735.55,3585.14,68,-5738.75537109375,313.6543,138.5042,68,340000
3985.17,2327.84,69,-7597.7490234375,323.8519,195.3024,69,345000
3407.99,4252.45,70,-5855.90185546875,308.8884,139.5074,70,350000
5218.81,4968.56,71,-3795.52734375,297.5488,106.4914,71,355000
5025.03,4575.81,72,-4456.15869140625,302.8032,117.1864,72,360000
4414.41,3982.0,73,-4592.560546875,300.9899,116.9368,73,365000
5228.08,4095.11,74,-4985.23583984375,293.8381,100.7913,74,370000
5166.09,4726.55,75,-3472.403564453125,292.077,88.6399,75,375000
4687.24,4920.87,76,-3580.85205078125,289.1194,86.8437,76,380000
1866.86,2319.15,77,-7084.34228515625,305.8511,140.4433,77,385000
5224.07,5056.07,78,-6018.45068359375,305.1387,124.9123,78,390000
4332.17,4613.25,79,-4931.20361328125,292.4752,90.7429,79,395000
5022.44,4146.15,80,-4985.95947265625,291.9163,97.2611,80,400000
5242.88,4780.28,81,-4334.61279296875,291.0821,95.0193,81,405000
5080.8,4912.1,82,-5063.00048828125,297.002,101.3323,82,410000
5206.63,4510.53,83,-5679.494140625,294.73,109.4426,83,415000
5170.07,4399.33,84,-5215.15185546875,290.0714,100.1518,84,420000
5256.06,4429.27,85,-5580.1318359375,292.1044,98.8016,85,425000
5186.44,4816.36,86,-5403.6962890625,294.908,91.5831,86,430000
5123.21,4620.79,87,-6086.42138671875,301.9083,113.8572,87,435000
5273.75,4927.16,88,-5495.10302734375,293.4883,99.6449,88,440000
5076.19,4468.47,89,-7137.5224609375,299.5281,109.7072,89,445000
5292.09,5196.76,90,-6306.97705078125,298.7618,95.8925,90,450000
5337.68,4885.65,91,-6680.1494140625,298.7399,112.5173,91,455000
5328.04,4927.46,92,-6779.59619140625,296.8557,102.9258,92,460000
5206.04,5081.36,93,-6204.1083984375,286.2062,80.1652,93,465000
5260.44,5199.05,94,-6539.07177734375,297.398,93.8732,94,470000
5293.11,4134.64,95,-6358.16064453125,290.5975,87.4237,95,475000
5064.49,5174.61,96,-6491.87939453125,288.7951,89.5836,96,480000
5234.33,5119.14,97,-7478.41162109375,295.6538,100.2476,97,485000
5129.26,4434.82,98,-7507.208984375,302.9692,106.3776,98,490000
5241.61,5166.21,99,-6654.70361328125,290.8521,78.1009,99,495000
5038.22,4808.44,100,-7481.15869140625,300.1646,94.2735,100,500000
5316.85,5220.9,101,-7097.14306640625,291.9598,80.5214,101,505000
5251.07,5205.75,102,-7198.20068359375,292.8625,84.7173,102,510000
5329.07,4814.68,103,-7389.0986328125,294.9825,91.8162,103,515000
5027.5,4569.4,104,-8316.3974609375,309.0429,122.9397,104,520000
5321.96,4956.12,105,-7759.28857421875,298.4077,99.7454,105,525000
5193.12,4981.88,106,-7449.35302734375,284.2922,76.265,106,530000
4917.1,4990.63,107,-9431.2236328125,310.4917,122.1663,107,535000
5277.84,4737.66,108,-8193.5615234375,295.2952,98.585,108,540000
5290.4,5252.65,109,-8700.353515625,298.433,96.4288,109,545000
5288.83,4878.5,110,-8688.5439453125,294.0904,85.4,110,550000
5351.27,5116.22,111,-8777.330078125,294.8985,96.4361,111,555000
5202.12,5041.27,112,-9796.974609375,300.1426,115.1116,112,560000
5192.9,5136.13,113,-10374.3291015625,303.7896,107.7155,113,565000
5278.13,5219.14,114,-9975.8759765625,296.0523,103.2953,114,570000
5165.12,5123.25,115,-10528.1630859375,300.4758,109.1991,115,575000
5270.23,5214.83,116,-9531.6044921875,289.5901,80.41,116,580000
4827.21,4603.84,117,-9741.68359375,288.703,91.7998,117,585000
5250.01,5118.84,118,-8974.3603515625,287.1,86.5869,118,590000
4224.49,4754.76,119,-9024.2470703125,292.7854,93.9918,119,595000
5334.34,5262.76,120,-10034.4794921875,296.4683,97.5473,120,600000
4375.17,5110.84,121,-9760.244140625,298.5894,105.5483,121,605000
4745.44,5202.07,122,-9358.2998046875,291.5642,90.7775,122,610000
5290.11,4613.25,123,-10170.712890625,300.181,97.8141,123,615000
2595.85,2654.47,124,-12161.1630859375,330.9844,160.5809,124,620000
4235.62,4356.79,125,-12016.912109375,315.9429,130.0042,125,625000
4274.0,3650.66,126,-12477.7001953125,316.0119,145.987,126,630000
5179.08,5184.79,127,-11389.2939453125,306.0795,108.1703,127,635000
4665.31,4600.48,128,-12480.4072265625,310.4574,126.2497,128,640000
5234.96,4995.2,129,-12613.53125,309.2293,121.8522,129,645000
5167.23,5162.12,130,-13808.412109375,319.9809,158.1847,130,650000
5146.86,4916.81,131,-12765.1611328125,314.7036,137.7271,131,655000
