Reward Loss,Real Sto Return,Itration,Running Forward KL,Running Update Time,Real Det Return,Running Reverse KL,Running Env Steps
296.09197998046875,177.65,0,32.1402,0,178.53,21.6433,0
133.70677185058594,284.22,1,29.0948,1,261.77,29.1717,5000
98.80082702636719,274.33,2,33.2834,2,270.13,34.329,10000
12.064962387084961,187.29,3,31.9212,3,257.68,26.1735,15000
-68.30547332763672,286.99,4,28.4415,4,284.53,20.0575,20000
-137.31483459472656,298.37,5,29.2197,5,304.69,20.3976,25000
-158.72848510742188,346.74,6,27.8596,6,376.55,24.62,30000
-196.75265502929688,322.5,7,30.8301,7,179.24,27.6474,35000
-220.24148559570312,313.53,8,30.916,8,321.87,30.0313,40000
-251.67318725585938,392.58,9,30.7373,9,247.16,28.3815,45000
-341.41943359375,305.71,10,28.9414,10,350.18,31.6248,50000
-425.2720947265625,329.63,11,28.4912,11,357.22,32.9787,55000
-420.5308532714844,361.22,12,29.0781,12,511.71,28.8682,60000
-501.7198486328125,356.82,13,27.884,13,358.29,32.8866,65000
-580.6041259765625,396.42,14,26.2986,14,412.4,29.965,70000
-536.6491088867188,455.08,15,26.6774,15,640.27,23.4105,75000
-647.9146728515625,305.91,16,26.0753,16,444.87,30.0279,80000
-524.917724609375,518.91,17,25.1325,17,566.03,21.2026,85000
-580.9777221679688,600.56,18,24.5269,18,650.01,20.766,90000
-453.8414611816406,395.0,19,25.5659,19,519.49,21.3092,95000
-560.3385620117188,713.82,20,24.619,20,775.54,18.4117,100000
-514.82763671875,819.39,21,24.1998,21,817.08,17.0025,105000
-181.77597045898438,835.89,22,23.3193,22,829.25,12.1495,110000
-250.08570861816406,582.89,23,26.1436,23,486.58,13.0616,115000
-568.5911254882812,424.06,24,25.739,24,275.05,22.7234,120000
-414.84503173828125,960.7,25,24.9036,25,275.62,17.6033,125000
-539.4993286132812,906.92,26,24.4229,26,1473.73,16.4414,130000
-478.0908508300781,749.04,27,23.2434,27,294.09,14.5426,135000
-548.6778564453125,1106.8,28,21.8478,28,1140.4,13.1777,140000
-801.5506591796875,1588.95,29,23.3586,29,3003.82,24.2057,145000
-696.1466064453125,1659.47,30,23.2292,30,1892.87,21.7663,150000
-937.156494140625,981.81,31,24.7486,31,852.82,24.8431,155000
-964.0860595703125,1088.81,32,24.41,32,1032.59,18.9357,160000
-866.800537109375,1544.07,33,23.1675,33,1415.95,15.4911,165000
-864.508544921875,1249.04,34,24.2283,34,1319.2,15.1259,170000
-793.5518798828125,1506.63,35,22.1088,35,2102.24,16.1127,175000
-765.2037353515625,1541.04,36,22.7152,36,1941.95,14.3252,180000
-619.7935180664062,2275.21,37,22.8944,37,3049.32,13.3442,185000
-446.8238220214844,2781.25,38,23.2003,38,2719.83,12.5188,190000
-396.3662414550781,2929.13,39,22.7413,39,3124.22,12.6385,195000
-152.81834411621094,3239.59,40,22.2647,40,3233.75,12.1778,200000
-333.37994384765625,1252.76,41,20.9663,41,3276.17,12.4036,205000
-281.37841796875,2313.26,42,20.9159,42,3440.43,12.006,210000
-349.6756591796875,2564.11,43,21.9148,43,3338.8,12.464,215000
-778.1235961914062,2466.48,44,21.5595,44,3386.77,12.5158,220000
-1107.939453125,1479.18,45,23.0038,45,2345.98,14.4317,225000
-864.9710083007812,1503.48,46,22.6338,46,3295.7,12.6064,230000
-1120.056884765625,1281.13,47,23.4942,47,1034.55,11.9997,235000
-651.7921142578125,2713.68,48,21.7345,48,3427.08,12.9681,240000
-825.5935668945312,1693.48,49,21.5853,49,2674.85,12.531,245000
-534.7098999023438,2109.12,50,21.5749,50,3214.63,25.4865,250000
-695.0664672851562,1329.94,51,22.0275,51,1230.9,16.5896,255000
-1210.216796875,1455.09,52,23.4058,52,1660.94,19.6617,260000
-723.8102416992188,1739.5,53,21.8593,53,1436.32,18.3219,265000
-1121.65673828125,1440.12,54,21.2119,54,1983.05,21.4323,270000
-1038.6505126953125,1394.15,55,21.3145,55,1553.21,43.8767,275000
-1217.1180419921875,1169.81,56,23.1777,56,1338.55,34.844,280000
-1748.088134765625,365.65,57,25.5357,57,216.36,23.989,285000
-1230.1075439453125,1031.19,58,22.5544,58,1128.97,18.0933,290000
-631.9298706054688,1823.4,59,21.7039,59,3374.03,13.2481,295000
-1061.569091796875,1844.03,60,22.1989,60,3224.68,17.1365,300000
-1109.914306640625,934.54,61,23.1383,61,1861.04,12.8356,305000
-880.5700073242188,1973.99,62,21.8085,62,3389.61,16.7601,310000
-596.6458129882812,2643.67,63,21.0495,63,3263.06,28.9909,315000
-634.2144165039062,2427.74,64,20.1219,64,3268.31,28.0248,320000
-819.3189697265625,2320.59,65,21.4905,65,3156.7,11.896,325000
-331.8108215332031,2629.23,66,21.3648,66,3436.1,13.0366,330000
-1435.5958251953125,898.5,67,24.8471,67,3414.93,20.2268,335000
-1372.646728515625,1867.62,68,23.0336,68,3283.96,19.5595,340000
-1047.1785888671875,1357.29,69,22.5642,69,1779.92,13.0613,345000
-558.3203125,2044.68,70,21.1663,70,3400.75,12.1176,350000
-510.9510498046875,2695.7,71,21.2914,71,3310.94,14.3388,355000
