Running Env Steps,Running Reverse KL,Real Det Return,Real Sto Return,Running Forward KL,Itration,Running Update Time,Reward Loss
0,12.7748,301.0,305.26,49.125,0,0,147.76870727539062
5000,51.2369,332.49,363.79,50.3032,1,1,-95.60514068603516
10000,41.8422,341.02,337.29,50.3665,2,2,-88.80630493164062
15000,29.9917,409.48,384.1,50.3332,3,3,-86.91581726074219
20000,20.4675,464.12,459.17,49.3987,4,4,-45.225894927978516
25000,31.456,473.65,488.88,49.8954,5,5,-103.92835235595703
30000,17.7746,469.03,480.98,48.7799,6,6,-37.08460998535156
35000,28.1452,724.88,534.44,48.7545,7,7,-100.02906799316406
40000,44.5949,508.23,475.56,49.2487,8,8,-44.20547103881836
45000,39.755,1842.99,1009.7,48.4178,9,9,-67.87781524658203
50000,30.2914,1107.4,1055.8,48.3572,10,10,-91.50602722167969
55000,41.9527,516.6,792.73,48.5587,11,11,-115.73722076416016
60000,19.2292,1514.67,1154.84,48.0367,12,12,-90.10089874267578
65000,14.2308,598.73,1176.56,47.3379,13,13,-40.79346466064453
70000,25.9419,597.24,714.96,48.0863,14,14,-67.7157211303711
75000,19.2709,828.96,879.91,47.7267,15,15,-51.701663970947266
80000,39.3693,708.79,1240.03,48.0181,16,16,-137.60081481933594
85000,20.2502,2197.24,2104.37,47.7393,17,17,-95.38728332519531
90000,28.4938,790.59,1286.86,47.2724,18,18,-167.5377197265625
95000,21.8737,1782.56,2201.43,47.5719,19,19,-126.40486907958984
100000,20.1012,2428.28,2266.29,46.435,20,20,-121.23757934570312
105000,17.3433,2209.65,2338.69,47.7136,21,21,-125.13163757324219
110000,20.2279,2884.64,2607.44,46.6314,22,22,-153.0399169921875
115000,19.3376,3041.84,3018.54,46.8633,23,23,-143.51490783691406
120000,18.5293,2908.17,2875.15,47.177,24,24,-152.88600158691406
125000,18.0052,2999.72,2903.18,46.47,25,25,-151.74559020996094
130000,24.5176,3369.41,3384.85,47.3499,26,26,-152.0846710205078
135000,21.7064,3452.0,3465.27,45.8626,27,27,-162.40109252929688
140000,22.1278,3259.99,3295.71,46.2498,28,28,-179.53297424316406
145000,22.8947,3381.04,3363.65,46.9448,29,29,-181.47885131835938
150000,20.1016,3519.61,3505.32,45.245,30,30,-173.3756866455078
155000,20.4894,3526.62,3508.61,45.8109,31,31,-175.8009490966797
160000,20.374,3524.29,3542.45,45.385,32,32,-184.75628662109375
