Real Det Return,Reward Loss,Running Forward KL,Running Reverse KL,Itration,Real Sto Return,Running Env Steps,Running Update Time
380.74,68.62586212158203,49.3698,13.5736,0,330.44,0,0
368.51,-27.276403427124023,49.3977,19.2633,1,364.76,5000,1
415.13,-90.86499786376953,50.2686,23.4154,2,404.9,10000,2
375.62,-5.877226829528809,49.2326,15.9884,3,379.43,15000,3
423.36,16.168743133544922,48.8111,15.5779,4,402.18,20000,4
414.76,12.644783020019531,49.1804,14.1846,5,401.34,25000,5
386.65,-141.47470092773438,49.5568,46.3769,6,416.65,30000,6
378.0,-166.02146911621094,49.6581,52.031,7,400.03,35000,7
481.41,-183.98297119140625,49.5761,54.7462,8,428.06,40000,8
463.73,-171.50547790527344,49.4229,54.7219,9,434.5,45000,9
404.08,-191.0702362060547,49.8729,46.7045,10,438.69,50000,10
531.02,-164.73797607421875,48.4548,37.3032,11,467.94,55000,11
418.39,-205.0396728515625,49.8163,43.2468,12,419.82,60000,12
557.04,-225.29257202148438,49.4622,43.8032,13,519.45,65000,13
620.41,-227.03700256347656,49.2267,55.1327,14,580.51,70000,14
642.8,-255.2032470703125,49.7783,58.3045,15,610.53,75000,15
735.62,-267.8699035644531,48.5028,65.3845,16,626.23,80000,16
663.73,-270.4366149902344,48.0792,63.436,17,667.93,85000,17
559.82,-32.15924072265625,46.7143,14.5577,18,594.2,90000,18
620.28,-280.923095703125,48.1481,56.9184,19,610.08,95000,19
620.5,-111.53611755371094,47.4859,16.7014,20,602.72,100000,20
634.57,-104.8116683959961,47.0482,13.6709,21,672.98,105000,21
676.49,-273.1892395019531,46.8113,29.2065,22,699.7,110000,22
708.35,-259.507080078125,47.3563,24.7912,23,700.05,115000,23
786.83,-297.9876403808594,47.8337,33.9815,24,740.17,120000,24
759.47,-301.1315612792969,47.6446,32.3664,25,670.65,125000,25
795.92,-288.9516296386719,47.5802,24.973,26,730.08,130000,26
833.38,-281.7810974121094,46.6178,28.174,27,852.0,135000,27
732.41,-228.30499267578125,46.8408,16.6307,28,794.26,140000,28
908.96,-274.4792785644531,47.1188,20.4728,29,810.4,145000,29
749.07,-253.13023376464844,46.6065,17.9459,30,823.31,150000,30
1549.63,-219.24461364746094,46.0001,16.2767,31,967.58,155000,31
1014.97,-208.83070373535156,46.3375,18.9542,32,1092.42,160000,32
1168.27,-353.32086181640625,46.398,30.8738,33,945.0,165000,33
1027.09,-356.3440246582031,46.2637,28.2424,34,925.94,170000,34
1875.39,-341.496826171875,46.3279,22.6145,35,1218.03,175000,35
910.25,-319.9276428222656,47.2654,23.9478,36,865.26,180000,36
948.77,-358.8594665527344,46.105,17.7875,37,1028.15,185000,37
874.21,-384.72430419921875,47.5181,29.6543,38,907.0,190000,38
885.35,-368.99578857421875,46.6544,23.8899,39,953.62,195000,39
1730.63,-326.3948059082031,45.2717,20.7125,40,1528.47,200000,40
2096.74,-346.1087341308594,46.2415,17.3121,41,1569.61,205000,41
2502.6,-384.7129821777344,45.8197,19.574,42,1338.64,210000,42
2937.63,-300.4438781738281,45.4248,17.2336,43,2038.81,215000,43
3079.03,-318.6968688964844,45.0834,19.0413,44,2468.97,220000,44
2904.79,-302.0720520019531,45.4613,18.5485,45,2954.03,225000,45
3204.3,-265.27197265625,44.9136,17.638,46,3204.95,230000,46
3472.54,-283.6829833984375,45.2483,18.8308,47,2935.01,235000,47
2790.32,-376.83636474609375,45.0713,21.5629,48,1858.31,240000,48
2904.49,-397.852783203125,45.3204,23.9273,49,2342.04,245000,49
3789.95,-290.0911560058594,44.076,18.9098,50,3391.64,250000,50
3184.08,-285.0032958984375,44.8704,19.0153,51,3374.89,255000,51
3646.41,-329.46453857421875,45.4055,19.3945,52,3407.27,260000,52
3645.06,-340.5862731933594,45.3137,19.8331,53,3483.71,265000,53
3628.08,-385.9901123046875,45.2864,20.5483,54,3024.89,270000,54
3701.59,-368.53466796875,45.0243,20.2306,55,2957.41,275000,55
3669.59,-321.8201904296875,44.5698,19.4372,56,3565.31,280000,56
2982.12,-401.17071533203125,45.258,20.5825,57,2327.08,285000,57
3770.05,-336.79400634765625,45.0113,18.8603,58,3648.21,290000,58
3887.25,-370.0339050292969,43.959,20.9676,59,3430.62,295000,59
3760.88,-362.4443054199219,44.7306,18.1369,60,3494.92,300000,60
3792.25,-362.2880554199219,45.1128,21.06,61,3816.27,305000,61
3868.4,-359.9248352050781,44.1496,18.3406,62,3769.23,310000,62
3834.53,-368.6472473144531,44.5113,19.3295,63,3701.66,315000,63
3453.79,-351.4925537109375,43.5147,18.1259,64,3789.28,320000,64
3880.89,-396.4422607421875,44.3515,19.5567,65,3887.67,325000,65
3912.44,-380.4041748046875,44.0193,19.572,66,3704.33,330000,66
3926.19,-376.437744140625,43.9154,19.4943,67,3909.76,335000,67
3929.01,-393.753173828125,43.933,18.864,68,3977.33,340000,68
4016.16,-400.10308837890625,43.708,19.4365,69,4032.88,345000,69
4136.85,-372.4113464355469,43.3895,19.8494,70,4100.86,350000,70
3931.17,-388.5540771484375,43.3404,19.141,71,3950.4,355000,71
3715.57,-416.7752685546875,44.5341,20.5654,72,3789.16,360000,72
4076.71,-381.1639099121094,42.8242,19.0575,73,3950.0,365000,73
3953.25,-405.8498229980469,43.4899,20.421,74,3968.64,370000,74
3900.68,-418.5155944824219,43.4934,19.6785,75,3963.82,375000,75
4059.18,-388.9275207519531,42.9908,19.1095,76,4086.4,380000,76
4116.02,-413.091796875,42.8373,18.5421,77,4116.72,385000,77
4266.37,-413.09228515625,42.6581,19.8851,78,4229.18,390000,78
