Itration,Running Forward KL,Real Sto Return,Running Reverse KL,Real Det Return,Running Update Time,Reward Loss,Running Env Steps
0,75.7557,-65.36,27.5935,339.63,0,53.078697204589844,0
1,74.3854,-115.86,25.1413,430.03,1,40.466400146484375,5000
2,72.3243,-24.62,26.7911,716.33,2,28.609575271606445,10000
3,72.5975,5.48,27.3407,559.35,3,21.788969039916992,15000
4,72.1723,20.23,29.3746,643.91,4,10.449365615844727,20000
5,72.4938,69.51,29.639,724.82,5,2.5132038593292236,25000
6,71.0486,103.58,29.6307,743.44,6,-8.071311950683594,30000
7,72.9825,86.06,30.7809,754.3,7,-25.10546875,35000
8,71.9331,121.05,30.6046,777.06,8,-35.0310173034668,40000
9,71.0964,158.49,30.8758,798.62,9,-46.06386184692383,45000
10,71.4063,187.4,31.5558,727.29,10,-53.226009368896484,50000
11,73.0898,158.59,32.3828,669.31,11,-69.90670776367188,55000
12,70.8828,162.33,30.9003,881.6,12,-80.1653060913086,60000
13,70.6175,189.51,30.908,846.18,13,-96.85565948486328,65000
14,71.0104,182.34,31.078,744.87,14,-105.49561309814453,70000
15,72.6286,172.43,31.3795,817.67,15,-123.99324035644531,75000
16,71.2807,173.33,31.7912,612.11,16,-131.26132202148438,80000
17,73.2608,170.78,31.4156,736.08,17,-143.87771606445312,85000
18,69.2328,189.76,31.0702,965.9,18,-151.53375244140625,90000
19,71.3178,155.26,30.9227,742.74,19,-168.8325958251953,95000
20,71.3485,182.47,31.0182,699.28,20,-187.74813842773438,100000
21,70.5861,210.95,31.0999,754.47,21,-190.5503692626953,105000
22,71.6391,224.35,31.4216,678.77,22,-204.62722778320312,110000
23,70.1716,201.14,31.1638,472.15,23,-216.6994171142578,115000
24,72.6056,110.38,32.337,501.08,24,-236.44371032714844,120000
25,76.7326,-112.12,40.444,-203.8,25,-252.5349884033203,125000
26,77.1438,-403.66,52.9639,210.94,26,-264.44390869140625,130000
27,70.8568,-180.64,34.0962,262.16,27,-275.8624267578125,135000
28,71.7576,-203.32,32.3202,-18.29,28,-281.5130615234375,140000
29,69.4164,-51.75,31.8057,410.95,29,-297.2569580078125,145000
30,72.3705,16.24,30.3842,569.69,30,-314.86846923828125,150000
31,71.1425,51.99,28.7543,422.73,31,-322.9106140136719,155000
32,71.9539,65.27,29.1093,177.62,32,-336.21063232421875,160000
33,71.7525,45.79,30.6412,147.84,33,-358.1453552246094,165000
34,70.943,106.61,29.3863,372.16,34,-356.26702880859375,170000
35,72.5711,124.19,29.6754,348.57,35,-377.30853271484375,175000
36,73.374,79.69,33.8093,295.92,36,-383.8892517089844,180000
37,73.0934,126.13,31.2818,387.5,37,-408.3545837402344,185000
38,71.3379,140.55,30.1794,600.66,38,-409.70709228515625,190000
39,71.5075,156.95,29.9631,498.99,39,-425.6750793457031,195000
40,72.2429,108.17,33.5139,423.25,40,-444.97613525390625,200000
41,70.9489,138.42,31.3912,523.15,41,-448.901611328125,205000
42,72.3428,146.27,34.1409,402.23,42,-458.9090881347656,210000
43,74.6906,154.17,31.938,489.89,43,-496.7441711425781,215000
44,72.6809,61.64,31.5538,568.28,44,-505.47760009765625,220000
45,70.8541,127.09,30.8851,628.92,45,-513.3248291015625,225000
46,71.442,112.34,29.6612,689.34,46,-530.0503540039062,230000
47,70.4542,116.87,30.1058,629.03,47,-530.6549682617188,235000
48,74.7843,-4.66,42.5145,300.2,48,-560.328125,240000
49,71.577,69.47,32.8231,618.32,49,-582.1389770507812,245000
50,72.6695,111.91,31.4152,598.84,50,-592.5076904296875,250000
51,72.296,93.18,30.2426,468.89,51,-601.4678955078125,255000
52,68.909,119.38,30.7047,504.82,52,-597.0242309570312,260000
53,70.7366,117.13,29.1291,564.93,53,-628.5010375976562,265000
54,73.1012,149.95,30.2658,621.99,54,-659.7390747070312,270000
55,72.4335,146.04,30.9972,645.13,55,-671.8473510742188,275000
56,73.8397,261.15,30.7114,520.98,56,-687.3135986328125,280000
57,73.1916,129.44,31.1835,607.85,57,-697.8818969726562,285000
58,73.135,136.39,29.923,492.07,58,-721.7891235351562,290000
59,72.5362,183.7,31.2442,678.9,59,-734.9423828125,295000
60,69.3246,168.39,29.4346,495.57,60,-724.6467895507812,300000
61,69.106,160.17,31.1368,427.01,61,-741.3057861328125,305000
62,73.3458,87.53,36.657,339.49,62,-790.2936401367188,310000
63,76.5088,-245.57,76.7608,230.56,63,-808.0803833007812,315000
64,71.6004,1.84,35.3362,277.35,64,-813.2669677734375,320000
65,73.7444,76.44,36.0592,303.73,65,-851.019775390625,325000
66,71.0363,133.05,30.0781,505.43,66,-854.822265625,330000
67,70.4181,121.07,29.9155,586.71,67,-857.055419921875,335000
68,70.5253,140.03,30.6987,793.02,68,-893.3078002929688,340000
69,71.934,254.26,30.5599,802.36,69,-925.0968627929688,345000
70,68.5193,328.78,30.5514,748.33,70,-909.2190551757812,350000
71,69.0503,215.35,31.2893,689.55,71,-915.6932373046875,355000
72,71.1194,179.21,32.7955,713.36,72,-958.2349243164062,360000
73,72.3753,185.73,31.5502,494.95,73,-975.5686645507812,365000
74,74.0775,207.27,31.1546,490.43,74,-1015.8960571289062,370000
75,71.5578,187.15,30.605,633.94,75,-997.6517333984375,375000
76,68.3544,177.37,29.7433,284.69,76,-1004.419921875,380000
77,70.5097,118.71,31.5366,502.56,77,-1055.0185546875,385000
78,72.269,145.72,32.6349,504.5,78,-1073.68505859375,390000
79,71.0655,176.44,30.6248,491.83,79,-1098.8017578125,395000
80,73.368,23.11,34.7702,197.5,80,-1135.0692138671875,400000
81,73.984,127.04,31.1166,427.08,81,-1157.5621337890625,405000
82,71.8706,98.64,29.766,467.23,82,-1145.0609130859375,410000
83,70.4838,114.33,30.0695,373.22,83,-1169.0235595703125,415000
84,70.552,149.01,29.2533,359.1,84,-1175.959228515625,420000
85,72.0492,156.09,30.4073,318.67,85,-1229.7969970703125,425000
86,73.954,116.98,31.899,487.2,86,-1263.23681640625,430000
87,71.2165,176.53,28.8423,537.9,87,-1252.6829833984375,435000
88,69.8298,168.23,29.038,327.76,88,-1301.59814453125,440000
89,70.6505,136.12,28.9767,336.16,89,-1314.2254638671875,445000
90,68.993,164.7,29.711,302.41,90,-1301.489013671875,450000
91,70.1925,163.91,30.8869,691.33,91,-1370.4791259765625,455000
92,70.6315,156.27,30.5416,495.07,92,-1390.571533203125,460000
93,73.2267,173.86,31.4928,694.09,93,-1416.922119140625,465000
94,70.7867,139.01,30.5005,466.2,94,-1438.723876953125,470000
95,72.8221,160.88,32.4425,533.48,95,-1473.189453125,475000
96,74.6977,33.52,40.2988,136.59,96,-1514.4012451171875,480000
97,73.9083,97.02,32.6061,237.09,97,-1525.1988525390625,485000
98,71.8293,171.51,30.7546,668.43,98,-1562.473876953125,490000
99,68.5855,236.43,30.1009,589.21,99,-1552.606689453125,495000
100,71.2144,162.69,30.8206,463.13,100,-1599.8851318359375,500000
101,68.3006,317.0,29.631,347.13,101,-1598.044921875,505000
102,71.0509,250.42,31.0867,522.8,102,-1683.212158203125,510000
103,65.0354,248.83,27.5963,718.62,103,-1574.210693359375,515000
104,71.2823,193.81,31.1556,525.05,104,-1717.6572265625,520000
105,67.705,174.51,29.909,527.25,105,-1692.9063720703125,525000
106,70.7372,177.58,32.0923,496.36,106,-1774.242431640625,530000
107,66.1364,229.51,28.5986,640.69,107,-1671.4569091796875,535000
108,68.9269,154.82,29.7331,640.17,108,-1768.0775146484375,540000
109,73.6789,64.67,36.1759,268.29,109,-1855.968505859375,545000
110,70.1681,64.35,30.4223,343.93,110,-1886.342529296875,550000
111,69.4141,123.91,30.2209,491.12,111,-1905.4281005859375,555000
112,67.8964,167.62,28.2041,723.03,112,-1867.630126953125,560000
113,67.2831,224.82,30.2814,648.45,113,-1878.8035888671875,565000
114,72.9227,276.98,30.8873,690.69,114,-2044.046630859375,570000
115,71.9795,324.7,31.4966,895.49,115,-2079.368896484375,575000
116,66.0539,272.19,29.7735,652.3,116,-1968.2220458984375,580000
117,69.2237,20.37,47.3154,157.47,117,-1814.3470458984375,585000
118,72.3515,16.84,31.1693,252.25,118,-2103.288818359375,590000
119,72.6022,-16.47,31.2951,217.54,119,-2136.1640625,595000
120,67.0283,68.27,32.9004,554.11,120,-2158.381103515625,600000
121,66.9234,108.26,27.3816,700.14,121,-2127.0458984375,605000
122,67.8304,248.05,28.1308,954.83,122,-2223.12353515625,610000
123,65.8051,190.1,28.3664,699.2,123,-2206.319580078125,615000
124,63.9184,303.1,28.9668,540.52,124,-2225.244140625,620000
125,66.111,368.9,28.3522,756.45,125,-2279.27685546875,625000
126,67.5089,261.35,34.023,606.18,126,-2370.988037109375,630000
127,67.9022,385.09,29.7509,735.67,127,-2387.50927734375,635000
128,70.5105,384.32,32.0565,873.81,128,-2526.19873046875,640000
129,60.7862,482.36,31.0573,858.49,129,-1919.8680419921875,645000
130,70.5025,306.4,32.9263,358.35,130,-2496.287109375,650000
131,68.4869,407.17,32.389,897.05,131,-2530.758056640625,655000
132,68.16,316.35,30.8514,660.89,132,-2615.55078125,660000
133,67.0854,225.74,33.5932,532.58,133,-2547.138916015625,665000
134,70.8896,201.92,32.5305,550.07,134,-2774.968994140625,670000
135,67.7407,241.55,31.3802,774.77,135,-2739.75634765625,675000
136,66.4377,333.81,31.2311,791.7,136,-2713.998291015625,680000
137,70.7272,261.2,31.9718,597.87,137,-2840.011474609375,685000
138,73.0446,269.51,32.7016,657.66,138,-2880.833740234375,690000
139,73.9857,230.66,31.7654,718.18,139,-2919.85107421875,695000
140,73.0057,247.54,31.7789,451.72,140,-3021.5498046875,700000
141,70.751,229.51,30.8445,649.9,141,-2996.380859375,705000
142,70.2385,77.6,34.8124,576.92,142,-2995.1875,710000
143,72.2582,149.05,34.6633,477.17,143,-3193.388427734375,715000
144,72.0011,141.41,34.3203,481.21,144,-3255.080078125,720000
145,67.3845,224.88,29.7717,753.67,145,-3105.678466796875,725000
146,70.4893,217.83,30.2421,452.12,146,-3230.51123046875,730000
147,64.7438,333.1,28.7429,824.33,147,-3070.10693359375,735000
148,66.8981,301.25,31.429,486.78,148,-3070.580810546875,740000
149,65.5654,428.89,29.8801,1167.46,149,-3197.021728515625,745000
150,59.7707,528.69,28.3831,1319.73,150,-2772.77880859375,750000
151,69.5182,491.23,30.3332,1086.61,151,-3540.330810546875,755000
152,71.044,284.94,30.9272,683.58,152,-3532.017333984375,760000
153,70.1377,188.67,29.4595,722.28,153,-3507.367431640625,765000
154,69.4984,380.23,29.9352,874.07,154,-3584.313720703125,770000
155,71.0878,267.26,31.2023,670.11,155,-3719.01611328125,775000
156,68.3829,319.41,29.1153,806.29,156,-3649.59375,780000
157,68.0401,266.37,29.2179,766.65,157,-3748.47265625,785000
158,65.485,377.57,28.7856,910.72,158,-3612.315673828125,790000
159,64.9109,577.46,29.5061,1321.1,159,-3705.01171875,795000
