Running Update Time,Real Det Return,Real Sto Return,Reward Loss,Itration,Running Forward KL,Running Env Steps,Running Reverse KL
0,191.71,192.44,320.8750305175781,0,33.8642,0,28.8463
1,216.21,211.35,276.5317687988281,1,33.6372,5000,27.0286
2,200.54,207.34,43.441951751708984,2,33.3106,10000,24.6731
3,227.98,224.03,10.717596054077148,3,33.6552,15000,24.6817
4,231.57,224.84,106.10942077636719,4,34.0746,20000,25.857
5,253.54,242.93,-110.69684600830078,5,33.8193,25000,23.4189
6,237.24,238.39,-181.52737426757812,6,32.6165,30000,30.3729
7,244.53,241.96,-192.01812744140625,7,32.286,35000,40.5669
8,266.52,265.45,-218.99478149414062,8,30.7997,40000,35.5071
9,318.06,313.98,-199.9205322265625,9,29.7509,45000,37.9592
10,347.8,343.46,-220.4295654296875,10,29.7994,50000,37.1462
11,417.75,406.81,-270.0264587402344,11,30.0219,55000,43.9306
12,470.63,465.68,-204.01171875,12,29.1029,60000,24.4255
13,541.69,550.08,-280.5251770019531,13,25.8937,65000,31.4705
14,611.01,599.61,-306.5884094238281,14,25.9617,70000,35.5636
15,643.11,664.01,-346.36248779296875,15,26.2638,75000,40.2399
16,683.11,671.01,-393.035888671875,16,25.9641,80000,42.0269
17,657.35,688.71,-416.5868835449219,17,25.4982,85000,36.7237
18,685.57,652.28,-429.6528625488281,18,25.5972,90000,35.5112
19,729.17,717.5,-450.21710205078125,19,25.0356,95000,36.1881
20,970.87,888.52,-479.99468994140625,20,25.3273,100000,34.2194
21,822.78,830.43,-228.23641967773438,21,25.3143,105000,18.0052
22,764.73,807.01,-123.76311492919922,22,24.4933,110000,16.983
23,826.17,786.61,-151.82998657226562,23,25.2973,115000,16.2765
24,905.21,901.99,-155.3502655029297,24,25.5819,120000,15.7689
25,957.32,958.83,-167.53945922851562,25,25.9417,125000,16.3254
26,960.38,997.77,-58.359779357910156,26,24.6567,130000,15.8237
27,952.87,982.12,-111.25348663330078,27,24.3293,135000,15.1449
28,1130.04,1020.47,-367.7914123535156,28,24.6754,140000,14.6865
29,935.63,931.06,-29.768293380737305,29,24.3635,145000,15.7316
30,1062.23,1014.32,-34.743614196777344,30,23.8297,150000,14.8113
31,1259.47,1172.65,-128.67190551757812,31,24.2221,155000,18.9578
32,1458.91,1057.88,-49.58492660522461,32,23.2523,160000,14.382
33,1194.52,962.72,-67.47506713867188,33,23.3111,165000,13.9801
34,1497.77,1129.09,-105.94647216796875,34,22.9464,170000,13.3973
35,721.79,825.63,-207.91400146484375,35,23.1301,175000,13.1291
36,2188.59,1462.37,-506.81182861328125,36,22.5631,180000,13.561
37,2530.76,2183.83,-390.8530578613281,37,21.8778,185000,11.7225
38,1673.58,1342.84,-605.6455078125,38,22.1439,190000,14.6532
39,2765.77,1311.81,-676.0811767578125,39,22.4775,195000,13.9685
40,1495.3,1222.95,-739.0603637695312,40,22.8661,200000,16.5384
41,2960.31,1615.47,-648.8175048828125,41,21.9021,205000,15.4971
42,1535.02,1149.72,-884.9905395507812,42,23.1635,210000,20.7941
43,2868.12,1950.44,-504.4450378417969,43,21.27,215000,12.8017
44,1304.67,1148.45,-926.5912475585938,44,21.762,220000,22.9814
45,2860.4,1746.36,-723.7969360351562,45,22.731,225000,20.9753
46,2145.31,1173.01,-1063.1043701171875,46,22.6461,230000,30.048
47,2909.9,1638.74,-735.6973876953125,47,20.8681,235000,21.9439
48,2913.22,1524.08,-832.2891845703125,48,22.0794,240000,24.8219
49,1174.56,1227.53,-964.1476440429688,49,22.0286,245000,27.824
50,3011.65,1320.74,-980.83251953125,50,21.7674,250000,31.5217
51,1058.83,982.6,-1176.217529296875,51,23.3475,255000,37.2557
52,1792.78,1349.4,-1071.563232421875,52,21.5676,260000,41.8421
53,1201.35,1092.78,-1208.190673828125,53,22.4812,265000,39.3363
54,2302.41,1287.97,-1177.779296875,54,22.5607,270000,38.4436
55,1315.1,1089.73,-1208.665771484375,55,21.9231,275000,38.2897
56,3112.41,1643.31,-892.922119140625,56,21.0644,280000,26.1123
57,3103.25,2023.8,-811.9065551757812,57,20.5433,285000,24.2473
58,3050.12,1490.08,-1169.2327880859375,58,21.8055,290000,34.2272
59,3145.99,1804.01,-1049.1138916015625,59,20.6492,295000,27.1947
60,3058.81,2592.03,-714.7471923828125,60,21.6033,300000,18.9561
61,2643.2,1946.85,-1002.4843139648438,61,21.4225,305000,24.053
62,3205.98,2898.03,-493.2643737792969,62,21.2815,310000,14.2483
63,3129.74,2631.43,-603.2938842773438,63,22.4607,315000,15.2797
64,3181.59,1743.78,-847.07666015625,64,20.7904,320000,16.6
65,3312.63,2170.45,-791.7952880859375,65,19.6106,325000,19.1682
66,3325.89,3105.29,-425.26678466796875,66,20.3993,330000,15.7842
67,3325.15,1870.39,-955.2943115234375,67,20.9325,335000,20.2871
68,3212.66,3261.71,-394.187744140625,68,20.6281,340000,12.8917
69,3279.38,3207.32,-396.81829833984375,69,19.4047,345000,12.198
70,3252.7,1607.93,-1358.8070068359375,70,21.178,350000,27.2832
71,3363.24,3004.13,-541.6755981445312,71,19.35,355000,14.4736
72,3339.91,2769.54,-800.9815673828125,72,19.8927,360000,19.5147
73,3347.16,2542.41,-831.0451049804688,73,19.1701,365000,15.8391
74,2799.62,2178.78,-1019.7127075195312,74,19.7064,370000,19.4719
75,3367.2,2865.21,-678.8721313476562,75,18.5374,375000,13.6641
76,3130.36,2551.67,-898.2444458007812,76,18.2005,380000,19.0688
77,3327.64,3313.31,-480.65875244140625,77,20.4482,385000,13.8197
78,3347.47,3350.57,-411.14312744140625,78,19.3984,390000,12.4729
79,3371.83,3085.5,-590.1396484375,79,20.0436,395000,13.5095
80,3348.2,3335.51,-465.125732421875,80,19.4759,400000,13.2836
81,3367.37,3148.17,-401.6573791503906,81,18.7716,405000,11.8307
82,3369.57,3113.03,-571.916259765625,82,19.0346,410000,12.5513
83,3372.61,2949.9,-616.3807373046875,83,18.7222,415000,13.9667
84,3399.6,3281.63,-495.83270263671875,84,18.2998,420000,12.0499
85,3392.43,3336.72,-422.83599853515625,85,18.7382,425000,11.8971
86,3370.54,3327.33,-413.65142822265625,86,18.7735,430000,11.7233
87,3364.95,3297.74,-492.61859130859375,87,19.1812,435000,12.7075
88,3384.62,3341.56,-456.4177551269531,88,18.1149,440000,11.511
89,3400.43,3375.87,-505.0486755371094,89,18.9516,445000,12.4964
90,3405.43,3164.73,-696.9053955078125,90,18.6233,450000,14.2867
91,3364.58,3313.11,-463.7503662109375,91,19.5761,455000,13.1988
92,3240.99,3249.67,-658.3174438476562,92,21.0765,460000,12.9313
93,3343.68,3319.95,-630.6947021484375,93,20.4136,465000,13.6374
94,3353.71,3327.57,-579.0725708007812,94,19.3685,470000,12.9597
95,3418.04,3406.86,-497.69061279296875,95,19.5447,475000,13.166
96,3400.3,3391.61,-543.7506103515625,96,18.5826,480000,12.7991
97,3445.7,3208.63,-607.514892578125,97,18.8156,485000,12.5111
98,3464.32,3206.49,-527.2637329101562,98,18.6928,490000,12.2341
99,3423.47,2859.66,-397.0125732421875,99,17.0726,495000,10.2786
100,3471.12,3273.22,-612.0452880859375,100,17.583,500000,11.5472
101,3463.76,3431.51,-489.1796875,101,17.3461,505000,11.3495
102,3431.02,3399.5,-592.6975708007812,102,18.13,510000,12.002
103,3404.06,3395.36,-614.1406860351562,103,18.5808,515000,12.8204
104,3423.73,3414.72,-622.6754150390625,104,18.9349,520000,12.9846
105,3447.32,3318.2,-571.8110961914062,105,18.1393,525000,11.5387
106,3433.47,3420.53,-598.4268798828125,106,17.8883,530000,12.0751
107,3434.98,3064.22,-578.0317993164062,107,17.7509,535000,10.474
108,3429.82,3410.74,-557.168701171875,108,17.7441,540000,12.048
109,3423.98,3401.32,-667.9796142578125,109,18.5652,545000,12.5014
110,3464.36,3442.22,-570.1214599609375,110,17.2305,550000,11.0995
111,3459.62,3437.03,-623.2547607421875,111,17.5799,555000,11.7587
112,3441.56,3409.71,-664.4496459960938,112,17.2141,560000,10.5323
113,3448.72,3422.62,-599.23291015625,113,17.5358,565000,11.3394
114,3466.46,3414.2,-586.9053344726562,114,17.0971,570000,10.716
115,3445.32,3387.82,-711.1695556640625,115,17.6191,575000,11.2886
116,3461.16,3425.68,-636.7352294921875,116,16.9633,580000,11.1401
117,3434.62,3409.51,-621.3482055664062,117,17.6301,585000,11.3176
118,3419.54,3286.12,-757.265380859375,118,18.0118,590000,11.6135
119,3406.78,3399.96,-702.67529296875,119,17.3193,595000,10.8616
120,3435.97,3420.07,-708.4091186523438,120,17.5517,600000,11.4364
121,3429.4,3398.95,-686.8457641601562,121,17.7849,605000,11.0732
122,3423.43,3376.86,-741.7284545898438,122,17.7753,610000,11.0764
123,3442.11,3419.67,-700.8987426757812,123,16.9105,615000,10.5656
124,3431.97,3413.8,-827.9637451171875,124,17.3328,620000,10.5374
125,3423.4,3402.09,-837.56689453125,125,18.1359,625000,11.9411
126,3458.8,3344.66,-735.843017578125,126,17.9724,630000,12.1661
127,3448.03,3374.9,-720.018310546875,127,17.3386,635000,10.87
128,3449.85,3269.89,-699.9810180664062,128,16.8508,640000,10.39
129,3470.59,3440.27,-719.9137573242188,129,17.4084,645000,11.4899
130,3465.98,3396.07,-773.9420776367188,130,17.1667,650000,11.1821
131,3437.57,3396.72,-816.9915771484375,131,17.1172,655000,11.3527
132,3458.26,3385.14,-805.017822265625,132,18.0061,660000,11.5477
133,3465.38,3287.91,-750.5438842773438,133,17.3225,665000,11.0149
134,3450.17,3357.05,-719.9427490234375,134,17.0702,670000,10.622
135,3460.55,3416.09,-838.7282104492188,135,17.526,675000,11.2623
136,3465.99,3375.45,-828.34033203125,136,17.4588,680000,11.0544
137,3440.03,3413.25,-797.8013305664062,137,17.1696,685000,10.9318
138,3456.45,3433.3,-807.4556274414062,138,17.206,690000,11.4777
139,3476.98,3347.78,-799.0072631835938,139,16.8611,695000,10.6752
140,3456.15,3282.11,-868.6398315429688,140,17.207,700000,11.1296
141,3456.49,3432.33,-932.2256469726562,141,17.0307,705000,11.8389
142,3433.17,3410.95,-919.3660278320312,142,17.6969,710000,10.911
143,3479.53,3448.9,-789.6522216796875,143,16.8508,715000,10.425
144,3453.28,3340.87,-838.16845703125,144,16.8438,720000,11.2727
145,3452.14,3418.0,-980.2291870117188,145,17.78,725000,11.799
146,3444.13,3416.31,-899.1133422851562,146,17.4179,730000,11.4435
147,3444.68,3423.61,-991.1846923828125,147,18.1943,735000,12.1357
148,3453.49,3400.45,-819.5031127929688,148,16.3654,740000,10.1888
149,3451.16,3332.6,-796.304931640625,149,16.8096,745000,10.3405
150,3465.17,3444.02,-956.4628295898438,150,17.1816,750000,11.4605
151,3500.11,3474.99,-915.9180297851562,151,17.5393,755000,11.4855
152,3434.4,3400.36,-1010.0424194335938,152,18.5108,760000,12.0515
153,3476.46,3443.42,-1066.8441162109375,153,18.0867,765000,12.0102
154,3455.45,3352.57,-1045.338134765625,154,18.1012,770000,11.558
155,3466.57,3426.3,-1017.8433837890625,155,17.7743,775000,11.5164
156,3465.86,3428.03,-968.9595947265625,156,17.4169,780000,11.3606
157,3496.81,3466.31,-952.55224609375,157,17.2616,785000,11.2159
158,3475.18,3443.68,-963.0225219726562,158,17.4169,790000,11.0677
159,3430.01,3386.92,-1025.151123046875,159,17.6412,795000,11.825
160,3485.82,3457.11,-904.6995239257812,160,16.986,800000,10.5612
161,3470.22,3440.67,-927.09423828125,161,17.0623,805000,10.8478
162,3475.73,3437.45,-1034.9520263671875,162,17.1588,810000,11.2808
163,3469.23,2961.32,-1034.3092041015625,163,16.3995,815000,10.7987
164,3463.98,3413.82,-1031.9281005859375,164,16.9021,820000,10.7452
165,3472.67,3439.55,-1038.6114501953125,165,17.525,825000,11.9894
166,3434.85,3416.46,-1031.7457275390625,166,16.9465,830000,11.1859
167,3484.68,3095.49,-1385.2447509765625,167,18.5683,835000,14.7085
168,3460.19,3430.74,-1226.13232421875,168,17.6908,840000,11.4897
169,3457.1,3428.44,-1194.9451904296875,169,18.6802,845000,12.3069
170,3454.58,3408.9,-1018.5223999023438,170,17.0519,850000,10.8309
171,3438.88,3399.11,-1039.73388671875,171,17.4158,855000,11.1793
172,3445.79,3413.16,-1128.4052734375,172,17.0801,860000,11.1112
173,3463.75,2956.09,-1184.8555908203125,173,17.4132,865000,11.1463
174,3455.82,3428.08,-1239.658203125,174,17.9454,870000,11.8887
175,3474.83,3213.06,-1084.7017822265625,175,16.5082,875000,9.9916
176,3452.88,3433.26,-1259.60400390625,176,17.5349,880000,11.2439
177,3441.43,3410.24,-1222.677490234375,177,17.5158,885000,10.9768
178,3477.08,3441.2,-1171.6943359375,178,17.2601,890000,10.9574
179,3462.86,3434.86,-1243.6094970703125,179,18.2166,895000,11.757
180,3472.46,3446.05,-1141.5789794921875,180,17.1771,900000,11.3229
181,3467.77,3391.98,-1228.0762939453125,181,17.3839,905000,11.2917
182,3445.58,3396.21,-1242.15380859375,182,18.178,910000,11.5083
183,3446.64,3413.75,-1216.99951171875,183,17.496,915000,11.3967
184,3449.49,3427.72,-1279.775634765625,184,18.0632,920000,11.3926
185,3485.2,3413.93,-1198.33544921875,185,17.9839,925000,10.9652
186,3429.24,3397.59,-1240.0882568359375,186,17.7499,930000,11.2801
187,3461.52,3360.73,-1237.231689453125,187,17.5414,935000,11.3226
188,3458.7,3424.23,-1245.5826416015625,188,17.6794,940000,11.5945
189,3461.33,3416.72,-1296.524169921875,189,17.5432,945000,11.1688
