Running Forward KL,Real Det Return,Running Env Steps,Running Reverse KL,Itration,Running Update Time,Real Sto Return,Reward Loss
32.8902,333.13,0,28.1474,0,0,346.95,-157.4429473876953
32.0028,339.48,5000,37.4099,1,1,339.2,-217.89266967773438
33.2814,369.94,10000,42.7374,2,2,368.65,-377.22076416015625
32.373,356.37,15000,32.7606,3,3,377.39,-378.4906311035156
31.2629,320.43,20000,36.6558,4,4,326.32,-405.5320739746094
31.8693,369.76,25000,42.9243,5,5,356.6,-529.66845703125
31.6526,378.95,30000,33.9855,6,6,353.22,-525.1226806640625
30.9438,225.87,35000,15.8508,7,7,229.0,-526.947998046875
24.846,760.22,40000,14.8707,8,8,729.1,-184.4499969482422
35.1333,18.37,45000,75.4898,9,9,18.99,-180.25071716308594
34.3117,1050.67,50000,24.8339,10,10,1043.61,-868.6939086914062
37.9171,990.74,55000,47.383,11,11,991.68,-828.2030029296875
30.6339,680.0,60000,29.7539,12,12,606.51,-724.8670654296875
30.4153,320.04,65000,27.7796,13,13,317.68,-794.1564331054688
29.3787,577.71,70000,18.3991,14,14,724.18,365.8661193847656
30.7498,303.73,75000,18.536,15,15,306.03,-478.6236877441406
28.9152,428.82,80000,39.1058,16,16,427.32,-597.9359741210938
28.9652,323.28,85000,16.0389,17,17,345.83,-429.6524353027344
29.1313,552.75,90000,14.5501,18,18,587.62,225.0743865966797
40.1998,993.79,95000,41.7099,19,19,992.84,-1065.7574462890625
37.3458,1017.04,100000,39.1784,20,20,1016.64,-1134.9649658203125
34.0941,1153.73,105000,25.5243,21,21,1157.72,-1022.1281127929688
32.5982,1054.24,110000,26.3056,22,22,526.4,-1002.2648315429688
32.8678,893.75,115000,23.8346,23,23,769.99,-1283.8656005859375
33.3838,489.23,120000,36.0654,24,24,471.89,-1122.8834228515625
31.8639,813.73,125000,18.8778,25,25,731.59,-1086.00634765625
29.9614,1125.69,130000,20.3675,26,26,1034.18,-1108.650146484375
37.8871,1006.17,135000,45.2048,27,27,1005.89,-1506.563720703125
30.6288,854.4,140000,18.8873,28,28,877.43,-937.4797973632812
33.664,983.96,145000,39.8072,29,29,884.59,-1521.908447265625
