Running Env Steps,Reward Loss,Real Det Return,Running Reverse KL,Running Update Time,Itration,Running Forward KL,Real Sto Return
0,17.28367805480957,97.16,25.5772,0,0,76.022,-70.47
5000,8.457921028137207,328.37,25.0525,1,1,73.7996,-42.63
10000,-9.790979385375977,511.71,26.1931,2,2,72.4613,22.0
15000,-24.59499168395996,603.84,26.7142,3,3,72.2809,25.22
20000,-42.18473434448242,624.44,27.1616,4,4,71.9736,50.74
25000,-52.54969024658203,608.42,28.3897,5,5,73.4547,108.25
30000,-62.93973159790039,636.5,29.0329,6,6,72.7999,122.99
35000,-78.36786651611328,477.52,30.1333,7,7,73.9204,87.5
40000,-92.76482391357422,623.41,29.7473,8,8,70.7326,99.1
45000,-106.6826171875,559.55,30.6047,9,9,72.7954,148.37
50000,-116.8963623046875,446.28,30.8437,10,10,71.1796,99.75
55000,-131.03713989257812,615.09,32.2954,11,11,73.0547,195.78
60000,-141.5132293701172,765.67,31.6217,12,12,71.3096,183.78
65000,-155.41064453125,715.81,32.0769,13,13,73.7551,160.06
70000,-166.46673583984375,562.8,30.3495,14,14,70.8587,116.06
75000,-175.99227905273438,880.24,30.4649,15,15,70.4871,220.99
80000,-191.97291564941406,920.23,30.8258,16,16,72.1495,181.05
85000,-202.6309356689453,517.35,30.1568,17,17,72.1732,111.61
90000,-214.23092651367188,754.06,30.8493,18,18,71.9781,136.22
95000,-226.22462463378906,728.82,30.7992,19,19,71.8309,220.37
100000,-238.58602905273438,911.04,31.609,20,20,70.3843,231.91
105000,-252.1322021484375,678.56,30.9764,21,21,71.6522,186.18
110000,-264.5628356933594,633.04,31.4858,22,22,70.9603,185.1
115000,-276.78765869140625,598.23,30.1936,23,23,72.177,213.7
120000,-287.101318359375,660.35,30.1132,24,24,69.2452,225.55
125000,-305.1380615234375,728.56,30.4961,25,25,72.3572,159.16
130000,-314.4759521484375,827.26,30.5995,26,26,69.0646,256.69
135000,-330.7154235839844,764.91,30.9313,27,27,72.4998,184.48
140000,-339.72808837890625,833.34,30.9915,28,28,69.781,207.48
145000,-353.7702941894531,644.97,30.3515,29,29,70.5018,214.78
150000,-371.444091796875,825.13,30.7846,30,30,71.3033,286.76
155000,-378.99578857421875,1096.74,30.5779,31,31,68.5005,262.25
160000,-398.0312194824219,442.32,30.5083,32,32,70.8,212.65
165000,-410.1291198730469,810.34,31.037,33,33,71.0293,289.66
170000,-423.73095703125,774.88,30.9936,34,34,70.9571,321.35
175000,-432.39794921875,904.09,31.7552,35,35,69.6809,272.12
180000,-444.5350036621094,568.78,29.7374,36,36,69.0203,283.71
185000,-456.5660095214844,911.52,30.5959,37,37,70.1093,161.91
190000,-476.0645751953125,575.08,29.953,38,38,70.9636,183.77
195000,-491.4206848144531,768.83,32.7696,39,39,70.3933,168.3
200000,-511.41571044921875,590.69,31.0631,40,40,72.2143,186.69
205000,-526.4562377929688,825.49,32.0329,41,41,72.8372,271.36
210000,-539.1766967773438,726.51,31.0018,42,42,71.8486,233.98
