Running Update Time,Itration,Reward Loss,Real Det Return,Running Reverse KL,Running Forward KL,Real Sto Return,Running Env Steps
0,0,78.1739730834961,270.27,22.4617,32.6528,264.11,0
1,1,60.794456481933594,214.37,26.579,31.8251,239.6,5000
2,2,48.20029067993164,272.34,28.2699,30.672,285.59,10000
3,3,36.65081787109375,321.58,28.5504,30.2383,322.32,15000
4,4,19.711822509765625,296.66,32.833,30.2695,307.9,20000
5,5,15.154674530029297,250.53,24.7501,32.4645,300.37,25000
6,6,-0.7106736302375793,723.73,28.818,32.3641,349.23,30000
7,7,-13.375028610229492,37.37,33.3,34.5375,40.03,35000
8,8,-29.618457794189453,40.89,181.8071,34.9543,38.75,40000
9,9,-44.183963775634766,315.58,47.0817,37.9208,325.14,45000
10,10,-39.17396926879883,1017.8,45.8493,37.5527,1017.96,50000
11,11,-50.171913146972656,1020.86,25.2263,36.0075,1026.21,55000
12,12,-46.387306213378906,1060.21,19.6128,34.9862,1061.22,60000
13,13,63.34160232543945,181.68,37.1285,31.1226,216.63,65000
14,14,-11.123910903930664,1043.14,29.9785,33.4734,687.05,70000
15,15,-82.12580108642578,1053.73,24.0508,33.8475,970.94,75000
16,16,-101.85567474365234,1038.49,26.7177,36.1255,1041.52,80000
17,17,-107.8082504272461,248.74,28.1942,32.8805,371.3,85000
18,18,-116.99797058105469,1040.07,22.6582,31.3407,1045.91,90000
19,19,-77.399658203125,228.06,17.5113,30.5775,255.25,95000
20,20,-73.73371887207031,231.33,45.5767,31.7849,239.15,100000
21,21,-35.62690353393555,51.99,24.4634,31.6853,52.2,105000
22,22,-91.48697662353516,204.23,54.7933,32.2229,226.24,110000
23,23,-164.0082550048828,1019.27,31.6289,36.0815,1020.67,115000
24,24,-80.01789093017578,646.01,21.4525,31.0993,635.38,120000
25,25,-195.01304626464844,1048.54,32.7447,36.3591,1053.57,125000
26,26,-198.96209716796875,994.59,50.7365,38.1136,994.89,130000
27,27,-258.8876953125,217.87,63.547,32.682,217.76,135000
28,28,-220.7862548828125,985.59,50.0135,37.2848,984.94,140000
29,29,-184.52362060546875,322.68,46.6763,29.795,319.39,145000
30,30,-243.6847686767578,983.37,49.7184,39.4528,983.09,150000
31,31,-248.62310791015625,1013.48,38.2584,37.8936,1013.28,155000
32,32,-265.7356872558594,1010.75,43.1556,38.0823,1010.41,160000
33,33,-275.5030517578125,1000.66,51.7448,38.3985,1001.49,165000
34,34,-282.4736022949219,1002.88,39.1991,38.6064,1002.75,170000
35,35,-298.6654052734375,1006.39,64.11,37.905,1006.37,175000
36,36,-228.5045623779297,190.11,34.1876,32.858,189.73,180000
37,37,-90.84498596191406,186.28,15.6204,31.0298,189.82,185000
38,38,-324.5135192871094,999.45,28.8935,36.1054,999.28,190000
39,39,-339.6368713378906,1025.28,31.837,37.0482,1024.25,195000
40,40,-257.2511291503906,860.02,21.8004,34.5627,699.86,200000
41,41,-357.1494140625,971.07,46.2215,36.5434,970.34,205000
42,42,-348.73016357421875,1036.91,20.9859,36.4817,1018.35,210000
43,43,-338.7789611816406,1056.91,21.5757,34.0192,924.3,215000
44,44,-380.8856201171875,137.49,52.5304,31.3014,141.01,220000
45,45,-404.6998291015625,974.52,54.773,38.5661,974.29,225000
46,46,-360.3473815917969,247.1,104.74,32.0661,199.45,230000
47,47,-426.9891357421875,976.84,46.9078,38.0122,976.48,235000
48,48,-440.04034423828125,987.91,53.8817,39.6142,987.78,240000
49,49,-451.4620666503906,985.35,54.6981,38.7653,985.47,245000
50,50,-406.877685546875,20.12,30.1223,32.8713,20.49,250000
51,51,-328.4889831542969,17.5,57.574,34.6474,17.51,255000
52,52,-485.79571533203125,1011.49,45.4307,36.3702,1010.97,260000
53,53,-469.19866943359375,215.46,35.3666,35.8837,616.05,265000
54,54,-506.5118713378906,975.06,54.6636,39.4739,974.84,270000
55,55,-465.1400451660156,96.94,103.2942,33.873,97.99,275000
56,56,-395.71954345703125,241.88,25.3403,34.262,246.02,280000
57,57,-537.0910034179688,1003.21,46.6552,38.8942,1003.57,285000
58,58,-445.9623718261719,326.52,26.6804,33.7803,325.92,290000
59,59,-558.61328125,973.89,47.7455,38.9618,971.74,295000
60,60,-550.5743408203125,993.39,41.4982,35.2115,992.49,300000
61,61,-581.8147583007812,999.38,33.161,37.5608,998.58,305000
62,62,-579.189697265625,889.21,52.8998,34.6745,889.03,310000
63,63,-604.3179321289062,1023.04,37.3775,36.3308,1022.89,315000
64,64,-606.2794189453125,976.4,37.3272,38.006,979.25,320000
65,65,-633.9180297851562,1001.94,46.0619,38.2389,1002.02,325000
66,66,-641.190673828125,999.49,53.0022,38.0887,999.8,330000
67,67,-656.2756958007812,1035.61,39.2913,37.4262,1035.96,335000
68,68,-673.0084228515625,999.45,48.2874,40.3442,999.51,340000
69,69,-684.0645141601562,1009.09,41.04,36.415,896.84,345000
70,70,-584.7804565429688,305.56,34.133,33.8258,303.09,350000
71,71,-700.4837036132812,993.18,40.9056,38.2004,993.15,355000
72,72,-723.548828125,1011.92,44.5546,38.1243,1011.71,360000
73,73,-733.6697387695312,1005.12,41.1395,38.3697,1004.77,365000
74,74,-725.7710571289062,1030.71,36.7041,38.5191,1031.36,370000
75,75,-745.2916259765625,1020.92,38.3576,40.0401,1020.92,375000
76,76,-733.1982421875,204.37,29.2673,37.3597,202.87,380000
77,77,-700.4122314453125,204.28,91.1668,34.0329,295.5,385000
78,78,-773.9119262695312,1006.86,36.1968,36.3798,897.55,390000
79,79,-806.6195068359375,857.56,55.3638,37.9153,621.46,395000
80,80,-779.099853515625,34.81,36.5369,37.2702,34.56,400000
