Real Det Return,Running Update Time,Itration,Reward Loss,Running Reverse KL,Running Forward KL,Running Env Steps,Real Sto Return
321.28,0,0,-198.99081420898438,283.1137,456.5734,0,359.62
289.03,1,1,-662.2905883789062,284.9242,435.9114,5000,313.85
294.95,2,2,-582.4093627929688,269.1685,430.6188,10000,295.88
251.42,3,3,-1328.0806884765625,253.2641,417.8915,15000,409.04
333.59,4,4,-1268.4864501953125,265.0034,409.364,20000,418.57
529.87,5,5,-1006.846923828125,276.2685,416.9342,25000,436.89
381.88,6,6,-966.7625732421875,289.522,433.7821,30000,377.15
332.57,7,7,-1929.536865234375,260.9615,423.407,35000,486.86
486.94,8,8,-1203.9967041015625,230.9912,412.3023,40000,468.64
432.05,9,9,-1562.064208984375,268.0367,419.4517,45000,476.72
409.86,10,10,-2002.890625,295.9214,432.7161,50000,450.27
549.42,11,11,-2075.43505859375,268.3871,418.0255,55000,525.27
627.43,12,12,-1925.3382568359375,290.7241,400.5598,60000,582.47
554.04,13,13,-2475.56640625,250.8864,396.5506,65000,514.0
445.52,14,14,-3043.31201171875,242.9267,407.5128,70000,599.75
609.97,15,15,-2486.88134765625,284.6819,400.5789,75000,612.65
575.91,16,16,-3149.808349609375,254.4659,408.0986,80000,602.45
527.94,17,17,-3093.639404296875,307.4293,416.8754,85000,557.8
521.16,18,18,-2628.262451171875,302.954,411.4901,90000,601.96
505.1,19,19,-3404.633544921875,283.6766,408.9765,95000,681.03
570.81,20,20,-3666.62255859375,259.6451,406.9056,100000,703.76
644.07,21,21,-3802.9580078125,243.3213,401.9976,105000,832.99
583.93,22,22,-3677.1220703125,247.696,391.0504,110000,680.34
704.18,23,23,-4305.04345703125,253.7884,404.2535,115000,765.96
763.92,24,24,-3714.2490234375,234.8785,374.1593,120000,748.56
907.59,25,25,-3810.780517578125,238.0055,380.3502,125000,772.83
754.37,26,26,-3886.708251953125,229.5698,382.0046,130000,789.94
699.91,27,27,-4043.083740234375,241.9802,377.5649,135000,878.64
724.39,28,28,-3968.28271484375,213.607,375.2068,140000,769.88
496.49,29,29,-4297.6806640625,228.8636,373.8881,145000,802.75
663.62,30,30,-4513.6943359375,237.6518,384.9612,150000,704.85
739.27,31,31,-4633.17333984375,233.3447,384.5218,155000,798.33
741.97,32,32,-4808.82958984375,234.9875,376.6288,160000,881.93
422.71,33,33,-4895.16650390625,247.3723,378.8518,165000,608.23
609.09,34,34,-4906.12158203125,235.0543,384.8609,170000,841.45
694.48,35,35,-4560.646484375,216.4611,365.4683,175000,1169.99
922.13,36,36,-4152.64404296875,247.2136,369.3929,180000,1309.01
1826.31,37,37,-3858.286376953125,197.1565,355.624,185000,1642.92
794.45,38,38,-4879.818359375,249.9072,377.7473,190000,984.46
1119.44,39,39,-4812.4482421875,226.8226,370.8718,195000,1603.34
738.77,40,40,-5026.55615234375,235.9046,376.9427,200000,1177.47
960.68,41,41,-4044.33154296875,215.6966,361.285,205000,1423.11
715.65,42,42,-5426.763671875,226.5497,377.0715,210000,1034.74
1070.58,43,43,-4963.16796875,211.6263,366.6599,215000,1666.18
987.53,44,44,-5111.18017578125,254.5936,377.407,220000,1439.92
3203.01,45,45,-4059.722900390625,190.4257,354.6542,225000,2954.61
966.13,46,46,-5149.208984375,242.8883,372.4845,230000,1519.51
4765.93,47,47,-4358.84130859375,185.2202,355.8565,235000,2973.15
4403.03,48,48,-3340.80517578125,173.3509,338.2721,240000,3448.6
4883.55,49,49,-1243.34912109375,171.1904,338.7375,245000,4224.0
5100.7,50,50,-3487.751953125,176.0114,343.7983,250000,4271.86
4961.81,51,51,-1730.2113037109375,161.2267,331.045,255000,3613.24
2555.53,52,52,-3563.101806640625,172.5053,334.8559,260000,4240.27
1777.61,53,53,-2641.3798828125,153.5622,326.1024,265000,3232.49
3168.62,54,54,-3330.74609375,164.442,338.5653,270000,4092.19
4613.89,55,55,-4096.78125,164.8456,339.74,275000,3448.77
1612.35,56,56,-4693.76416015625,177.3048,339.6144,280000,4207.74
2012.16,57,57,-4197.36865234375,168.4075,337.7324,285000,3164.12
3107.56,58,58,-2799.976806640625,152.9278,335.7112,290000,4104.79
4043.65,59,59,-5758.30126953125,195.1743,350.9355,295000,3508.22
3738.0,60,60,-3472.3544921875,177.1856,345.0953,300000,4232.45
2865.19,61,61,-3562.97119140625,158.5045,333.0965,305000,4246.86
3742.92,62,62,-2655.19384765625,168.4381,335.0099,310000,4774.64
2955.19,63,63,-3341.86083984375,162.192,334.3418,315000,4884.58
1709.04,64,64,-3324.76904296875,153.3025,329.7538,320000,4657.55
3626.97,65,65,-3244.46875,176.1738,337.733,325000,4233.78
4007.85,66,66,-3135.121826171875,163.7895,338.5709,330000,4791.75
3141.33,67,67,-3054.086181640625,160.893,330.7631,335000,4588.81
4156.75,68,68,-3242.931884765625,156.252,331.3726,340000,4835.26
2511.09,69,69,-4173.8994140625,157.4322,328.3423,345000,4238.1
3786.58,70,70,-4084.18359375,171.6085,337.0646,350000,4964.87
4552.46,71,71,-3417.2138671875,175.0141,335.4225,355000,4751.46
2312.5,72,72,-4290.14111328125,174.2196,331.8955,360000,4664.37
4439.96,73,73,-4069.790771484375,164.0087,327.2697,365000,4963.13
4223.23,74,74,-4038.384033203125,168.6785,335.4301,370000,3947.87
3305.24,75,75,-3835.478271484375,169.9458,331.1467,375000,4679.71
4191.68,76,76,-4154.9755859375,173.8658,333.5647,380000,4942.57
4516.33,77,77,-4502.62353515625,163.4507,331.8951,385000,4816.36
3912.5,78,78,-5141.18896484375,165.3993,339.3513,390000,4172.95
2960.77,79,79,-5526.63916015625,184.7696,336.0911,395000,3475.29
5119.89,80,80,-4450.23583984375,163.7929,332.443,400000,5038.8
5265.2,81,81,-4388.20556640625,156.4605,324.6693,405000,4849.09
