Running Reverse KL,Itration,Running Forward KL,Real Sto Return,Real Det Return
22.1052,0,39.3517,216.88,217.91
19.7824,1,38.0056,278.0,262.19
17.5374,2,35.8072,349.51,361.01
17.4954,3,35.8693,358.72,370.98
19.9862,4,36.3243,347.84,308.53
18.8493,5,35.5523,370.26,380.16
19.1144,6,36.6239,367.49,367.88
20.5893,7,36.19,388.61,396.16
17.7681,8,36.6534,364.93,361.97
20.163,9,37.0081,378.28,388.84
18.8288,10,36.8397,367.9,375.49
25.7774,11,37.0738,380.3,387.44
21.9881,12,36.3112,396.79,432.11
18.0205,13,35.5782,384.26,395.92
14.6685,14,35.6023,403.23,426.01
14.5412,15,35.4938,401.68,426.49
14.909,16,34.7207,332.84,320.91
15.4583,17,33.8054,513.92,546.74
15.3681,18,33.0267,536.66,537.62
15.3983,19,35.1037,586.26,599.51
15.2499,20,34.71,599.59,600.12
15.4441,21,35.0543,807.64,796.59
15.2862,22,34.6268,649.3,635.69
15.6669,23,34.6886,975.89,363.53
16.0785,24,33.6152,803.99,815.5
16.0707,25,34.2237,1039.59,1050.36
16.3737,26,34.3649,799.82,846.63
15.5672,27,33.3764,1022.88,1080.02
18.8905,28,33.902,876.58,907.94
16.0509,29,33.6302,1075.68,1015.12
16.554,30,33.1296,1316.31,1489.99
16.1956,31,32.9372,1782.96,2521.75
15.7161,32,32.7404,1688.87,2845.25
15.5556,33,32.436,1889.08,1014.08
17.8332,34,32.3476,2221.95,2973.79
15.4706,35,33.167,1367.66,2780.27
17.1619,36,33.4909,1106.05,1476.0
16.1765,37,33.1253,1935.68,3007.35
15.4676,38,33.094,1393.84,1473.29
15.9968,39,34.0319,1522.52,1884.4
16.1973,40,32.5199,1952.85,2278.26
16.7664,41,33.6751,1323.48,1508.23
16.7146,42,34.1019,1586.04,1760.1
16.3039,43,33.2675,1546.51,1493.3
16.7855,44,33.8058,1432.13,1482.44
18.1623,45,33.7783,1409.58,1393.92
19.3379,46,33.2644,1428.62,1648.98
20.3048,47,34.2225,1906.27,2147.87
26.6598,48,35.3813,830.0,1076.25
22.5792,49,35.3887,3215.92,3221.94
21.2592,50,33.3555,2930.17,3296.65
22.8331,51,33.5959,3088.42,3271.01
18.7864,52,32.8953,2189.08,3293.26
21.7385,53,34.2744,3199.08,3183.45
19.1245,54,34.553,2475.21,3254.74
