Running Forward KL,Real Sto Return,Real Det Return,Itration,Running Env Steps,Running Update Time,Reward Loss,Running Reverse KL
466.4444,291.51,252.5,0,0,0,-5574.24267578125,266.9297
437.4012,332.49,314.13,1,5000,1,-4748.908203125,274.8827
417.6038,367.84,324.46,2,10000,2,-5150.61767578125,299.4404
428.9707,398.66,548.34,3,15000,3,-5084.90380859375,267.7831
421.6529,431.07,467.86,4,20000,4,-5461.0029296875,250.7809
423.8417,461.46,490.56,5,25000,5,-5640.6943359375,277.2403
415.5189,385.57,400.76,6,30000,6,-5644.251953125,273.697
421.8284,383.08,390.07,7,35000,7,-5695.19140625,268.7316
412.5545,451.48,415.14,8,40000,8,-5427.74658203125,265.0372
410.3483,488.02,444.66,9,45000,9,-5820.02392578125,275.5124
424.0476,409.26,386.56,10,50000,10,-6916.43701171875,284.8755
416.6054,470.43,459.28,11,55000,11,-6427.79345703125,284.413
399.9235,538.94,760.64,12,60000,12,-6999.3447265625,257.9386
404.7933,501.58,492.33,13,65000,13,-7190.9765625,284.8753
413.5872,549.48,470.95,14,70000,14,-7358.93994140625,261.9264
399.9156,563.4,614.72,15,75000,15,-7464.650390625,269.0512
402.4911,602.41,676.19,16,80000,16,-7744.90869140625,255.5265
389.5372,543.09,642.7,17,85000,17,-7799.037109375,242.1795
407.6696,631.39,755.9,18,90000,18,-8424.55859375,286.5341
395.0484,640.43,741.9,19,95000,19,-8445.666015625,273.197
398.8963,585.18,585.61,20,100000,20,-8603.61328125,284.9509
414.19,701.69,791.92,21,105000,21,-8551.3818359375,271.5766
391.0399,661.45,831.7,22,110000,22,-8335.80859375,263.7371
390.3255,658.05,709.52,23,115000,23,-8815.30078125,240.2859
394.9917,621.18,623.36,24,120000,24,-9203.0712890625,244.4806
378.5547,740.55,796.08,25,125000,25,-8874.9541015625,235.5499
381.8305,834.92,964.85,26,130000,26,-8891.6220703125,216.5177
376.1729,833.54,982.92,27,135000,27,-9225.1357421875,237.0361
364.556,805.69,915.13,28,140000,28,-9268.7822265625,231.2255
372.1431,834.73,1066.97,29,145000,29,-9234.1982421875,239.475
371.2677,730.77,534.07,30,150000,30,-9428.9755859375,230.9622
341.4261,1145.31,962.69,31,155000,31,-8589.6875,196.4079
354.5986,1119.64,940.42,32,160000,32,-8599.1318359375,211.8587
338.8853,1630.82,1610.35,33,165000,33,-6959.45166015625,189.3463
347.9453,1633.53,1713.49,34,170000,34,-7818.31591796875,189.3826
354.8593,1317.81,1396.38,35,175000,35,-9239.287109375,217.856
379.6516,1179.66,1694.21,36,180000,36,-9375.3046875,241.9394
370.1519,1312.47,2342.49,37,185000,37,-8726.10546875,223.3836
336.4399,1885.08,1986.87,38,190000,38,-6508.76904296875,160.6846
384.5988,1053.23,938.41,39,195000,39,-9957.3349609375,263.0298
351.9672,1711.89,1928.65,40,200000,40,-8362.9833984375,194.348
346.204,1942.33,1579.98,41,205000,41,-8118.931640625,184.6357
312.8916,2316.76,2644.43,42,210000,42,-5867.626953125,141.6082
311.8443,2817.45,4766.08,43,215000,43,-4619.41455078125,122.915
343.5034,1717.8,2632.74,44,220000,44,-8508.5615234375,195.8479
342.8044,1999.71,3461.21,45,225000,45,-7517.0888671875,173.9786
341.7395,2111.89,3144.82,46,230000,46,-8172.15234375,221.445
336.4723,1720.8,2900.26,47,235000,47,-8568.2958984375,202.3925
363.2737,1294.16,2006.4,48,240000,48,-10136.115234375,248.0871
334.8815,1818.51,1150.22,49,245000,49,-8385.080078125,178.6103
351.7673,1594.77,1695.88,50,250000,50,-9284.19921875,202.6945
323.8492,2591.09,2370.77,51,255000,51,-6699.9794921875,145.4453
316.9715,2960.48,2132.84,52,260000,52,-5607.3330078125,150.3492
321.0918,4018.55,3581.97,53,265000,53,-5074.69677734375,134.9784
331.2131,2598.99,3480.1,54,270000,54,-7589.63134765625,171.5967
325.604,2513.37,2884.38,55,275000,55,-9379.5673828125,197.9528
323.2622,2331.47,3147.53,56,280000,56,-6290.2822265625,149.5847
326.9717,2711.52,3245.75,57,285000,57,-8417.619140625,172.5482
323.4235,2824.22,3774.2,58,290000,58,-8315.212890625,167.6377
329.071,2978.14,2599.48,59,295000,59,-8398.123046875,170.6544
303.7253,2999.47,3598.89,60,300000,60,-4559.76953125,120.968
