Running Update Time,Running Reverse KL,Running Forward KL,Itration,Reward Loss,Running Env Steps,Real Det Return,Real Sto Return
0,319.4032,453.0277,0,-29104.896484375,0,308.58,358.3
1,319.5339,454.576,1,-28225.70703125,5000,260.86,278.44
2,269.2525,428.0393,2,-28043.05859375,10000,411.24,394.0
3,309.2354,423.9877,3,-31661.70703125,15000,544.82,434.19
4,276.7124,425.1058,4,-32828.421875,20000,488.37,484.94
5,303.7447,421.2603,5,-34514.7890625,25000,397.73,428.26
6,287.9333,435.9703,6,-34746.08984375,30000,424.28,429.88
7,271.2602,432.2561,7,-34785.07421875,35000,527.45,458.27
8,271.2903,416.3133,8,-35726.625,40000,466.72,448.28
9,280.977,403.9731,9,-38187.34375,45000,540.26,432.86
10,281.9827,417.6256,10,-37371.0625,50000,394.97,418.21
11,284.0115,432.2071,11,-38551.73046875,55000,426.23,395.76
12,276.2315,410.056,12,-39249.80078125,60000,525.08,496.65
13,288.164,402.8031,13,-40889.63671875,65000,507.96,535.33
14,256.9107,400.5913,14,-41090.60546875,70000,543.99,575.14
15,257.8972,397.1954,15,-39152.7421875,75000,558.57,555.33
16,249.7258,391.9253,16,-41505.8671875,80000,591.57,619.86
17,247.045,392.1331,17,-44418.9453125,85000,638.15,651.57
18,252.6625,392.5065,18,-42853.66796875,90000,573.46,629.98
19,262.7489,399.2276,19,-43958.99609375,95000,574.73,584.6
20,245.0753,385.079,20,-42968.515625,100000,550.41,598.14
21,274.8057,389.8869,21,-46959.9921875,105000,531.3,530.12
22,250.6162,373.6741,22,-44447.9609375,110000,609.67,646.48
23,288.7651,387.9287,23,-50531.7109375,115000,541.73,554.32
24,268.3212,385.2041,24,-50993.59375,120000,622.09,681.82
25,270.8816,380.9804,25,-51348.79296875,125000,603.56,588.73
26,259.6657,367.8766,26,-51303.765625,130000,619.21,801.73
27,252.5277,371.2804,27,-53300.6640625,135000,612.56,742.97
28,240.8162,364.1432,28,-52701.48828125,140000,643.66,834.45
29,260.5986,365.4346,29,-54059.91015625,145000,638.15,823.95
30,247.9916,360.6952,30,-52820.9609375,150000,675.73,1084.94
31,249.7859,376.957,31,-54919.46484375,155000,695.26,927.0
32,251.1546,369.1883,32,-55066.12109375,160000,628.87,944.72
33,254.4113,374.5602,33,-54417.9296875,165000,673.91,998.31
34,261.2665,387.6885,34,-58182.33203125,170000,659.72,804.57
35,257.3272,371.6693,35,-57140.234375,175000,728.76,797.27
36,274.1875,380.2382,36,-59426.30859375,180000,907.37,1043.7
37,268.3219,371.1851,37,-58253.9140625,185000,738.55,836.0
38,252.1508,377.5162,38,-57084.91015625,190000,991.14,894.18
39,241.214,359.2465,39,-58365.8984375,195000,952.45,1096.0
40,231.3911,359.7124,40,-52755.15625,200000,852.99,1002.35
41,257.3909,370.6594,41,-57265.875,205000,924.07,826.85
42,253.478,353.4548,42,-58272.671875,210000,829.46,1164.64
43,243.9469,363.6947,43,-59696.078125,215000,727.49,1006.73
44,264.9634,374.2653,44,-62076.4375,220000,1120.29,1001.26
45,234.4384,341.6696,45,-56252.8984375,225000,1336.47,1517.6
46,202.3744,327.6646,46,-50078.73046875,230000,1889.67,1517.54
