Real Det Return,Running Forward KL,Real Sto Return,Itration,Running Reverse KL
546.88,433.4195,370.15,0,238.2783
290.61,431.4711,323.98,1,294.0522
315.09,403.9993,414.64,2,279.1764
400.8,401.5604,385.04,3,229.9598
453.8,395.1081,423.64,4,247.842
390.17,391.8328,395.24,5,291.5609
397.38,389.8927,388.04,6,284.5516
457.19,400.6468,441.59,7,301.4536
568.67,383.0144,566.43,8,265.6738
390.6,367.7656,497.33,9,284.3843
572.56,374.1968,601.19,10,317.4153
531.87,380.8498,754.9,11,269.3703
730.87,369.3486,615.94,12,300.6509
501.68,371.8012,615.99,13,268.6974
547.34,377.3129,797.85,14,300.8687
693.9,368.9252,625.46,15,375.2071
643.73,368.7908,670.38,16,495.6146
810.06,372.8493,749.61,17,318.5741
666.85,378.4116,730.66,18,317.8787
850.82,372.4496,720.96,19,257.3673
577.75,377.3825,748.35,20,554.8048
1001.07,378.4019,764.43,21,334.899
973.81,369.7899,913.27,22,371.6735
1063.72,358.5102,1258.15,23,225.2071
1041.13,364.173,1067.6,24,219.1424
714.59,335.9313,1105.25,25,210.7358
805.0,350.851,1077.35,26,235.6205
785.36,368.7094,945.52,27,228.4943
2658.08,353.3987,1355.78,28,248.0749
1350.25,357.2512,1109.23,29,226.0106
772.8,358.173,1099.2,30,218.5059
1001.85,341.8615,1121.97,31,210.8867
1791.39,363.4169,1456.33,32,223.0282
796.3,367.8694,931.61,33,234.2812
1862.39,343.5314,1958.63,34,203.029
1178.94,368.572,1269.85,35,228.8364
949.91,369.9873,1138.18,36,257.5389
989.54,361.098,1378.56,37,212.6248
1286.75,353.6782,1260.78,38,203.5035
1037.8,363.2715,1760.9,39,230.504
846.89,355.135,1665.12,40,196.0355
1680.33,360.0373,1280.19,41,207.2943
1710.44,343.781,1946.43,42,187.8492
1191.4,373.9788,1482.22,43,212.7484
1477.95,356.3404,1716.87,44,198.0105
773.19,379.5146,1175.34,45,226.7601
1135.4,355.4098,1838.13,46,198.1351
1429.36,353.1054,1821.6,47,196.6916
1359.23,340.5638,2059.31,48,172.2957
956.59,361.8375,1148.89,49,188.0724
1535.66,332.2368,2346.6,50,157.4725
1278.68,355.2408,2783.41,51,190.2895
1350.65,340.361,2347.56,52,159.9898
1526.59,344.2299,2229.59,53,163.2821
2271.33,340.791,2179.43,54,160.5433
1606.46,357.4518,2266.39,55,181.4776
3407.3,327.3219,2685.68,56,143.6737
1201.09,356.5974,1844.52,57,183.1661
1715.85,340.6702,3268.84,58,169.4027
2460.09,330.5634,3143.08,59,171.2946
1749.57,326.0153,2573.32,60,143.8862
2323.04,319.0512,4003.11,61,146.2972
2187.51,316.5932,3714.1,62,125.4032
2706.49,321.5656,4159.51,63,222.0847
4170.35,304.9065,4310.24,64,204.1306
2120.24,317.7123,4224.15,65,122.5882
4181.37,312.5529,4143.55,66,121.6386
1963.35,319.2579,4063.21,67,156.4734
2869.12,308.7381,3987.31,68,108.6667
2907.98,327.3854,4668.04,69,132.425
1363.5,327.658,3736.72,70,135.784
2716.55,321.8082,4553.87,71,125.4643
2082.36,305.8841,4580.7,72,107.7824
2409.88,320.5868,4253.61,73,124.7737
2492.79,311.9417,4343.22,74,116.6803
3500.64,309.1224,3680.06,75,120.4133
2828.02,315.2397,2940.1,76,193.9833
1815.0,324.3684,4385.52,77,124.9026
2817.64,321.4147,4139.81,78,123.5665
4336.5,310.8941,4087.81,79,116.0891
3587.32,309.3561,4345.33,80,123.5991
4674.71,315.6747,4870.31,81,119.6254
2547.47,307.8682,4519.09,82,138.7755
4555.02,316.6809,4858.04,83,137.581
5074.23,314.683,4741.47,84,118.1396
4704.09,319.8848,4739.61,85,123.7844
