Real Det Return,Real Sto Return,Running Forward KL,Itration,Running Reverse KL
451.46,-59.6,74.3336,0,25.3807
252.14,-78.34,72.5671,1,24.9685
457.89,-16.78,73.4784,2,27.3574
692.57,12.28,72.1718,3,25.2261
655.18,12.94,72.2452,4,27.6621
409.45,128.68,71.7093,5,28.7799
629.95,104.92,70.1957,6,27.8741
596.48,127.99,68.3817,7,27.4655
751.55,144.04,68.1273,8,28.0639
797.83,116.6,70.0869,9,28.604
904.89,120.86,68.7686,10,28.678
1062.18,210.57,66.0206,11,27.9804
1191.1,162.22,66.0704,12,27.9526
1041.85,289.07,65.9694,13,28.6355
1238.25,278.9,70.1329,14,30.4321
928.93,281.31,65.4138,15,28.2165
-54.78,-120.73,75.8771,16,35.761
-830.96,-809.81,84.0375,17,58.749
374.52,19.67,69.3579,18,28.0786
406.56,-51.36,68.8399,19,26.5161
239.54,11.69,70.5651,20,25.3446
405.46,-22.81,70.1119,21,25.4158
443.77,-71.51,70.4889,22,27.3973
572.92,-26.71,70.7317,23,26.2244
629.16,28.99,71.0548,24,25.9445
391.28,65.39,66.1159,25,24.4653
272.6,48.1,68.7833,26,27.7036
476.68,75.07,69.1533,27,28.0851
274.62,80.45,69.0632,28,27.1514
591.09,117.34,69.3847,29,28.3622
710.8,136.03,69.3546,30,27.2946
620.25,93.74,70.3237,31,27.7083
863.26,234.02,64.6304,32,26.1921
624.01,107.91,67.8595,33,27.1632
464.62,143.38,63.7026,34,24.7707
468.75,108.78,69.9286,35,28.2668
399.17,94.92,71.008,36,27.5949
653.25,199.95,64.1094,37,27.8664
614.14,158.99,67.8522,38,27.1423
606.16,126.73,66.042,39,28.0155
389.59,112.16,67.2652,40,26.987
486.04,101.15,70.1675,41,27.4892
446.97,42.72,68.8285,42,27.8895
661.29,139.46,65.7848,43,26.3534
565.31,74.82,70.2995,44,28.4049
563.2,147.86,63.3358,45,25.9922
538.88,168.67,68.7499,46,27.0264
728.38,120.97,68.3587,47,27.1938
494.65,148.81,67.8988,48,26.289
582.52,145.0,67.4552,49,26.7146
576.32,109.63,65.7056,50,25.9396
330.8,84.83,70.5356,51,28.1665
632.64,107.69,70.5416,52,28.1818
560.5,79.32,67.2133,53,26.0355
573.99,83.38,69.6845,54,26.9969
497.54,133.69,64.085,55,26.9748
606.98,257.4,65.1482,56,24.7256
578.86,183.55,66.7048,57,26.0812
571.95,148.78,65.8986,58,25.424
538.12,151.22,63.8487,59,24.2178
243.57,129.36,66.7464,60,27.6239
467.02,117.47,63.4197,61,24.8635
436.04,91.21,63.4736,62,24.4482
366.92,190.92,68.9499,63,26.7375
279.07,110.32,65.996,64,26.6633
561.21,93.75,65.1231,65,32.2763
682.44,161.67,67.4648,66,27.6124
267.43,155.47,70.533,67,31.1135
485.51,105.74,70.0675,68,28.4559
1013.22,129.55,65.9639,69,25.6673
684.31,200.16,64.3102,70,27.059
665.32,137.72,61.6603,71,25.6614
432.96,125.44,66.3443,72,28.946
243.74,91.59,68.4583,73,27.7234
383.95,168.83,68.4618,74,26.7366
462.27,103.35,64.4212,75,24.2119
661.01,193.77,62.2444,76,24.7842
431.45,115.48,64.6802,77,26.9569
526.66,183.48,63.518,78,24.9264
659.56,181.87,63.7913,79,24.0965
351.87,145.36,63.7498,80,24.2972
471.39,104.12,61.3251,81,23.6773
577.69,171.59,63.4855,82,25.0403
585.61,202.32,62.455,83,23.2438
526.64,272.55,55.8764,84,22.3286
584.51,221.79,58.6786,85,22.8708
615.86,210.48,63.3009,86,25.2326
692.67,316.93,55.3961,87,21.2515
429.26,209.47,70.8427,88,30.1048
460.72,188.45,62.7873,89,24.5693
828.2,253.61,63.2887,90,27.2075
522.98,-54.17,64.1493,91,35.3844
458.15,146.85,62.9302,92,28.2039
456.16,97.56,63.4229,93,23.3131
871.57,223.33,60.2885,94,22.1767
963.53,253.38,64.513,95,25.8327
216.74,159.43,62.3711,96,37.2623
907.45,257.17,56.9454,97,25.9718
751.63,162.94,61.0673,98,27.6452
1049.93,247.78,63.3681,99,26.1367
770.15,214.1,65.9467,100,27.2234
682.71,172.77,66.1881,101,30.5588
756.15,362.54,63.3413,102,26.8114
685.01,275.5,61.7099,103,25.0015
793.14,192.59,63.4298,104,26.1891
599.2,249.28,65.7013,105,26.4557
910.89,310.03,60.1464,106,28.7427
799.69,279.17,58.3446,107,23.2974
634.28,254.0,59.9609,108,22.1765
984.68,320.53,60.1939,109,22.3936
661.87,130.5,69.5771,110,27.0319
652.27,199.28,64.4633,111,24.5885
706.72,187.74,58.0344,112,21.2331
1448.52,604.97,53.8651,113,20.247
567.3,276.52,58.3409,114,25.7339
604.28,157.51,65.3712,115,26.2214
