Running Reverse KL,Running Forward KL,Itration,Real Sto Return,Running Update Time,Real Det Return,Running Env Steps,Reward Loss
14.1026,49.0667,0,386.56,0,380.07,0,2866.29248046875
14.5092,49.8781,1,318.21,1,376.81,5000,2260.5625
15.9555,49.4808,2,323.26,2,292.11,10000,1232.0732421875
18.1726,50.0651,3,332.37,3,364.32,15000,1874.1627197265625
13.2908,49.4073,4,351.37,4,371.46,20000,2649.602783203125
15.8677,49.6267,5,351.82,5,314.8,25000,1357.2139892578125
19.3377,49.2375,6,455.57,6,383.14,30000,1018.1348266601562
26.8619,49.1082,7,402.2,7,387.62,35000,597.4873657226562
16.5758,48.9321,8,486.99,8,453.36,40000,1469.9237060546875
22.2381,49.1937,9,510.68,9,537.57,45000,981.7444458007812
26.3567,47.925,10,721.81,10,861.27,50000,750.9591674804688
17.7765,48.3243,11,789.13,11,1311.12,55000,662.0729370117188
21.3365,48.3525,12,611.32,12,657.71,60000,871.4837646484375
21.907,48.4237,13,683.97,13,685.87,65000,1443.55029296875
19.4078,48.172,14,644.39,14,595.94,70000,1245.6630859375
22.0348,47.9745,15,712.47,15,703.53,75000,812.0714111328125
18.9301,47.9913,16,690.19,16,699.23,80000,896.2608032226562
21.0365,47.7038,17,787.05,17,936.03,85000,765.2464599609375
26.0299,48.0354,18,708.28,18,556.09,90000,504.6588439941406
23.0193,47.7111,19,737.76,19,824.92,95000,321.92816162109375
19.5087,48.1313,20,761.21,20,722.57,100000,116.38899993896484
24.6249,48.1399,21,652.98,21,785.37,105000,-332.02508544921875
30.1942,48.3397,22,707.19,22,581.67,110000,-64.24668884277344
28.4444,47.4179,23,782.83,23,817.68,115000,-86.44261932373047
22.8272,47.7389,24,770.53,24,681.13,120000,13.013595581054688
27.9861,47.8048,25,792.25,25,740.31,125000,-622.751708984375
29.0294,47.8785,26,859.84,26,968.26,130000,-463.4810485839844
24.7618,47.9631,27,748.03,27,798.52,135000,-335.8194580078125
27.9615,47.4069,28,846.6,28,883.14,140000,-775.4335327148438
25.4898,47.5291,29,925.4,29,954.51,145000,-857.384765625
22.8828,47.0132,30,1357.73,30,1562.05,150000,-364.20916748046875
24.549,47.2108,31,1005.02,31,1111.46,155000,-643.0227661132812
27.755,46.8138,32,977.38,32,1086.14,160000,-1191.5836181640625
21.4736,47.0565,33,1191.12,33,1445.88,165000,-1024.020751953125
31.2811,46.9916,34,1133.01,34,1322.7,170000,-1107.66015625
30.1123,46.4518,35,1260.08,35,1494.43,175000,-1300.4998779296875
22.0479,46.5413,36,2224.46,36,3086.13,180000,-951.4962768554688
27.2662,46.1754,37,1558.14,37,1749.34,185000,-1267.5657958984375
19.0848,46.1265,38,1408.38,38,1782.37,190000,-951.5006713867188
19.9694,45.7077,39,2234.77,39,3029.51,195000,-986.8452758789062
18.3411,46.263,40,2414.48,40,2890.8,200000,-897.0108032226562
