Running Forward KL,Real Det Return,Real Sto Return,Running Env Steps,Running Update Time,Itration,Running Reverse KL,Reward Loss
31.2886,298.64,292.82,0,0,0,14.6099,-23.064449310302734
30.55,234.48,260.69,5000,1,1,16.7905,-11.459246635437012
29.924,328.22,309.23,10000,2,2,14.97,-14.63615894317627
29.7021,362.42,354.05,15000,3,3,14.7966,-20.894304275512695
29.8007,362.41,352.53,20000,4,4,15.14,-27.105226516723633
29.7973,383.71,385.53,25000,5,5,15.6387,-32.39591598510742
29.8988,413.07,405.87,30000,6,6,16.4124,-28.846717834472656
29.7978,410.61,403.72,35000,7,7,16.7172,-65.88888549804688
29.9355,413.93,407.5,40000,8,8,16.6462,-88.80967712402344
26.4561,435.13,427.11,45000,9,9,15.2045,-90.6895523071289
25.7017,451.79,476.39,50000,10,10,14.3485,-97.74018859863281
25.8358,519.56,503.22,55000,11,11,16.7912,-98.74671173095703
25.3446,855.77,761.26,60000,12,12,15.3503,-86.04635620117188
25.6379,663.16,646.57,65000,13,13,13.6636,-31.65645980834961
25.092,738.53,696.57,70000,14,14,12.9049,-53.97663879394531
24.0068,1011.2,950.77,75000,15,15,12.3877,-51.77013397216797
23.6024,1994.08,1819.04,80000,16,16,12.0838,-63.83073425292969
22.0572,3322.47,2476.74,85000,17,17,13.1027,-55.33425521850586
23.4962,3009.14,2803.41,90000,18,18,16.7227,-33.150421142578125
21.408,3317.97,2907.83,95000,19,19,13.4202,-18.66543197631836
23.4478,3302.77,3300.87,100000,20,20,15.7886,-34.669132232666016
23.366,3340.08,3241.39,105000,21,21,14.9204,-18.88743019104004
22.3565,3415.38,2358.94,110000,22,22,11.9536,-34.481449127197266
22.9043,3430.72,3288.62,115000,23,23,15.3848,-29.459491729736328
22.6272,3432.89,3297.65,120000,24,24,15.5713,-28.96918296813965
23.2454,3424.94,3387.59,125000,25,25,15.6541,-25.732606887817383
22.3587,3429.91,3290.47,130000,26,26,14.2275,-30.29465675354004
23.0401,3406.58,3387.75,135000,27,27,15.2754,-22.980361938476562
23.5357,3453.1,3424.54,140000,28,28,15.1843,-35.74091339111328
23.4271,3452.34,3373.92,145000,29,29,15.7905,-32.5545654296875
23.002,3442.79,3316.19,150000,30,30,14.815,-41.948081970214844
22.1584,3461.06,2832.34,155000,31,31,12.2617,-58.160064697265625
22.9285,3469.97,3426.49,160000,32,32,14.4057,-39.91592025756836
23.1033,3475.71,3293.65,165000,33,33,14.964,-47.17195129394531
23.256,3488.75,3450.3,170000,34,34,14.1677,-42.498050689697266
22.362,3462.82,3124.28,175000,35,35,13.1196,-58.167518615722656
22.8528,3451.32,3404.24,180000,36,36,14.1027,-63.74674987792969
21.917,3476.5,3230.89,185000,37,37,12.548,-59.525264739990234
22.3351,3491.79,2520.95,190000,38,38,13.766,-54.431617736816406
22.47,3448.69,3333.44,195000,39,39,14.4367,-57.65956497192383
22.2324,3461.08,3262.81,200000,40,40,13.0873,-64.67567443847656
22.2261,3456.2,3137.63,205000,41,41,13.3764,-55.15781021118164
21.8964,3469.19,3329.92,210000,42,42,13.6439,-50.88028335571289
21.8878,3456.64,3105.67,215000,43,43,14.0104,-48.72795867919922
22.0366,3483.28,2776.64,220000,44,44,12.9293,-73.47026824951172
22.1592,3445.98,3254.89,225000,45,45,13.131,-75.49612426757812
22.1363,3454.59,2837.37,230000,46,46,12.7401,-73.223876953125
21.8368,3483.14,3168.77,235000,47,47,12.56,-82.42179107666016
21.9945,3477.15,3053.76,240000,48,48,13.9839,-58.5815315246582
21.9885,3456.21,3348.83,245000,49,49,14.4446,-60.73391342163086
22.5065,3496.66,3279.44,250000,50,50,14.0182,-72.23418426513672
22.2217,3498.14,3325.38,255000,51,51,14.0748,-97.62625122070312
21.9925,3500.56,3275.18,260000,52,52,13.7166,-74.30680084228516
22.6661,3505.51,3158.94,265000,53,53,14.0905,-77.07256317138672
22.3306,3496.64,3391.28,270000,54,54,13.8515,-87.18010711669922
22.0611,3462.16,3425.42,275000,55,55,13.9857,-93.91920471191406
20.7206,3502.09,3292.35,280000,56,56,13.2952,-61.929256439208984
22.2834,3476.46,2962.28,285000,57,57,13.2574,-101.61754608154297
21.3579,3495.98,3376.03,290000,58,58,12.6088,-112.84346771240234
21.9497,3488.19,3277.26,295000,59,59,12.6246,-103.14008331298828
21.4032,3496.59,3100.1,300000,60,60,13.038,-97.22283172607422
21.448,3490.89,2891.56,305000,61,61,12.1181,-113.69786834716797
20.8322,3487.86,3032.93,310000,62,62,13.0156,-93.69123077392578
21.3083,3478.53,3144.68,315000,63,63,12.9305,-93.72928619384766
20.8875,3476.38,3452.72,320000,64,64,13.4367,-83.61963653564453
21.5643,3502.5,3296.52,325000,65,65,12.5316,-107.82730865478516
21.3428,3506.34,2961.73,330000,66,66,11.9249,-135.25706481933594
21.9271,3493.32,3466.14,335000,67,67,13.3357,-102.78668975830078
21.0909,3507.6,2921.19,340000,68,68,12.5582,-107.9474105834961
20.3642,3487.29,3273.38,345000,69,69,11.926,-106.9466323852539
21.3184,3517.0,2793.78,350000,70,70,12.3214,-145.24493408203125
21.0722,3514.64,3220.4,355000,71,71,12.6505,-111.19767761230469
20.7598,3486.04,3306.42,360000,72,72,12.6942,-106.06719207763672
21.258,3490.65,2891.97,365000,73,73,13.3598,-90.05777740478516
21.0171,3501.28,3417.19,370000,74,74,13.3526,-106.7573013305664
21.2909,3509.46,3250.21,375000,75,75,11.4721,-132.13955688476562
20.7094,3501.12,3096.01,380000,76,76,11.9544,-115.83566284179688
21.3885,3492.78,2335.25,385000,77,77,12.2877,-196.38491821289062
22.1153,3510.74,2991.67,390000,78,78,13.1175,-133.78260803222656
20.7609,3496.35,3091.41,395000,79,79,12.6541,-139.29273986816406
21.1321,3474.94,3119.09,400000,80,80,11.982,-147.87144470214844
21.3149,3495.65,2788.81,405000,81,81,10.8999,-182.0824432373047
21.6674,3503.3,3025.89,410000,82,82,12.4053,-152.40904235839844
21.2788,3507.89,3278.39,415000,83,83,12.6492,-136.89149475097656
22.0336,3492.03,2526.23,420000,84,84,11.6203,-205.67367553710938
21.0352,3517.03,3373.75,425000,85,85,12.6482,-152.67916870117188
20.8842,3510.96,3427.51,430000,86,86,12.8369,-136.24859619140625
21.6113,3502.95,3022.85,435000,87,87,11.5918,-192.16726684570312
20.7673,3506.42,2976.25,440000,88,88,11.6611,-146.34756469726562
21.9708,3504.2,2982.4,445000,89,89,12.7294,-145.97740173339844
21.9654,3496.84,2691.23,450000,90,90,12.7887,-194.2128448486328
21.7141,3405.4,2697.43,455000,91,91,11.3602,-189.42970275878906
22.0482,3508.39,3291.84,460000,92,92,12.5739,-176.26199340820312
21.6793,3518.72,2582.87,465000,93,93,11.4891,-251.35031127929688
22.0241,3466.27,3440.18,470000,94,94,14.1022,-142.6394805908203
22.6669,3489.05,3450.82,475000,95,95,14.0587,-154.71493530273438
21.3326,3480.77,2543.16,480000,96,96,11.4413,-227.78004455566406
21.8951,3225.11,2253.89,485000,97,97,11.6175,-239.8109588623047
20.4686,3474.61,3146.79,490000,98,98,11.7784,-151.51364135742188
21.3277,3479.1,2658.54,495000,99,99,11.68,-193.71348571777344
21.4938,3471.92,3373.24,500000,100,100,13.4822,-148.02325439453125
21.1196,3480.02,3208.08,505000,101,101,13.0394,-162.79373168945312
20.1081,3482.8,2711.03,510000,102,102,11.1512,-180.75880432128906
21.2877,3479.75,2798.31,515000,103,103,11.5289,-204.12106323242188
21.8333,3482.49,2489.99,520000,104,104,11.6741,-279.0132751464844
20.1543,3482.53,2825.78,525000,105,105,13.6878,-193.09507751464844
20.3688,3499.81,2967.63,530000,106,106,12.3855,-174.64889526367188
20.9184,3504.8,3427.28,535000,107,107,13.1239,-168.72999572753906
21.8937,3437.36,2494.93,540000,108,108,12.6512,-279.460205078125
19.4122,3463.56,3362.99,545000,109,109,12.5146,-175.32012939453125
20.3964,3516.94,2689.66,550000,110,110,12.4296,-235.47532653808594
19.9093,3500.92,3017.15,555000,111,111,11.2937,-198.75485229492188
20.4078,3450.37,2591.83,560000,112,112,11.2,-221.1444549560547
20.2292,3492.88,3036.11,565000,113,113,12.0704,-168.30857849121094
20.0697,3490.06,3339.71,570000,114,114,12.1392,-162.82809448242188
20.0797,3463.06,3249.66,575000,115,115,11.4925,-197.24415588378906
21.0373,3466.39,2444.41,580000,116,116,11.4497,-280.8966064453125
20.5835,3497.67,2710.18,585000,117,117,11.5152,-267.47662353515625
21.2169,3174.03,2144.81,590000,118,118,11.5649,-248.42465209960938
19.864,3453.19,2693.84,595000,119,119,11.2266,-253.50987243652344
19.6192,3487.91,3336.75,600000,120,120,10.6823,-237.38681030273438
20.9222,3489.0,3429.78,605000,121,121,11.4816,-240.32379150390625
21.9324,3410.42,2284.16,610000,122,122,10.9327,-353.37310791015625
19.7549,3475.57,3158.78,615000,123,123,11.2897,-216.51083374023438
20.293,3474.16,3400.95,620000,124,124,12.8859,-184.5946044921875
19.3876,3476.21,3232.53,625000,125,125,11.1672,-221.79470825195312
19.8822,3474.07,3102.4,630000,126,126,11.515,-218.71820068359375
20.6444,3395.67,2115.81,635000,127,127,11.5757,-309.8945617675781
19.7755,3481.18,3392.73,640000,128,128,11.8975,-203.2930145263672
20.1123,3530.35,3269.21,645000,129,129,11.7658,-212.30813598632812
19.9603,3504.84,3422.89,650000,130,130,12.2361,-204.87294006347656
20.3528,3479.37,3463.72,655000,131,131,12.0588,-196.24203491210938
19.5838,3503.72,3487.34,660000,132,132,11.544,-204.53233337402344
20.7838,3484.33,3412.59,665000,133,133,12.8673,-213.03524780273438
20.6879,3478.15,3457.18,670000,134,134,12.7063,-193.17388916015625
19.8588,3476.23,3389.8,675000,135,135,12.4257,-192.7447052001953
20.5149,3457.79,3442.7,680000,136,136,12.5622,-209.73936462402344
20.2324,3458.87,3420.6,685000,137,137,12.5793,-191.3041534423828
20.4105,3448.25,3413.25,690000,138,138,13.4794,-194.78575134277344
20.6864,3514.7,3418.9,695000,139,139,12.2086,-236.72608947753906
19.8795,3461.9,3402.93,700000,140,140,13.0833,-174.3693389892578
21.4682,3513.3,3445.19,705000,141,141,12.8757,-273.2355041503906
20.5086,3481.3,2878.85,710000,142,142,11.721,-281.7686767578125
19.9727,3492.4,2874.25,715000,143,143,11.7373,-242.08824157714844
20.8463,3459.11,3436.92,720000,144,144,13.3337,-223.68743896484375
20.741,3493.2,3064.83,725000,145,145,12.6854,-244.3252410888672
21.4223,3516.53,3134.99,730000,146,146,12.276,-278.0255126953125
18.7555,3452.19,3424.06,735000,147,147,12.3454,-196.47645568847656
19.4087,3485.0,3321.1,740000,148,148,12.2433,-211.59683227539062
20.0942,3450.07,3425.65,745000,149,149,12.3671,-219.85057067871094
20.5631,3479.33,3075.33,750000,150,150,12.5355,-270.5856628417969
19.5407,3461.92,3207.46,755000,151,151,11.7923,-251.83692932128906
19.3534,3479.81,3470.47,760000,152,152,11.8864,-237.6588592529297
19.9544,3479.28,3420.68,765000,153,153,13.1517,-214.15118408203125
19.717,3463.9,3364.65,770000,154,154,12.6042,-237.79441833496094
20.0998,3474.98,3219.52,775000,155,155,12.7738,-243.53567504882812
18.9519,3469.61,3087.42,780000,156,156,11.6335,-237.30149841308594
20.1146,3485.11,3438.73,785000,157,157,12.2089,-251.1398468017578
20.4257,3433.95,3167.75,790000,158,158,11.9298,-280.542724609375
20.5867,3485.02,2480.83,795000,159,159,18.4563,-256.4679260253906
20.4581,3479.84,2898.66,800000,160,160,12.8565,-297.67138671875
20.4171,3504.07,2847.87,805000,161,161,12.3756,-325.1661682128906
19.5309,3462.91,3445.21,810000,162,162,12.7392,-229.68069458007812
20.005,3489.01,3206.78,815000,163,163,11.7354,-264.77349853515625
20.4093,3494.2,2878.23,820000,164,164,11.3544,-312.1247863769531
20.277,3466.21,3216.22,825000,165,165,11.6929,-291.0775451660156
20.5705,3460.65,3370.66,830000,166,166,12.3441,-296.0030212402344
20.4083,3485.43,3259.14,835000,167,167,14.6101,-295.18463134765625
20.4788,3503.83,3500.4,840000,168,168,12.1833,-301.8671875
19.6996,3478.76,2970.7,845000,169,169,20.459,-279.9386901855469
20.4576,3489.45,3327.45,850000,170,170,12.4786,-307.5951843261719
19.9069,3498.11,3045.55,855000,171,171,12.1567,-270.10198974609375
20.0923,3489.9,3496.71,860000,172,172,12.1682,-277.404296875
19.8578,3462.61,3427.54,865000,173,173,11.563,-285.59600830078125
19.9024,3489.0,3271.25,870000,174,174,12.4704,-266.21343994140625
20.4127,3445.56,3449.42,875000,175,175,12.6276,-280.3636779785156
19.9915,3459.88,3327.37,880000,176,176,11.8149,-282.4764404296875
21.1299,3477.62,3242.56,885000,177,177,12.4018,-293.99664306640625
20.715,3486.51,3241.64,890000,178,178,12.0333,-313.17236328125
19.3711,3457.21,3350.93,895000,179,179,12.0114,-269.86627197265625
21.0776,3476.44,3287.88,900000,180,180,11.9693,-320.9147033691406
21.4709,3401.48,2699.15,905000,181,181,11.8282,-357.8729248046875
20.5059,3464.38,3454.18,910000,182,182,13.4468,-307.0218200683594
20.2672,3483.25,3467.8,915000,183,183,12.9806,-296.8470458984375
19.3026,3481.65,3464.65,920000,184,184,12.2264,-294.19769287109375
20.1957,3505.34,3369.75,925000,185,185,12.7739,-318.8351745605469
21.4978,3478.94,2606.55,930000,186,186,11.9725,-403.3060302734375
20.799,3492.12,3280.95,935000,187,187,12.8034,-348.11065673828125
19.6481,3483.74,3457.17,940000,188,188,12.0756,-337.8994445800781
20.8955,3502.12,3192.88,945000,189,189,12.0088,-338.02447509765625
20.579,3469.14,3449.02,950000,190,190,13.0415,-300.9255065917969
20.4088,3498.21,3081.99,955000,191,191,13.5006,-329.2632141113281
20.9907,3482.92,3445.66,960000,192,192,12.9633,-338.8194580078125
20.3876,3447.84,3450.31,965000,193,193,12.2049,-340.988037109375
20.3883,3467.93,3379.34,970000,194,194,11.87,-335.402587890625
19.7144,3469.07,3445.04,975000,195,195,12.7965,-312.80963134765625
21.3863,3494.22,3182.12,980000,196,196,13.4096,-370.13775634765625
20.7001,3497.54,3257.29,985000,197,197,12.8635,-356.2001953125
19.7741,3472.64,3456.8,990000,198,198,12.1441,-335.2052917480469
20.669,3464.07,3463.48,995000,199,199,13.0223,-362.50982666015625
