Running Reverse KL,Running Forward KL,Itration,Real Det Return,Real Sto Return
16.7534,24.7721,147,3410.22,2709.56
12.4876,23.8683,148,3444.82,3346.65
13.0242,24.3438,149,3418.52,3216.53
15.2712,24.7806,150,3424.76,2701.89
13.4317,24.6785,151,3424.64,3411.52
17.0702,25.0649,152,3453.08,2666.39
16.7897,24.9267,153,3425.88,3255.14
13.6008,24.3584,154,3434.83,2965.26
14.5175,24.1694,155,3469.22,3318.96
14.9777,24.908,156,3479.89,3130.02
25.6745,25.0828,157,3463.33,3313.76
12.7433,24.3162,158,3464.45,3248.26
14.0146,24.3249,159,3421.44,2999.02
12.3072,24.5923,160,3387.2,3081.89
12.9186,24.3549,161,3438.83,3427.52
12.4213,24.3121,162,3439.77,3046.95
13.1876,24.4942,163,3447.53,3425.51
13.5035,24.7314,164,3416.36,3394.11
13.0875,24.3268,165,3437.03,3399.09
12.7135,24.0191,166,3436.82,3422.75
13.1588,24.5723,167,3419.49,3404.78
12.2756,23.8183,168,3438.65,3342.25
12.8747,24.3011,169,3421.83,3431.66
13.6403,24.8785,170,3420.54,3276.08
13.6978,25.4055,171,3436.92,3376.16
16.0498,25.2313,172,3462.02,3125.88
12.9854,24.4528,173,3391.2,3374.35
13.6439,24.7391,174,3451.82,3362.86
13.5649,24.8486,175,3477.53,3459.12
12.7696,24.0779,176,3443.93,3433.33
12.2814,24.26,177,3449.06,3180.87
13.2646,24.8318,178,3440.4,3323.97
13.3708,24.2394,179,3424.89,3410.04
12.5787,24.336,180,3446.59,3313.98
12.6758,23.8489,181,3433.53,3425.03
13.5858,24.9126,182,3451.79,3438.34
13.1621,24.9118,183,3431.4,3315.37
13.4288,24.5768,184,3409.17,3390.78
16.0704,24.1661,185,3494.49,3145.77
13.1445,24.2557,186,3466.06,3459.63
13.7057,24.7404,187,3440.33,3432.73
12.3754,23.8684,188,3458.96,3224.43
12.6365,24.1309,189,3442.77,3340.8
13.4341,24.4723,190,3448.71,3437.58
24.1446,24.5636,191,3440.08,3373.35
12.8431,24.497,192,3423.47,3325.22
13.0559,23.8337,193,3448.38,3435.77
12.9512,24.1565,194,3437.93,3431.53
13.1796,25.0217,195,3453.95,3344.44
13.6093,24.5731,196,3454.01,3264.88
12.922,24.0288,197,3452.06,3441.8
12.8768,24.4318,198,3440.4,3437.74
13.2912,24.566,199,3428.41,3400.22
