Running Env Steps,Itration,Real Sto Return,Running Reverse KL,Real Det Return,Reward Loss,Running Update Time,Running Forward KL
0,0,218.22,19.6728,206.1,71.47920227050781,0,38.6852
5000,1,248.91,19.7159,247.65,52.2562370300293,1,37.7848
10000,2,269.95,18.5777,294.89,50.34646987915039,2,35.4062
15000,3,268.11,22.9416,251.44,28.9112548828125,3,36.4125
20000,4,395.64,17.3785,415.78,13.778410911560059,4,35.9946
25000,5,475.04,37.2202,326.28,-21.513023376464844,5,33.0813
30000,6,141.18,60.5443,137.94,-64.59239959716797,6,38.7896
35000,7,512.49,29.7849,530.41,70.60163116455078,7,34.3855
40000,8,2172.04,21.5602,2710.93,25.523889541625977,8,29.9649
45000,9,637.26,39.8747,364.71,34.312129974365234,9,32.35
50000,10,1417.53,56.5124,1392.05,9.503057479858398,10,28.8405
55000,11,1084.04,13.6238,932.32,9.961817741394043,11,30.5598
60000,12,1882.86,17.5384,2635.03,-24.637475967407227,12,31.4563
65000,13,1098.96,38.0245,719.41,7.729602813720703,13,30.2956
70000,14,1112.23,22.426,1612.36,-36.146240234375,14,31.2741
75000,15,1130.51,19.4172,1268.17,15.355456352233887,15,29.8416
80000,16,2000.33,13.9408,2216.98,-34.797401428222656,16,28.6317
85000,17,2165.18,23.6233,1305.73,-11.948966979980469,17,27.807
90000,18,1846.81,12.7297,2822.64,-30.000865936279297,18,27.7184
95000,19,1670.56,19.527,2231.93,-24.349994659423828,19,29.1619
100000,20,1220.67,22.5348,1191.41,-48.96278762817383,20,27.7573
105000,21,1565.15,23.6499,2781.98,-38.54194259643555,21,27.4037
110000,22,2151.76,14.0838,3196.07,-40.1054801940918,22,26.9871
115000,23,3088.37,10.6284,3256.69,-29.188323974609375,23,25.807
120000,24,1035.7,25.6839,1142.93,-91.10143280029297,24,29.4084
125000,25,2560.94,16.1075,3249.12,-70.57350158691406,25,26.9776
130000,26,1989.59,17.3497,3209.46,-91.42134857177734,26,26.7949
