Real Det Return,Running Reverse KL,Running Forward KL,Running Env Steps,Itration,Running Update Time,Reward Loss,Real Sto Return
-56.76,11.7104,158.5719,0,0,0,452.0996398925781,-203.64
1.69,12.0332,158.572,5000,1,1,392.58929443359375,-84.88
714.66,12.6994,158.4746,10000,2,2,360.6405334472656,107.85
804.64,14.4396,158.4703,15000,3,3,382.98321533203125,435.33
962.53,14.5628,158.2929,20000,4,4,347.87054443359375,551.19
1019.45,15.1167,158.107,25000,5,5,319.16650390625,748.77
983.63,14.9252,157.8372,30000,6,6,253.84706115722656,790.71
1357.64,15.674,157.9498,35000,7,7,195.1610107421875,946.04
1439.92,16.2526,157.7408,40000,8,8,148.7728729248047,1019.03
1570.42,16.6757,157.8196,45000,9,9,128.76954650878906,1131.2
1594.71,16.6494,157.7317,50000,10,10,84.96880340576172,1165.08
1554.69,17.0276,157.7948,55000,11,11,55.39303970336914,1187.21
1638.49,16.789,157.676,60000,12,12,18.635988235473633,1231.55
1664.42,16.9665,157.767,65000,13,13,-22.34536361694336,1292.48
1693.41,17.0325,157.7397,70000,14,14,-58.027984619140625,1338.37
1694.78,17.0141,157.75,75000,15,15,-108.30300903320312,1346.33
1779.13,17.1908,157.6484,80000,16,16,-140.55567932128906,1370.01
1809.83,16.9331,157.6755,85000,17,17,-174.3260040283203,1414.43
1780.21,16.6017,157.8456,90000,18,18,-229.83013916015625,1430.37
1802.21,16.5382,157.6326,95000,19,19,-267.45037841796875,1444.3
1854.47,16.441,157.7336,100000,20,20,-304.37200927734375,1467.45
1873.69,16.1642,157.5542,105000,21,21,-353.499755859375,1505.37
1876.14,16.3535,157.6403,110000,22,22,-387.69476318359375,1499.62
1913.05,16.5509,157.5771,115000,23,23,-419.54315185546875,1560.47
1945.81,16.2478,157.4102,120000,24,24,-475.3099670410156,1582.0
1947.51,16.2981,157.6436,125000,25,25,-514.6427612304688,1576.03
1874.17,16.1042,157.5758,130000,26,26,-563.11328125,1538.38
1961.16,16.5043,157.4778,135000,27,27,-594.3432006835938,1612.18
1991.44,16.034,157.3901,140000,28,28,-645.419677734375,1618.72
1858.77,15.888,157.3037,145000,29,29,-692.6735229492188,1592.36
1884.56,16.1431,157.5254,150000,30,30,-738.860107421875,1585.38
1969.2,16.0451,157.4618,155000,31,31,-767.1279907226562,1631.76
1914.81,15.9561,157.5237,160000,32,32,-813.4752807617188,1638.05
2079.8,16.3103,157.329,165000,33,33,-842.0789794921875,1708.44
2030.6,15.8894,157.2776,170000,34,34,-881.8203735351562,1648.32
1931.38,15.7301,157.4417,175000,35,35,-940.2780151367188,1649.75
2035.6,15.9881,157.189,180000,36,36,-963.0536499023438,1695.37
1981.8,16.0744,157.108,185000,37,37,-1010.3399658203125,1675.35
1971.05,16.2143,157.2847,190000,38,38,-1052.3265380859375,1677.56
2053.44,15.8385,157.2586,195000,39,39,-1090.939453125,1685.66
2044.6,16.5531,157.3589,200000,40,40,-1128.7611083984375,1725.52
1997.36,16.0727,157.1431,205000,41,41,-1171.333740234375,1694.13
2049.22,15.9223,157.1964,210000,42,42,-1200.4930419921875,1688.87
2060.72,16.0045,157.0356,215000,43,43,-1234.497802734375,1725.11
2032.51,16.2005,157.0752,220000,44,44,-1289.23779296875,1724.45
2087.35,15.8898,156.9934,225000,45,45,-1325.906982421875,1726.42
2114.94,15.8495,157.3298,230000,46,46,-1363.288818359375,1719.5
2093.45,15.8614,157.1237,235000,47,47,-1404.724853515625,1739.63
2060.44,16.0922,157.1907,240000,48,48,-1446.3157958984375,1709.45
2101.34,15.8636,157.1162,245000,49,49,-1490.9417724609375,1738.12
2123.56,16.0644,156.9424,250000,50,50,-1523.3294677734375,1728.65
2131.09,15.9854,156.9509,255000,51,51,-1565.6983642578125,1753.93
2061.83,15.7655,157.0359,260000,52,52,-1619.4693603515625,1741.56
2118.1,15.9952,157.1322,265000,53,53,-1646.90185546875,1760.82
2123.92,15.9005,156.9491,270000,54,54,-1697.9791259765625,1743.55
2134.15,15.9369,156.9253,275000,55,55,-1729.29736328125,1739.5
2196.15,16.0936,156.9821,280000,56,56,-1772.897216796875,1809.49
2151.78,16.2439,157.1209,285000,57,57,-1832.377685546875,1783.55
2116.98,15.9729,157.0323,290000,58,58,-1853.3555908203125,1794.7
2102.1,16.0405,156.9141,295000,59,59,-1897.4486083984375,1793.45
2102.26,15.9575,156.8763,300000,60,60,-1946.7301025390625,1789.78
2078.41,15.5634,156.9031,305000,61,61,-1988.209228515625,1762.6
2105.18,15.766,156.9485,310000,62,62,-2019.9427490234375,1762.94
2074.16,15.5311,156.9143,315000,63,63,-2073.332763671875,1766.01
2090.53,15.9646,157.1703,320000,64,64,-2118.856689453125,1808.37
2165.4,16.2735,157.0183,325000,65,65,-2153.447998046875,1826.97
2120.21,15.6576,157.0201,330000,66,66,-2189.46044921875,1786.11
2143.82,15.8066,156.8959,335000,67,67,-2232.550048828125,1788.84
2123.63,15.6952,156.7425,340000,68,68,-2271.572265625,1800.15
