Running Env Steps,Reward Loss,Running Forward KL,Running Update Time,Real Sto Return,Running Reverse KL,Itration,Real Det Return
0,411.3425598144531,74.2966,0,-133.36,26.8795,0,517.71
5000,309.0887145996094,74.3784,1,-35.91,26.4127,1,529.62
10000,218.82017517089844,73.3294,2,-21.61,27.8738,2,751.97
15000,154.53770446777344,71.0201,3,101.77,29.9655,3,682.45
20000,87.61341857910156,71.3358,4,164.92,29.6214,4,803.32
25000,1.6342461109161377,69.1502,5,155.16,29.5911,5,936.16
30000,-36.483787536621094,69.4301,6,178.43,28.7761,6,878.22
35000,-105.84695434570312,70.1139,7,122.97,29.0607,7,718.5
40000,-172.6025848388672,68.5789,8,193.54,29.4665,8,827.37
45000,-260.0087585449219,70.8583,9,150.27,29.8296,9,785.17
50000,-308.1969909667969,68.0837,10,200.94,28.8911,10,834.25
55000,-408.2176513671875,71.9171,11,193.94,30.6539,11,847.46
60000,-435.1040344238281,70.0768,12,258.47,30.4107,12,828.28
65000,-546.2011108398438,69.2054,13,292.75,28.9306,13,740.99
70000,-592.1061401367188,68.5052,14,226.33,29.0981,14,1035.27
75000,-637.3433837890625,68.6395,15,209.6,28.975,15,778.71
80000,-720.4354858398438,68.7079,16,285.01,28.3327,16,741.09
85000,-783.7158203125,66.1361,17,410.98,28.3194,17,959.68
90000,-861.5224609375,66.356,18,346.94,27.5226,18,1174.65
95000,-930.2589721679688,67.4262,19,281.35,28.1573,19,879.26
100000,-966.7023315429688,64.9524,20,429.04,26.9703,20,1154.0
105000,-1073.464599609375,68.5715,21,248.5,27.658,21,1121.51
110000,-1125.9625244140625,66.6172,22,618.0,27.8357,22,1470.59
115000,-1007.2213134765625,62.1781,23,752.65,26.6706,23,1692.26
120000,-1193.953857421875,64.0588,24,609.38,26.7266,24,1725.11
125000,-1282.0906982421875,64.6361,25,606.69,27.0653,25,773.29
130000,-1147.8507080078125,62.6378,26,1131.45,29.5875,26,1861.09
135000,-1213.2896728515625,65.0478,27,1273.77,33.2145,27,2856.8
140000,-1403.502685546875,63.8879,28,593.36,27.5497,28,1092.27
145000,-1269.5194091796875,63.626,29,640.55,29.6326,29,2471.92
150000,-1268.4239501953125,65.5987,30,1120.39,31.766,30,1577.63
155000,-1581.9173583984375,64.2918,31,1116.12,28.0661,31,1732.44
