Running Env Steps,Running Forward KL,Real Sto Return,Itration,Running Update Time,Running Reverse KL,Reward Loss,Real Det Return
0,451.1118,216.77,0,0,252.8304,-61.655479431152344,139.87
5000,437.1471,344.78,1,1,264.3636,-624.3154907226562,327.27
10000,441.5163,388.49,2,2,427.3234,-1340.039794921875,349.87
15000,423.1865,427.14,3,3,268.7735,-998.93505859375,357.24
20000,422.501,427.56,4,4,280.3738,-999.6801147460938,410.06
25000,432.141,403.4,5,5,332.1191,-1644.582275390625,336.07
30000,421.5099,487.37,6,6,263.2854,-1919.7484130859375,526.85
35000,421.2486,492.22,7,7,256.7434,-2119.842041015625,480.44
40000,413.6855,552.2,8,8,279.2088,-2432.15185546875,630.23
45000,413.2636,489.1,9,9,261.545,-2867.315185546875,507.63
50000,429.8818,525.97,10,10,287.4264,-3188.296875,554.44
55000,405.1098,523.58,11,11,302.5035,-3458.422607421875,569.5
60000,408.7033,557.74,12,12,317.3289,-3803.510498046875,653.93
65000,402.8528,595.67,13,13,269.6672,-3560.07958984375,483.1
70000,410.2648,516.08,14,14,289.4365,-4551.85791015625,478.93
75000,395.9787,546.62,15,15,247.2961,-3808.771728515625,543.58
80000,409.7893,600.04,16,16,242.4286,-3937.95458984375,608.6
85000,412.1703,586.05,17,17,247.9112,-3898.630126953125,523.12
90000,408.9775,546.55,18,18,299.5799,-5081.34521484375,479.85
95000,399.7589,545.64,19,19,271.9006,-5192.6533203125,480.97
100000,414.1613,597.95,20,20,244.2592,-4737.75439453125,477.02
105000,421.2873,554.01,21,21,308.9511,-5725.3984375,474.82
110000,414.8902,530.68,22,22,281.8854,-5263.8212890625,445.27
115000,400.1513,527.57,23,23,282.3321,-5602.58251953125,400.79
120000,406.3414,606.58,24,24,345.5808,-6411.36572265625,509.48
125000,403.9432,620.33,25,25,270.8398,-6295.3037109375,414.7
130000,404.0194,566.05,26,26,321.4677,-7157.44970703125,443.36
135000,403.2898,677.9,27,27,245.6754,-6385.5498046875,556.0
140000,391.443,686.27,28,28,232.2271,-6300.0869140625,586.88
145000,414.9306,728.15,29,29,241.8113,-6491.99560546875,481.73
150000,424.9531,461.77,30,30,250.4044,-6510.955078125,521.12
155000,409.6477,634.27,31,31,268.7625,-7494.36669921875,359.37
160000,396.224,878.2,32,32,265.8143,-6306.89453125,384.38
165000,382.1334,845.96,33,33,235.807,-6664.87255859375,537.14
170000,393.1313,840.83,34,34,236.1727,-7647.45556640625,602.34
175000,412.5661,704.81,35,35,253.9447,-6682.779296875,479.9
180000,380.3213,1004.83,36,36,243.4768,-6941.3857421875,545.61
185000,406.3152,725.83,37,37,300.6813,-7814.59375,470.95
190000,381.7632,835.32,38,38,271.7652,-7822.095703125,455.72
