Running Reverse KL,Real Sto Return,Running Env Steps,Running Update Time,Itration,Real Det Return,Reward Loss,Running Forward KL
14.2934,305.77,0,0,0,379.8,99.5338363647461,49.2852
14.5927,335.57,5000,1,1,350.72,36.85797882080078,49.6342
16.6081,367.39,10000,2,2,346.75,62.488407135009766,50.058
19.172,362.27,15000,3,3,374.84,129.06622314453125,50.139
22.3237,389.32,20000,4,4,407.14,114.92321014404297,49.0745
20.7633,383.62,25000,5,5,401.19,54.45283508300781,49.9544
14.9251,389.57,30000,6,6,413.18,54.13235855102539,49.4829
17.1725,443.9,35000,7,7,425.36,13.002782821655273,49.6581
22.644,448.77,40000,8,8,548.98,-52.804290771484375,49.134
33.7236,426.14,45000,9,9,412.95,-89.38937377929688,49.0885
23.1309,469.65,50000,10,10,495.37,8.273139953613281,48.5036
18.7813,481.25,55000,11,11,448.31,30.99808120727539,48.2932
21.0649,479.94,60000,12,12,497.36,-57.26070785522461,48.2483
20.8881,538.05,65000,13,13,553.18,-17.931625366210938,47.8077
25.0567,715.15,70000,14,14,711.46,-92.2549057006836,48.0616
16.4259,699.89,75000,15,15,770.11,-63.784332275390625,47.5805
34.3636,695.99,80000,16,16,875.83,-174.740966796875,47.6597
24.676,604.55,85000,17,17,703.47,-149.05123901367188,47.8775
25.3719,776.92,90000,18,18,803.31,-156.7727508544922,47.8408
25.6215,864.2,95000,19,19,824.08,-161.23516845703125,47.0635
37.7431,694.9,100000,20,20,816.27,-208.19358825683594,48.354
27.7548,732.59,105000,21,21,713.11,-196.1089324951172,47.416
22.8373,978.32,110000,22,22,1591.56,-145.3822479248047,47.077
21.3457,1224.88,115000,23,23,1323.09,-176.78334045410156,46.1714
17.8318,994.52,120000,24,24,1234.28,-151.12091064453125,47.2998
21.0974,1071.45,125000,25,25,1316.74,-209.20193481445312,47.1099
18.2025,1462.52,130000,26,26,2352.33,-186.52809143066406,46.7381
29.6656,804.1,135000,27,27,826.69,-268.4322509765625,47.8392
30.3134,1036.0,140000,28,28,1138.12,-273.3641357421875,46.7059
24.66,1079.56,145000,29,29,1081.54,-228.89234924316406,46.6559
18.1328,1291.11,150000,30,30,1302.23,-225.48036193847656,45.5489
14.8505,1613.46,155000,31,31,2768.1,-206.06735229492188,45.7629
13.6356,2617.05,160000,32,32,2986.68,-160.136962890625,45.5402
15.7059,2645.88,165000,33,33,2773.31,-175.8153076171875,46.2301
15.9884,1832.19,170000,34,34,2509.04,-215.01763916015625,45.3619
16.3271,1705.93,175000,35,35,2649.82,-223.8929901123047,45.1287
