Reward Loss,Running Env Steps,Itration,Real Det Return,Real Sto Return,Running Update Time,Running Reverse KL,Running Forward KL
60.67097091674805,0,0,-10.41,-224.62,0,11.6583,158.5851
49.897850036621094,5000,1,313.71,-105.17,1,11.5207,158.2477
35.993873596191406,10000,2,936.77,91.05,2,12.1307,158.153
73.2786636352539,15000,3,734.3,358.51,3,13.0961,158.0182
57.30241394042969,20000,4,963.27,457.55,4,13.5691,158.0068
34.36762237548828,25000,5,1088.13,624.98,5,13.9211,157.7486
-22.392868041992188,30000,6,992.19,572.33,6,13.7535,157.713
-57.576358795166016,35000,7,963.34,698.29,7,14.133,157.8478
-94.20066833496094,40000,8,1224.76,857.64,8,14.7045,157.9919
-122.7535629272461,45000,9,1132.66,935.22,9,14.8266,157.9034
-155.38656616210938,50000,10,1343.52,979.49,10,15.2348,157.9683
-212.50509643554688,55000,11,1333.79,1012.22,11,15.6187,158.0869
-229.728515625,60000,12,1445.64,1077.19,12,16.0743,158.1437
-272.2557678222656,65000,13,1382.0,1091.76,13,16.0644,158.107
-295.81671142578125,70000,14,1344.59,1126.25,14,15.9683,158.2915
-328.05413818359375,75000,15,1572.46,1217.89,15,16.0765,157.9179
-341.43304443359375,80000,16,1714.2,1263.01,16,16.3931,158.0221
-410.36724853515625,85000,17,1598.58,1167.52,17,15.6533,157.9018
-447.9638977050781,90000,18,1654.69,1248.58,18,16.2234,157.8388
-479.47930908203125,95000,19,1727.55,1348.78,19,16.5435,158.162
-505.1494140625,100000,20,1793.01,1365.37,20,16.2674,157.9492
-548.9185791015625,105000,21,1807.2,1397.17,21,16.4756,157.9814
-598.158447265625,110000,22,1811.77,1340.0,22,16.3602,158.0304
-614.5615844726562,115000,23,1877.75,1458.32,23,16.4657,157.906
-668.2471923828125,120000,24,1735.61,1461.42,24,16.3975,157.8842
-717.6492919921875,125000,25,1812.55,1477.59,25,16.4104,157.9326
-754.7896728515625,130000,26,1870.98,1489.43,26,16.2993,157.9579
-803.0132446289062,135000,27,1875.0,1513.69,27,16.8619,158.0354
-821.5134887695312,140000,28,1878.12,1492.23,28,16.3796,157.7499
-886.824462890625,145000,29,1859.07,1492.75,29,16.469,157.9588
-904.6338500976562,150000,30,1966.71,1585.04,30,16.5237,157.8772
-936.9700927734375,155000,31,1920.29,1558.86,31,16.4619,157.9242
-991.755615234375,160000,32,1940.79,1575.27,32,16.4683,157.574
-1033.33544921875,165000,33,1938.97,1590.5,33,16.5001,157.7902
-1068.6195068359375,170000,34,2008.75,1611.94,34,16.5336,157.7922
-1116.6546630859375,175000,35,1961.29,1609.14,35,16.2904,157.7255
-1156.062744140625,180000,36,1924.1,1573.55,36,16.103,157.5669
-1182.9859619140625,185000,37,1937.23,1615.02,37,16.311,157.7903
-1199.70947265625,190000,38,2026.85,1626.38,38,16.6816,157.6645
-1254.284423828125,195000,39,1893.48,1594.27,39,15.7194,157.4135
-1301.63330078125,200000,40,1937.41,1616.71,40,16.4857,157.7111
-1337.75732421875,205000,41,2050.64,1657.95,41,16.7972,157.6905
-1375.7471923828125,210000,42,1961.39,1607.9,42,16.2046,157.338
-1421.3824462890625,215000,43,2030.92,1681.95,43,16.2407,157.5135
-1440.8782958984375,220000,44,2013.91,1665.38,44,16.4086,157.5078
-1470.0440673828125,225000,45,2034.07,1675.22,45,16.0581,157.3106
-1508.597900390625,230000,46,2021.32,1683.84,46,16.0662,157.5186
-1554.299072265625,235000,47,2012.38,1684.0,47,15.884,157.2641
-1598.133544921875,240000,48,2062.65,1709.13,48,16.2771,157.4004
-1621.438720703125,245000,49,2095.19,1710.24,49,16.0736,157.2124
-1655.544921875,250000,50,2069.55,1716.02,50,15.9365,157.2247
-1716.1175537109375,255000,51,1973.23,1706.73,51,15.9859,157.2538
-1739.2508544921875,260000,52,1922.22,1640.59,52,15.7146,157.2182
-1795.9288330078125,265000,53,2020.79,1708.75,53,16.0713,157.3216
-1815.3009033203125,270000,54,2045.69,1692.73,54,16.0327,157.4464
-1848.69580078125,275000,55,2051.27,1697.39,55,15.8554,157.0749
-1895.1466064453125,280000,56,2056.23,1709.91,56,15.878,157.2969
-1941.37255859375,285000,57,2076.29,1727.6,57,16.2053,157.1945
-1956.137939453125,290000,58,2088.17,1727.2,58,15.7433,157.214
-2000.2989501953125,295000,59,2087.27,1734.77,59,16.0572,157.0481
-2043.2999267578125,300000,60,2093.93,1719.47,60,15.9106,157.07
-2079.951171875,305000,61,2151.4,1748.84,61,16.0636,157.1056
-2118.8603515625,310000,62,2091.09,1753.56,62,16.081,157.1335
-2162.047607421875,315000,63,2030.66,1703.8,63,15.9638,156.9697
-2192.220703125,320000,64,2029.59,1708.47,64,15.5586,156.885
-2255.94970703125,325000,65,2029.27,1724.9,65,15.7202,156.9915
-2250.637939453125,330000,66,2122.58,1726.23,66,15.5597,156.9284
-2336.46826171875,335000,67,2067.56,1722.07,67,15.7672,157.1511
-2358.8095703125,340000,68,2078.94,1738.75,68,15.79,156.96
-2414.617919921875,345000,69,2118.07,1769.63,69,16.1379,157.2249
-2448.73193359375,350000,70,2088.18,1766.2,70,15.6245,157.0117
-2479.117919921875,355000,71,2091.29,1782.07,71,15.7408,156.8568
-2522.109375,360000,72,2149.68,1763.1,72,16.2722,157.0974
-2558.331787109375,365000,73,2098.38,1759.58,73,15.6978,157.0997
-2595.80078125,370000,74,2090.56,1747.95,74,15.7426,157.0084
-2647.785888671875,375000,75,2095.08,1748.13,75,15.8733,156.9689
-2699.33740234375,380000,76,2109.1,1748.65,76,15.9657,156.9964
-2731.433349609375,385000,77,2043.95,1719.39,77,15.5599,157.0238
-2766.1591796875,390000,78,2119.26,1765.77,78,15.6903,157.0402
-2824.3671875,395000,79,2111.99,1757.71,79,15.965,157.2771
-2837.9873046875,400000,80,2133.69,1778.49,80,15.8306,156.9044
-2888.34521484375,405000,81,2106.43,1782.94,81,15.6912,156.9658
-2933.433349609375,410000,82,2074.08,1745.65,82,15.4775,156.7394
