Running Update Time,Running Forward KL,Running Env Steps,Running Reverse KL,Real Det Return,Real Sto Return,Reward Loss,Itration
0,447.3433,0,265.6502,243.93,227.64,349.37237548828125,0
1,426.9292,5000,318.9202,322.06,314.2,467.2861022949219,1
2,403.3826,10000,291.2289,401.56,398.41,1476.6016845703125,2
3,417.0766,15000,290.6096,446.05,390.82,262.73321533203125,3
4,426.1747,20000,310.8185,375.8,376.57,1137.3638916015625,4
5,412.7122,25000,275.9664,398.13,406.07,691.2058715820312,5
6,411.9001,30000,282.6507,480.49,478.23,662.8753051757812,6
7,407.8145,35000,288.3354,487.0,480.29,211.31515502929688,7
8,412.3874,40000,270.6801,417.71,521.32,-258.5294189453125,8
9,412.4585,45000,281.9231,523.6,463.97,-200.03366088867188,9
10,398.0798,50000,294.9595,427.93,478.98,-654.2705078125,10
11,391.8806,55000,271.8425,565.77,538.79,-809.86572265625,11
12,398.7159,60000,248.5784,566.4,550.93,-1539.077392578125,12
13,413.5052,65000,239.9841,545.43,570.21,-2039.6671142578125,13
14,394.603,70000,261.5606,624.26,618.59,-1966.5987548828125,14
15,412.4741,75000,259.4997,531.83,541.0,-3067.954345703125,15
16,394.8716,80000,266.3881,617.77,613.52,-2481.104736328125,16
17,404.3509,85000,240.7065,564.37,544.57,-3131.3388671875,17
18,396.2616,90000,263.2034,556.31,572.78,-3545.840576171875,18
19,396.2992,95000,242.8163,720.52,718.08,-3677.176025390625,19
20,388.2438,100000,239.6133,603.6,674.76,-3739.217041015625,20
21,373.5352,105000,268.2752,737.67,880.91,-3864.58154296875,21
22,378.1748,110000,241.1253,646.52,828.09,-4297.25634765625,22
23,374.4146,115000,253.7374,720.16,848.08,-4508.7939453125,23
24,373.9655,120000,224.6369,966.51,1025.29,-4505.35400390625,24
25,387.8706,125000,254.2426,769.16,796.68,-4134.275390625,25
26,384.4831,130000,241.8187,525.04,914.85,-4668.73583984375,26
27,381.6685,135000,277.0132,629.91,850.03,-5461.60302734375,27
28,372.2693,140000,236.104,568.51,1106.64,-5364.6201171875,28
29,371.5176,145000,236.4501,767.65,1171.51,-5201.56787109375,29
30,352.2516,150000,234.0723,440.28,992.64,-5754.99267578125,30
31,362.092,155000,268.7761,934.22,1102.45,-5566.130859375,31
32,343.4422,160000,227.4983,841.31,1211.08,-6045.81396484375,32
33,357.0732,165000,250.8276,1174.43,2099.84,-6582.9453125,33
34,325.1865,170000,125.0892,2883.64,2619.42,-3617.761962890625,34
35,331.4162,175000,182.873,1585.34,4177.08,-4460.01416015625,35
36,343.5632,180000,185.7921,1397.06,3324.58,-5248.86328125,36
37,317.1196,185000,139.7395,4008.29,3743.92,-3728.32373046875,37
38,347.5854,190000,196.2833,1905.29,2484.19,-6080.6611328125,38
39,324.4773,195000,184.0151,1597.87,3247.06,-5206.55322265625,39
40,322.3591,200000,162.4727,1714.99,4438.75,-5201.0888671875,40
41,326.3768,205000,174.0461,2685.17,3114.03,-5485.44873046875,41
42,322.5121,210000,136.1237,3580.46,2827.33,-4630.76953125,42
43,312.0445,215000,113.8641,5155.25,4504.34,-3347.749755859375,43
44,314.8942,220000,146.5396,2528.06,2863.7,-5549.87451171875,44
45,346.8699,225000,246.5525,1107.95,1404.34,-8646.744140625,45
46,313.1663,230000,148.0171,4118.98,2517.59,-5639.45166015625,46
47,319.5527,235000,130.3346,3307.17,3259.55,-5055.61083984375,47
48,310.0658,240000,125.6043,3428.34,2366.72,-4431.4853515625,48
49,313.9147,245000,121.004,3389.91,3785.33,-5180.0966796875,49
50,326.142,250000,184.7226,2392.09,3025.64,-7232.56689453125,50
51,316.9803,255000,158.4687,2467.16,3822.33,-6531.2939453125,51
52,320.8089,260000,169.3506,2477.75,3214.92,-6375.37744140625,52
53,321.4059,265000,153.2057,2934.16,3427.43,-6612.40771484375,53
54,334.2402,270000,181.1508,4643.94,4113.6,-7862.19580078125,54
55,313.8793,275000,133.1849,4297.92,4658.0,-5678.423828125,55
56,348.3414,280000,177.6315,1962.97,3458.84,-8125.54150390625,56
57,325.3624,285000,148.506,2809.46,3650.05,-6689.140625,57
58,323.961,290000,118.7104,2461.92,4471.91,-4908.43603515625,58
59,325.3867,295000,147.3711,3101.98,4588.04,-6458.77001953125,59
60,333.7008,300000,148.7883,2739.02,4400.47,-7139.69482421875,60
61,326.4103,305000,144.5876,3707.5,4069.07,-7030.77587890625,61
62,317.3627,310000,137.4043,1458.07,4764.52,-6615.146484375,62
63,332.4649,315000,199.0796,2577.24,3483.32,-8098.2333984375,63
64,325.8555,320000,167.914,3418.49,3483.64,-7578.63916015625,64
65,310.3935,325000,117.839,1502.71,4603.19,-5770.27587890625,65
66,318.5154,330000,140.5122,1697.67,3393.28,-7118.24755859375,66
67,329.3769,335000,172.3552,2159.99,3351.05,-8070.1162109375,67
68,315.3199,340000,157.2284,3254.69,3615.43,-7414.8544921875,68
69,321.2583,345000,130.2838,3769.58,4593.31,-7231.5,69
70,319.1355,350000,121.6739,1981.83,4119.91,-6832.08984375,70
71,325.3461,355000,157.7714,4650.14,4110.44,-7980.9248046875,71
72,325.7984,360000,136.4716,2537.42,5120.28,-7996.814453125,72
73,324.712,365000,122.05,4579.71,5072.19,-6741.90283203125,73
74,322.5314,370000,127.6043,3389.15,4659.44,-7532.2373046875,74
75,327.8661,375000,137.3436,4495.99,3194.81,-8107.32470703125,75
76,323.0104,380000,148.2774,3737.25,4165.78,-7179.47265625,76
77,326.1743,385000,173.8338,1447.17,2975.59,-8428.666015625,77
78,323.8661,390000,138.8535,2178.46,3354.18,-8509.9697265625,78
79,327.5196,395000,149.5686,3771.89,4398.69,-9198.9228515625,79
80,324.8865,400000,167.0434,4235.48,4307.79,-8718.3095703125,80
81,328.4136,405000,142.6116,1679.8,3245.65,-9288.337890625,81
82,349.779,410000,177.1394,4426.58,2815.75,-10857.37890625,82
83,316.8005,415000,127.103,4085.17,4698.22,-8634.7578125,83
84,321.2945,420000,124.0251,4687.84,4512.69,-8580.4365234375,84
85,312.5813,425000,113.8776,4269.1,4938.35,-8538.923828125,85
86,315.7362,430000,131.6853,4132.75,4799.59,-8463.943359375,86
87,323.5381,435000,138.0232,3336.24,3564.31,-9753.755859375,87
88,319.4227,440000,142.6503,4373.87,4367.85,-9653.7705078125,88
89,325.6719,445000,135.5385,4304.77,3832.72,-9795.578125,89
90,313.6036,450000,136.3147,1524.68,4615.89,-9180.994140625,90
91,315.2224,455000,129.3322,3888.24,4699.72,-9805.4462890625,91
92,316.2968,460000,119.7283,3516.84,4369.4,-9512.6279296875,92
93,314.5469,465000,123.4124,4922.89,4571.74,-9772.630859375,93
94,322.2565,470000,138.7286,2505.32,4436.22,-10474.7431640625,94
95,319.2835,475000,149.852,5316.73,4607.13,-9888.1591796875,95
96,312.188,480000,106.9448,5276.7,5039.96,-9566.17578125,96
97,329.0926,485000,146.5811,3425.8,4907.58,-10798.0634765625,97
98,322.1342,490000,128.2848,5138.22,4135.85,-10241.0908203125,98
99,320.0164,495000,117.7107,4720.28,4784.36,-10261.240234375,99
100,317.5935,500000,119.892,3433.68,4515.66,-10331.8251953125,100
101,312.4334,505000,110.8482,3674.51,4650.17,-10217.16015625,101
102,316.6566,510000,117.2958,3574.78,4848.85,-10701.1552734375,102
103,310.2771,515000,109.1302,4725.11,4772.1,-10207.6875,103
104,318.0012,520000,121.787,5064.14,4878.97,-10687.5078125,104
105,317.9269,525000,120.4143,5109.17,4659.14,-10641.84375,105
106,313.8781,530000,105.2645,5136.37,5069.81,-10867.3017578125,106
107,314.5842,535000,114.8772,3617.59,4582.3,-10721.0634765625,107
108,316.8966,540000,120.9778,4868.21,5068.6,-11292.4189453125,108
109,310.2037,545000,110.2416,5230.53,4560.57,-11298.7265625,109
110,319.7856,550000,119.6152,5056.85,4855.25,-11489.8603515625,110
111,315.7515,555000,117.304,5243.44,4786.76,-10893.1982421875,111
112,319.603,560000,128.7744,4395.1,4376.57,-12117.921875,112
113,318.0338,565000,126.0087,5204.34,4370.91,-11811.6767578125,113
114,327.4807,570000,165.6733,5136.19,4701.98,-12521.5869140625,114
115,318.8888,575000,127.8759,5146.89,4156.27,-12024.6376953125,115
116,317.6995,580000,173.8385,4949.87,4221.9,-11679.4052734375,116
117,320.254,585000,121.3361,4836.39,5000.54,-11091.7265625,117
118,310.117,590000,115.6281,5026.68,4891.45,-11953.1142578125,118
119,316.9323,595000,116.4565,5186.95,4699.63,-11870.3955078125,119
120,313.4803,600000,121.7538,5274.13,5039.08,-12241.6650390625,120
121,313.6685,605000,153.831,2753.48,2910.45,-12040.44140625,121
122,323.2901,610000,132.9365,5046.32,4575.9,-13105.466796875,122
123,323.8979,615000,136.7369,5009.84,4840.94,-13084.068359375,123
124,322.0782,620000,133.838,5071.89,4105.58,-12864.71484375,124
125,315.8849,625000,118.6959,5222.88,4935.01,-12417.7724609375,125
126,312.45,630000,115.1938,4950.5,4302.39,-12426.33203125,126
127,321.1708,635000,137.3426,5143.63,5069.37,-12807.72265625,127
128,314.6149,640000,118.4821,5217.43,4837.54,-13255.7119140625,128
129,316.8648,645000,121.0136,5220.72,4914.95,-13002.046875,129
130,323.402,650000,151.7032,5107.8,4597.03,-14126.1103515625,130
131,329.7117,655000,164.1231,4902.09,4053.81,-14521.400390625,131
132,322.1114,660000,132.4136,5128.38,4996.97,-13567.63671875,132
133,318.4151,665000,124.4601,5282.94,5156.91,-13661.8515625,133
