Itration,Real Sto Return,Running Forward KL,Running Reverse KL,Real Det Return
0,207.43,38.5517,21.5207,205.6
1,291.22,37.3334,22.4651,280.82
2,319.54,36.764,36.1357,302.74
3,325.52,35.7493,20.2749,319.04
4,353.16,35.2054,17.7146,360.16
5,349.03,35.2205,18.4119,351.11
6,366.55,34.6253,17.1468,365.72
7,352.93,35.1822,17.5503,355.65
8,371.96,35.4165,20.0112,385.45
9,397.42,35.433,20.5113,400.18
10,400.58,34.2121,21.3337,400.8
11,421.63,33.3912,25.9504,429.74
12,472.86,33.3668,28.0331,487.88
13,915.92,29.0187,13.7913,2215.57
14,536.99,33.0715,34.7104,527.15
15,654.51,32.6951,21.7989,723.22
16,677.7,31.7159,24.8316,719.97
17,661.27,31.7817,23.7082,656.87
18,708.58,32.3191,24.6769,700.5
19,778.21,30.7589,24.2713,770.32
20,883.36,31.3968,14.999,887.51
21,974.09,30.5443,14.4462,956.73
22,900.44,30.8344,14.6234,947.11
23,865.02,29.8734,14.4954,862.58
24,987.23,30.2797,14.6803,1024.16
25,996.22,30.225,14.3719,1170.68
26,896.65,31.0053,15.4355,889.11
27,941.79,29.4513,13.6659,633.21
28,886.86,30.1858,14.9685,901.99
29,806.49,30.3844,15.9922,829.96
30,844.4,29.639,15.6452,871.03
31,961.62,29.9635,14.1719,1083.54
32,912.98,29.5493,15.3097,940.69
33,977.99,29.2648,15.3303,1042.94
34,1680.41,29.1012,14.503,1490.69
35,881.52,30.5523,15.5334,911.84
36,1059.43,29.8792,14.9878,1045.61
37,2100.55,30.0213,14.2864,2932.08
38,2080.36,29.6537,15.5193,3023.57
39,1283.08,28.9516,14.4467,3024.21
40,1281.56,29.8024,13.9731,2317.54
41,2056.17,29.3486,16.4465,3032.67
42,971.08,30.3837,20.5578,997.26
43,2653.76,29.2449,13.1867,2932.48
44,1245.46,29.8387,15.0957,1070.64
45,2135.99,28.5664,13.2354,2933.06
46,2730.83,29.3558,14.1285,2953.36
47,1407.42,29.3374,13.5211,3010.84
48,1159.29,29.9766,14.0085,2625.16
49,2363.46,29.4289,16.7254,2993.55
50,2221.16,28.9518,13.9674,2999.32
51,2607.51,28.9662,14.4892,3036.24
52,1402.92,28.928,16.3085,3113.28
53,2307.53,28.5492,13.2304,3096.03
54,2722.31,29.0657,14.9422,3046.97
55,1585.25,27.8578,12.552,3136.36
56,1846.17,28.9604,13.927,3180.9
57,2979.63,27.6025,13.5944,3110.23
58,1541.87,28.9222,17.2513,3180.6
59,1660.51,28.7322,15.5988,3200.35
60,1720.59,28.7139,27.0502,3245.33
61,2316.37,27.6949,15.633,3132.59
62,2977.66,27.7021,14.9312,3114.14
63,3114.31,27.847,15.9096,3069.83
64,1515.09,27.8834,15.1233,3230.04
65,2799.49,27.2046,14.3648,3131.38
66,3098.95,27.719,16.1671,3149.32
67,2671.77,26.488,15.8885,3134.72
68,2966.08,27.3255,13.8509,3203.36
69,2420.46,27.6596,16.8428,3237.98
70,3214.02,27.3324,15.2675,3178.76
71,2942.13,27.153,13.1572,3163.21
72,2310.72,27.2748,13.3857,3264.33
73,3143.26,26.812,14.6559,3216.92
74,3104.23,27.6206,13.7559,3197.64
75,2776.09,26.8882,13.331,3239.81
76,1850.12,26.8618,14.7227,2083.94
77,3011.16,26.5624,14.1504,3251.62
78,3142.04,27.2333,14.6883,3256.47
79,2943.76,26.9354,14.5646,3318.28
80,2778.12,27.0994,13.815,3236.75
81,2886.81,26.5414,14.5323,3290.99
82,1699.96,26.922,14.4534,3203.13
83,3222.79,27.8642,15.5723,3219.64
84,3150.0,27.4512,15.3098,3324.27
85,3043.42,26.8989,14.566,3292.68
86,3139.63,26.9509,14.261,3258.69
87,2851.76,27.0757,14.3107,3278.21
88,3125.49,26.4375,14.338,3238.01
89,3241.04,26.4284,14.4185,3274.12
90,3185.41,26.9985,14.6645,3305.73
91,3152.81,26.8675,15.0137,3277.52
92,2795.05,27.1879,14.5603,3360.68
93,3179.86,27.3372,15.5919,3304.03
94,3303.45,26.0153,14.1957,3361.09
95,3055.19,26.8728,13.9583,3336.66
96,3171.99,26.3288,14.4965,3308.92
97,3228.11,26.445,14.2313,3349.2
98,3210.35,26.6139,15.0983,3350.36
99,3225.46,26.2265,14.1925,3331.89
100,3197.97,26.0983,14.487,3382.79
101,3267.87,26.3702,14.6602,3280.17
102,3211.12,25.8528,13.9995,3341.96
103,2990.03,27.0449,15.6378,3340.95
104,3254.2,26.6189,15.6022,3370.91
105,3239.87,26.7612,15.2854,3353.26
106,3299.53,25.1265,13.5971,3349.78
107,2253.02,26.3911,17.8984,3397.85
108,3388.61,24.4898,13.7587,3399.2
109,3227.02,24.9398,12.6362,3263.55
110,3165.95,25.3131,14.0063,3376.87
111,3140.87,24.6629,12.8619,3343.5
112,2952.0,25.5937,13.6272,3330.87
113,3201.74,26.1953,14.1108,3315.81
114,3185.53,25.7708,13.729,3315.1
115,3225.59,25.7928,13.9917,3328.64
116,3230.55,24.2462,13.3509,3351.94
117,3191.67,25.7284,13.6415,3297.02
118,3217.83,25.7122,14.1653,3343.65
119,3194.48,25.5599,13.6757,3325.85
120,3154.0,25.4581,14.2587,3370.58
121,3335.24,25.4965,14.1593,3343.82
122,3357.55,25.7253,14.2845,3369.66
123,3188.08,25.4765,13.6793,3305.44
124,3202.42,25.3629,13.6746,3314.03
125,2549.28,25.9019,14.2615,3353.92
126,3220.63,24.8962,13.2323,3358.25
127,3173.56,25.0126,13.0583,3387.17
128,3202.38,25.3576,14.3349,3326.89
129,3289.66,25.3765,13.4593,3390.47
130,3370.57,24.909,13.6625,3398.99
131,3142.82,26.0883,13.7463,3258.66
