Reward Loss,Real Sto Return,Itration,Running Env Steps,Running Reverse KL,Running Update Time,Real Det Return,Running Forward KL
476.38385009765625,200.33,0,0,13.7731,0,201.78,30.9984
399.7926330566406,165.16,1,5000,15.0324,1,221.82,32.7158
307.54766845703125,243.84,2,10000,21.1447,2,253.29,31.6645
526.0896606445312,281.85,3,15000,51.9384,3,288.44,31.5215
369.243408203125,287.74,4,20000,76.2773,4,290.49,31.4338
61.897926330566406,331.8,5,25000,29.5802,5,345.99,31.3901
229.4976348876953,309.31,6,30000,67.1901,6,319.68,31.5863
164.26063537597656,925.89,7,35000,35.9696,7,980.27,32.1781
233.49549865722656,441.36,8,40000,58.516,8,458.48,28.1492
297.7735900878906,384.33,9,45000,59.2499,9,392.56,29.5581
133.19204711914062,640.67,10,50000,39.3938,10,839.73,23.6364
59.53218078613281,474.96,11,55000,66.3389,11,468.24,27.8819
127.69194793701172,510.54,12,60000,58.9507,12,523.76,27.5146
5.8959455490112305,464.57,13,65000,58.9153,13,486.71,27.4829
-281.8516540527344,495.78,14,70000,78.3449,14,359.22,25.6114
-106.49203491210938,8.56,15,75000,85.2708,15,8.31,27.0165
-198.16845703125,676.03,16,80000,78.9901,16,780.32,25.1912
-469.64825439453125,62.43,17,85000,56.8099,17,68.9,38.3491
-473.52264404296875,761.97,18,90000,26.7149,18,1043.39,37.5956
-529.2537841796875,980.22,19,95000,37.901,19,984.54,36.4799
-574.3722534179688,977.41,20,100000,33.1737,20,977.75,37.7035
-507.6739501953125,954.86,21,105000,22.4025,21,1028.67,32.1698
-549.308349609375,711.41,22,110000,33.3559,22,691.1,34.2791
-640.7933959960938,444.03,23,115000,52.4878,23,542.5,31.7455
-774.9315795898438,934.24,24,120000,41.8112,24,981.22,39.3869
-656.4994506835938,224.82,25,125000,39.6259,25,224.04,32.7595
-691.0641479492188,935.95,26,130000,24.1548,26,407.73,35.0228
-463.4555969238281,93.78,27,135000,96.4131,27,94.23,28.4768
-836.0492553710938,283.04,28,140000,54.2479,28,281.14,31.2916
-1010.699462890625,1007.38,29,145000,35.8043,29,1008.21,36.5126
-1081.5164794921875,233.34,30,150000,44.0456,30,227.42,28.971
-1121.8363037109375,998.71,31,155000,49.2191,31,997.92,37.2764
-645.7448120117188,914.01,32,160000,26.6247,32,908.77,34.9832
-1101.5400390625,147.82,33,165000,63.3824,33,372.27,34.7312
-1149.8944091796875,189.7,34,170000,45.2481,34,188.59,31.4076
-857.8475341796875,579.96,35,175000,66.1389,35,678.34,35.3257
-878.7183227539062,756.05,36,180000,24.5488,36,753.46,34.4872
-1378.8804931640625,1043.13,37,185000,37.401,37,1044.43,34.2569
-1378.576171875,1011.33,38,190000,34.9694,38,1037.87,33.5261
-1269.943603515625,79.98,39,195000,66.8021,39,80.07,31.3712
-1243.7470703125,232.06,40,200000,74.7927,40,225.73,31.9447
-1267.8212890625,687.3,41,205000,31.6761,41,704.67,29.912
-1212.5576171875,36.72,42,210000,30.7826,42,36.31,29.2062
-1328.864501953125,224.63,43,215000,152.5071,43,223.68,33.9999
-1399.96044921875,247.46,44,220000,87.8158,44,245.6,32.3161
-1390.3482666015625,151.61,45,225000,51.3127,45,156.15,29.182
-1741.5765380859375,1003.26,46,230000,32.9966,46,1003.31,34.3185
-1659.3201904296875,86.13,47,235000,60.9753,47,86.9,31.6958
-1621.18505859375,200.59,48,240000,39.9685,48,199.81,32.1683
-1094.1805419921875,454.26,49,245000,47.2715,49,437.26,31.5854
-1961.330078125,215.29,50,250000,41.7201,50,226.59,33.5219
-1835.0120849609375,417.89,51,255000,34.5935,51,417.17,31.9741
