Real Det Return,Itration,Running Forward KL,Running Reverse KL,Real Sto Return
357.13,0,48.592,12.9972,432.55
345.66,1,49.1042,16.8161,385.0
465.37,2,49.2713,16.0799,360.8
342.55,3,49.494,17.5748,340.27
438.09,4,48.8758,14.0911,415.4
787.89,5,48.2429,12.7297,553.4
572.34,6,48.7205,14.5626,564.56
473.72,7,48.7904,19.4253,487.8
1679.29,8,46.1586,15.4032,1615.22
1159.58,9,46.5986,20.2387,1223.97
892.13,10,47.3198,29.6076,817.21
768.8,11,47.3525,14.0629,836.09
2437.31,12,46.7734,15.1051,2039.1
1845.84,13,47.1463,17.6226,1243.24
2736.07,14,47.0043,15.5471,1712.61
