Running Forward KL,Real Sto Return,Running Reverse KL,Itration,Real Det Return
158.4194,-217.89,11.2956,0,-14.46
158.425,-110.69,11.8116,1,-63.37
158.4612,40.79,12.1205,2,744.06
158.1442,251.47,12.917,3,819.02
158.2922,434.83,13.8849,4,965.55
158.1603,553.84,14.258,5,978.42
157.8287,609.81,14.1422,6,947.52
158.0404,730.59,14.7658,7,1132.42
157.982,884.81,15.2285,8,1254.2
158.1845,927.44,15.3567,9,1351.16
158.168,1031.16,16.181,10,1425.03
158.0907,1134.17,16.5011,11,1508.77
158.2111,1204.57,16.8061,12,1616.49
158.2336,1200.86,16.9047,13,1557.7
158.2227,1216.41,16.6286,14,1639.12
158.0073,1258.69,16.4031,15,1637.49
158.0567,1303.63,16.7363,16,1706.96
158.0102,1309.61,16.8684,17,1725.17
158.1512,1312.45,16.8019,18,1769.1
157.8174,1400.7,16.9282,19,1846.89
157.9378,1431.91,16.9625,20,1808.44
157.7185,1436.9,16.8335,21,1857.05
157.8018,1449.67,16.6382,22,1848.79
157.7109,1472.74,16.5252,23,1842.67
157.8805,1483.04,17.0145,24,1852.86
157.6848,1508.11,16.129,25,1886.82
157.7933,1528.18,17.0704,26,1906.31
157.7255,1517.52,16.9768,27,1905.29
157.8098,1555.56,16.9406,28,1935.67
157.8283,1538.54,16.3607,29,1880.24
157.5513,1548.96,16.7245,30,1927.4
157.9756,1563.87,16.8573,31,1950.3
157.713,1553.79,16.4813,32,1895.35
157.6962,1574.88,16.6637,33,1933.63
157.5803,1583.98,16.6578,34,1963.11
157.6874,1595.05,16.4203,35,1972.3
157.6473,1614.4,16.4359,36,1956.2
157.5565,1616.51,16.6118,37,2004.99
157.5644,1604.81,16.5662,38,1974.33
157.4405,1622.0,16.2295,39,1994.92
157.4014,1651.92,16.3014,40,2066.63
157.5114,1637.15,16.3882,41,2018.98
157.4777,1637.5,16.4011,42,1959.63
157.3975,1592.69,16.301,43,2027.15
