Real Det Return,Running Reverse KL,Itration,Running Forward KL,Real Sto Return
395.72,12.5435,0,48.947,350.34
347.81,13.1859,1,49.7619,342.9
379.73,16.5818,2,49.2724,334.8
417.08,13.9047,3,49.1598,405.78
443.03,16.8736,4,48.8782,451.11
585.69,15.1552,5,48.6034,500.57
643.86,21.1236,6,48.8313,497.54
460.5,15.7022,7,48.5111,477.15
636.8,15.531,8,48.2124,599.73
643.03,16.0897,9,47.7863,646.02
647.59,17.0697,10,49.0278,600.82
651.01,14.5193,11,48.7432,643.31
680.75,17.2257,12,47.7354,671.73
654.02,14.4772,13,47.7199,657.15
662.61,15.6146,14,47.4411,654.61
