Running Update Time,Reward Loss,Running Reverse KL,Running Env Steps,Running Forward KL,Real Det Return,Real Sto Return,Itration
0,13.768016815185547,25.9741,0,74.9009,450.5,-84.22,0
1,-0.9866505861282349,26.6101,5000,73.0156,248.95,-45.85,1
2,-6.200209140777588,26.4816,10000,73.0085,285.16,-70.28,2
3,-22.152862548828125,27.3553,15000,71.9616,404.45,-25.48,3
4,-31.38528060913086,27.7994,20000,72.5996,587.38,0.86,4
5,-46.97407150268555,27.0054,25000,67.3318,445.62,27.94,5
6,-57.54816436767578,27.9096,30000,71.2618,676.53,36.79,6
7,-62.60861587524414,27.4345,35000,68.7749,632.88,100.31,7
8,-72.7909164428711,28.1119,40000,68.6874,719.47,82.1,8
9,-79.49169921875,27.37,45000,66.0321,878.76,124.0,9
10,-96.09581756591797,28.2453,50000,69.9774,544.04,116.28,10
11,-108.68121337890625,28.998,55000,68.1815,655.83,106.78,11
12,-121.70632934570312,29.2208,60000,71.938,651.19,77.2,12
13,-127.36788177490234,29.4289,65000,69.8082,625.62,78.18,13
14,-144.916259765625,29.8565,70000,71.154,167.78,31.99,14
15,-157.1195831298828,30.398,75000,75.1195,266.77,11.39,15
16,-171.43911743164062,32.9065,80000,75.698,84.48,-89.89,16
17,-190.74240112304688,43.1649,85000,78.9663,-327.87,-365.63,17
18,-230.1795196533203,29.7393,90000,75.0356,-337.2,-200.37,18
19,-227.20924377441406,25.2276,95000,72.7999,-164.27,-215.36,19
20,-226.1908721923828,25.3444,100000,69.9085,64.08,-150.48,20
21,-235.69583129882812,28.7745,105000,72.6593,174.01,-71.5,21
22,-250.53453063964844,27.4626,110000,69.0769,-160.82,-383.22,22
23,-262.8585205078125,27.1366,115000,70.4722,207.65,-109.36,23
24,-281.7842712402344,27.8325,120000,71.6443,116.85,-83.49,24
25,-280.13470458984375,28.4942,125000,73.6817,-23.23,-172.59,25
