Reward Loss,Running Reverse KL,Itration,Real Det Return,Real Sto Return,Running Env Steps,Running Update Time,Running Forward KL
264.32269287109375,19.3125,0,204.73,203.41,0,0,33.4745
135.84022521972656,20.9313,1,314.31,306.55,5000,1,32.8992
188.5813446044922,18.5211,2,261.41,262.65,10000,2,30.9102
-32.64455795288086,27.1377,3,279.71,279.6,15000,3,30.767
-19.87099266052246,24.9034,4,185.42,289.98,20000,4,30.6313
275.8690490722656,20.4308,5,436.47,430.04,25000,5,30.453
94.69922637939453,17.0356,6,425.35,419.58,30000,6,30.7654
72.50816345214844,19.7083,7,531.07,511.26,35000,7,27.9669
-116.94046020507812,16.4392,8,337.65,344.7,40000,8,29.4793
-61.292755126953125,25.1442,9,309.0,381.02,45000,9,31.2314
-120.86625671386719,30.3386,10,217.72,233.09,50000,10,29.5609
-502.18048095703125,35.8685,11,1001.54,1002.27,55000,11,38.2294
-280.80059814453125,34.663,12,1053.49,1053.14,60000,12,36.027
-528.59619140625,34.8202,13,998.73,992.69,65000,13,37.123
-345.86077880859375,175.2116,14,44.58,49.13,70000,14,33.7149
-371.245361328125,31.5214,15,1030.99,1031.22,75000,15,34.4498
-581.09130859375,30.7611,16,1031.17,1030.05,80000,16,34.8453
-636.0151977539062,33.5688,17,1044.15,1043.99,85000,17,34.8881
-469.3833312988281,30.5898,18,1029.29,1032.83,90000,18,34.417
-599.4996337890625,21.2747,19,80.25,139.3,95000,19,30.1313
-763.5342407226562,35.7061,20,1026.91,1026.9,100000,20,34.6275
-419.0165100097656,14.5074,21,136.85,158.96,105000,21,27.6074
-878.2794189453125,48.3534,22,1030.78,1031.31,110000,22,34.0565
-808.650634765625,31.6556,23,1035.87,1036.12,115000,23,34.333
-785.8812255859375,20.0818,24,1086.05,1087.91,120000,24,33.7079
-881.6817016601562,52.4287,25,739.32,643.75,125000,25,33.9814
-962.238037109375,35.3542,26,1021.07,1021.04,130000,26,33.9948
-997.342529296875,25.162,27,984.0,983.96,135000,27,33.1908
-1130.0902099609375,47.5581,28,1014.84,1015.65,140000,28,33.6383
-1088.659912109375,21.845,29,1027.46,1027.12,145000,29,33.3397
-1200.1573486328125,28.4041,30,1033.42,1033.98,150000,30,33.6804
-1223.93408203125,30.6449,31,477.89,427.13,155000,31,33.6616
-1186.941162109375,26.2815,32,1037.69,1036.69,160000,32,33.8216
-1339.111083984375,52.5301,33,1030.74,1031.06,165000,33,34.6051
-846.87646484375,52.6637,34,211.99,183.39,170000,34,27.8153
-1418.996337890625,47.0845,35,1024.81,1024.81,175000,35,34.4067
-1448.9482421875,48.4716,36,1033.51,1033.64,180000,36,34.3878
-1420.8717041015625,29.8951,37,544.38,658.22,185000,37,33.1515
-1568.917724609375,38.6753,38,1038.72,1036.13,190000,38,33.4135
-1595.505126953125,39.8527,39,1044.76,1043.8,195000,39,33.4552
-1400.099365234375,20.9226,40,768.26,646.48,200000,40,33.696
-1357.0389404296875,22.4857,41,264.58,319.98,205000,41,32.78
-1754.8919677734375,39.7831,42,1040.94,1040.96,210000,42,34.5702
-1541.6324462890625,18.6433,43,1042.37,1043.33,215000,43,30.3765
-1232.2862548828125,19.9759,44,621.25,653.62,220000,44,28.8945
-806.5402221679688,15.6971,45,244.33,285.76,225000,45,28.1282
-1286.5184326171875,17.8949,46,106.68,113.53,230000,46,30.0866
-1266.197998046875,18.9818,47,530.45,454.97,235000,47,32.1046
-1689.877197265625,20.59,48,900.67,1010.91,240000,48,33.2554
-1602.67919921875,20.3206,49,938.15,968.22,245000,49,32.965
-1498.221923828125,27.7078,50,1084.37,1086.79,250000,50,34.0456
-1737.9442138671875,21.6139,51,1042.32,1038.59,255000,51,33.8046
-2243.170166015625,71.7983,52,1021.29,1020.94,260000,52,34.5239
-1732.767578125,25.2651,53,465.57,178.33,265000,53,33.8221
-1809.2342529296875,20.4846,54,891.81,938.25,270000,54,33.5225
-2032.169189453125,83.8426,55,563.26,408.33,275000,55,33.0581
-2339.925537109375,65.2762,56,1012.64,1012.19,280000,56,34.2657
-2177.529541015625,22.905,57,1036.84,1036.15,285000,57,33.4071
-2039.7374267578125,21.4159,58,1074.49,1066.81,290000,58,33.0619
-1976.786865234375,18.2436,59,1020.39,1062.63,295000,59,32.936
-2251.133544921875,41.3368,60,1028.88,1056.55,300000,60,33.1309
-1978.2796630859375,136.6981,61,555.98,694.94,305000,61,32.3081
-1387.7296142578125,236.6672,62,76.17,75.56,310000,62,34.0864
-2823.103271484375,80.0876,63,1021.12,1021.04,315000,63,36.3504
-2833.16259765625,59.2553,64,1012.89,1012.88,320000,64,37.7735
-2911.63134765625,103.5597,65,1015.64,1015.8,325000,65,35.5076
-2901.35205078125,36.1958,66,998.23,998.04,330000,66,37.031
-2865.605712890625,26.1794,67,1004.39,1004.45,335000,67,35.6104
-2776.376708984375,23.6406,68,1002.45,1002.82,340000,68,33.8147
-2831.39306640625,60.5957,69,849.45,921.07,345000,69,33.06
-2929.21142578125,37.08,70,1001.56,1001.43,350000,70,33.5955
-2996.29931640625,54.3729,71,985.85,1020.31,355000,71,33.3592
-3004.673828125,163.957,72,289.47,376.18,360000,72,32.622
-3000.249267578125,112.1077,73,269.21,267.31,365000,73,31.967
-3055.262939453125,29.794,74,992.92,994.14,370000,74,33.5559
-3074.5341796875,43.3471,75,921.48,953.81,375000,75,33.2103
-3199.311767578125,188.8877,76,131.25,160.81,380000,76,33.8764
-2417.934814453125,28.618,77,149.54,122.88,385000,77,33.3067
-3093.13037109375,33.3707,78,208.37,258.31,390000,78,33.2894
-2493.259521484375,85.6254,79,101.85,100.54,395000,79,33.764
-1978.132568359375,182.0113,80,221.07,267.55,400000,80,33.1446
-3127.166259765625,178.3037,81,62.89,62.95,405000,81,33.4529
-2065.111328125,21.5483,82,539.0,548.57,410000,82,33.1936
-3227.365234375,115.7463,83,419.93,426.15,415000,83,32.1102
-3484.1220703125,167.1622,84,263.9,265.14,420000,84,33.0336
-3733.4873046875,27.6966,85,1032.21,1032.61,425000,85,35.5246
-2955.347900390625,67.6226,86,950.28,1008.01,430000,86,33.4652
-2784.18798828125,23.8026,87,863.72,937.77,435000,87,32.8724
-4066.831787109375,92.1566,88,1053.08,1053.29,440000,88,34.8742
-2671.52197265625,27.7509,89,1215.3,1215.13,445000,89,33.8194
-2679.596435546875,107.4906,90,584.71,375.52,450000,90,32.9537
-2292.951171875,189.2437,91,87.1,87.23,455000,91,33.8706
-3672.362548828125,47.1158,92,578.64,355.91,460000,92,34.0979
-3448.671630859375,21.7061,93,903.58,881.32,465000,93,32.7111
-3455.837890625,25.7236,94,859.82,975.09,470000,94,33.0436
-4139.9287109375,42.4999,95,993.13,992.21,475000,95,36.15
-2856.31396484375,22.4436,96,1197.81,1181.08,480000,96,33.233
-2769.63720703125,22.7733,97,1247.26,1249.23,485000,97,33.0146
-3347.293212890625,68.5899,98,841.16,764.59,490000,98,32.8544
-3847.62451171875,176.4267,99,166.1,165.35,495000,99,33.8067
-3413.01953125,79.8225,100,763.15,745.91,500000,100,32.3574
-3953.4697265625,32.2796,101,481.27,484.99,505000,101,31.5646
-3746.251220703125,20.4214,102,1083.83,1083.61,510000,102,32.878
-4586.51513671875,43.6026,103,440.88,471.77,515000,103,35.4713
-3250.542724609375,41.6554,104,484.09,507.24,520000,104,31.6775
-3463.7041015625,50.7773,105,709.16,697.73,525000,105,31.3625
-4172.443359375,40.4611,106,1051.29,1049.45,530000,106,33.6128
-4070.11328125,24.9158,107,1112.3,1114.99,535000,107,33.661
-3537.638916015625,19.5621,108,1161.49,1166.14,540000,108,32.2709
-2865.146728515625,19.7507,109,1081.67,1126.9,545000,109,31.745
-4501.0498046875,68.9413,110,1059.49,1063.72,550000,110,33.2194
-4496.64501953125,76.7105,111,1079.2,1086.74,555000,111,32.5873
-4306.150390625,28.4197,112,1079.47,1092.92,560000,112,32.5953
-4410.54541015625,23.5772,113,1025.16,1024.3,565000,113,32.7475
-4099.4150390625,18.279,114,1132.68,1129.6,570000,114,32.6569
-4122.677734375,17.1849,115,1132.1,1132.46,575000,115,32.3618
-5357.76220703125,36.4035,116,1038.61,1040.53,580000,116,33.5413
-3781.5107421875,27.8488,117,1310.54,1182.73,585000,117,32.3299
-4654.69580078125,20.6442,118,1019.03,1018.06,590000,118,33.7549
-5371.15478515625,49.1974,119,1080.59,1077.32,595000,119,33.8187
-5669.4267578125,147.9864,120,1047.39,1048.0,600000,120,33.946
-3275.172119140625,22.1191,121,1280.1,1273.83,605000,121,32.5404
-4199.50537109375,19.1604,122,1097.49,1100.92,610000,122,32.4733
-4391.03955078125,22.8541,123,1085.89,1082.46,615000,123,33.3594
-4192.41748046875,19.7902,124,1063.76,1063.8,620000,124,33.0358
-3768.9521484375,22.1142,125,361.19,304.07,625000,125,33.3283
-3057.90966796875,22.1654,126,1159.29,1158.29,630000,126,32.8196
-3755.892578125,25.4782,127,1332.23,1332.98,635000,127,33.3665
-3586.2451171875,25.8243,128,1379.07,1379.31,640000,128,32.8216
-3319.58935546875,26.2557,129,1342.0,1415.21,645000,129,32.566
-6270.35302734375,76.3831,130,1033.19,1033.17,650000,130,33.9247
-5769.88232421875,37.7917,131,1061.0,1061.31,655000,131,35.2061
-4420.1171875,45.8346,132,195.11,188.49,660000,132,29.8398
-4136.15283203125,46.849,133,436.1,454.77,665000,133,31.2182
-4634.67041015625,44.4057,134,229.61,241.68,670000,134,30.5561
-6124.998046875,46.5324,135,1046.07,1045.1,675000,135,33.7829
-4301.015625,47.1412,136,1122.48,1051.32,680000,136,31.9505
-3990.409912109375,24.5601,137,922.96,975.46,685000,137,32.417
-4491.43017578125,121.2846,138,582.6,544.69,690000,138,31.2998
-4910.515625,40.79,139,449.46,480.53,695000,139,30.0311
-3865.730224609375,34.4017,140,337.36,344.36,700000,140,30.551
-2779.82373046875,20.8862,141,544.13,460.18,705000,141,30.6956
-3492.18212890625,18.6172,142,1310.02,1181.37,710000,142,27.9929
-3616.0400390625,19.5018,143,824.36,884.69,715000,143,27.319
-5094.61279296875,33.0141,144,230.62,229.8,720000,144,32.0976
-5657.24462890625,45.6448,145,300.18,303.59,725000,145,30.9779
-5479.6962890625,44.8162,146,432.56,438.82,730000,146,29.9963
-4396.203125,98.8458,147,587.49,623.18,735000,147,27.8007
-5273.9912109375,38.4351,148,593.62,566.13,740000,148,27.6475
-6016.78955078125,48.597,149,428.73,415.26,745000,149,27.0692
-6829.26953125,55.7068,150,303.49,322.7,750000,150,31.3037
-6245.5869140625,186.2747,151,276.65,282.47,755000,151,29.9623
-5589.0625,46.0617,152,300.94,307.95,760000,152,29.8289
