Real Det Return,Running Forward KL,Running Update Time,Running Env Steps,Running Reverse KL,Reward Loss,Itration,Real Sto Return
307.16,49.241,0,0,13.0908,1457.9630126953125,0,317.64
326.75,49.4985,1,5000,14.8125,1168.6783447265625,1,278.1
443.61,49.0198,2,10000,16.5164,1396.383056640625,2,458.94
368.75,49.408,3,15000,15.2857,1758.771484375,3,326.91
415.48,49.5929,4,20000,16.5732,1381.2139892578125,4,333.8
447.44,49.0915,5,25000,16.8499,1994.8026123046875,5,443.9
449.56,49.5794,6,30000,17.4267,2502.561767578125,6,372.37
443.37,49.2458,7,35000,14.6545,1919.839111328125,7,460.98
506.76,47.6771,8,40000,14.4388,1068.37646484375,8,495.53
602.02,48.1499,9,45000,20.5473,1025.7315673828125,9,393.16
682.12,47.8307,10,50000,20.1188,793.5529174804688,10,661.26
681.45,47.5413,11,55000,17.5775,737.9270629882812,11,658.36
610.27,48.0274,12,60000,19.2628,935.5930786132812,12,573.2
627.07,46.9796,13,65000,27.3055,579.4845581054688,13,622.92
1023.17,46.4676,14,70000,19.4505,418.79217529296875,14,1189.62
1765.42,45.4592,15,75000,25.5716,428.71728515625,15,1524.09
1116.88,45.6643,16,80000,20.6483,390.707275390625,16,1622.62
2044.82,45.7997,17,85000,18.2951,-87.42697143554688,17,1134.51
1656.69,45.3262,18,90000,23.0627,262.2874450683594,18,767.62
2190.22,44.5055,19,95000,14.2669,475.9736633300781,19,1255.38
1689.99,44.2181,20,100000,27.3146,418.7931823730469,20,1388.25
2124.42,43.9473,21,105000,19.6831,315.94525146484375,21,1522.29
1207.79,44.9888,22,110000,21.0568,0.021941406652331352,22,1226.2
1940.2,45.5667,23,115000,22.9972,-89.45208740234375,23,1756.15
1442.41,44.3173,24,120000,13.7074,312.648193359375,24,1696.15
1982.42,44.1112,25,125000,14.6346,34.275848388671875,25,2219.26
3191.87,43.3058,26,130000,13.4693,31.70361328125,26,2076.67
3589.96,43.3071,27,135000,14.6507,-44.57096862792969,27,3208.61
3165.42,43.9336,28,140000,12.478,-139.52178955078125,28,3040.67
3539.65,42.963,29,145000,13.637,-80.56187438964844,29,3444.92
3538.34,42.8471,30,150000,14.0888,-208.4661865234375,30,3351.85
3177.84,44.2308,31,155000,18.4942,-386.6636657714844,31,2545.89
3654.25,42.1782,32,160000,14.5546,-254.89601135253906,32,3351.33
3590.68,43.6756,33,165000,16.9041,-283.415771484375,33,3420.89
3518.24,42.2477,34,170000,15.6859,-346.0432434082031,34,3502.88
3387.84,43.4142,35,175000,14.751,-406.674072265625,35,3305.24
3133.04,40.5443,36,180000,11.8786,-185.83572387695312,36,3126.7
3358.84,41.3325,37,185000,12.4184,-333.59844970703125,37,2950.43
3796.68,41.8561,38,190000,14.2381,-343.0650634765625,38,3273.39
3706.53,40.6326,39,195000,13.9126,-450.6631774902344,39,3137.19
2116.45,40.9643,40,200000,14.5106,-452.8524169921875,40,2692.49
3658.25,42.3037,41,205000,15.4727,-359.33477783203125,41,3720.25
1900.51,39.7042,42,210000,11.9184,-379.7464294433594,42,2218.19
3695.56,40.138,43,215000,11.5154,-317.3298034667969,43,2834.36
3966.74,39.0445,44,220000,13.6502,-472.9916687011719,44,3914.08
3951.94,40.1541,45,225000,13.7547,-448.638916015625,45,2517.2
4159.77,39.8738,46,230000,12.8697,-428.88031005859375,46,3562.5
3064.03,40.871,47,235000,12.6522,-445.856689453125,47,3221.16
3606.49,41.0149,48,240000,13.1257,-541.2075805664062,48,3685.27
3781.12,41.1177,49,245000,14.0376,-590.577392578125,49,3790.43
2949.54,39.7761,50,250000,13.3246,-533.377685546875,50,3631.07
3540.15,40.103,51,255000,12.9107,-580.3483276367188,51,3491.64
2997.08,40.8574,52,260000,12.1208,-490.91131591796875,52,2520.5
3787.49,40.5545,53,265000,12.854,-673.9554443359375,53,3634.64
3982.7,39.5616,54,270000,12.2204,-539.6548461914062,54,3875.68
3940.91,39.1267,55,275000,12.0027,-620.3458862304688,55,3841.37
3348.48,40.102,56,280000,15.8605,-802.3356323242188,56,3790.1
3919.73,40.3029,57,285000,13.5792,-705.8029174804688,57,3865.15
3902.73,39.7173,58,290000,13.4069,-743.5099487304688,58,3926.69
3923.34,40.2249,59,295000,12.598,-796.0789184570312,59,3512.19
3981.83,39.1793,60,300000,13.6026,-798.2986450195312,60,3824.57
3956.17,40.4155,61,305000,16.002,-837.2505493164062,61,3970.31
3797.61,39.3965,62,310000,12.8735,-819.5322875976562,62,3968.96
4020.22,39.8396,63,315000,14.707,-850.34375,63,4078.33
4217.79,39.6091,64,320000,14.1742,-786.6436767578125,64,4136.97
4209.01,38.0738,65,325000,12.8248,-812.9661865234375,65,4117.53
3987.65,40.8889,66,330000,14.5403,-889.9573364257812,66,3942.43
3981.06,39.9367,67,335000,12.3293,-934.6627197265625,67,3582.03
4164.29,39.6204,68,340000,14.4293,-940.0653076171875,68,3921.42
4287.76,39.2249,69,345000,14.3193,-943.6554565429688,69,4197.53
4268.41,38.1917,70,350000,13.6683,-926.701171875,70,4227.21
4104.36,38.696,71,355000,13.5722,-915.1015625,71,4104.9
4130.17,38.5031,72,360000,12.7615,-1040.3201904296875,72,4085.0
3897.28,41.2015,73,365000,19.3449,-1150.722412109375,73,3307.18
4110.93,39.1256,74,370000,13.9433,-1007.810791015625,74,3685.76
4199.78,39.4224,75,375000,14.2391,-1029.9173583984375,75,4158.83
4488.97,37.359,76,380000,11.7644,-883.80419921875,76,4047.79
4014.41,40.184,77,385000,14.0864,-1204.6112060546875,77,3946.1
4305.32,37.5885,78,390000,13.5389,-1069.514892578125,78,4218.65
4131.95,39.1739,79,395000,13.9861,-1212.8662109375,79,4031.68
4445.11,37.0099,80,400000,14.0995,-1011.260009765625,80,4433.64
4214.47,38.6142,81,405000,12.836,-1133.762451171875,81,3973.08
4271.56,37.7208,82,410000,14.512,-1116.55810546875,82,4247.4
4156.96,38.765,83,415000,13.5401,-1312.3170166015625,83,3699.79
4224.28,38.0283,84,420000,14.104,-1198.6802978515625,84,4305.82
4447.63,37.7619,85,425000,14.6798,-1207.3851318359375,85,4356.14
3820.63,37.5064,86,430000,13.9887,-1145.11474609375,86,4169.21
4642.14,36.4228,87,435000,13.5022,-1132.750244140625,87,3419.35
1359.03,40.3956,88,440000,38.5298,-2613.26904296875,88,1365.15
123.93,42.1594,89,445000,23.3351,-2456.314697265625,89,737.79
1144.16,37.7634,90,450000,20.3379,-2001.803466796875,90,1797.25
4240.06,37.8648,91,455000,14.2785,-1365.7352294921875,91,3734.3
3833.93,38.6899,92,460000,13.6061,-1543.373291015625,92,3649.36
4447.13,36.6423,93,465000,13.7454,-1260.0760498046875,93,4455.18
4423.97,37.2205,94,470000,13.7504,-1341.05029296875,94,4362.18
4202.51,38.093,95,475000,13.4465,-1489.2696533203125,95,4212.6
4525.78,37.8604,96,480000,14.2256,-1407.570068359375,96,4343.06
4412.74,38.4106,97,485000,14.0643,-1395.2227783203125,97,4003.57
4568.33,36.9896,98,490000,15.0187,-1346.9683837890625,98,4443.61
4545.17,36.6056,99,495000,14.0237,-1351.607177734375,99,4362.98
4514.58,36.1381,100,500000,13.914,-1426.612060546875,100,4478.0
4549.78,36.7773,101,505000,13.5711,-1316.1632080078125,101,4477.69
4457.67,36.6216,102,510000,12.8279,-1413.6512451171875,102,4436.63
4668.43,35.368,103,515000,12.6855,-1352.8829345703125,103,4291.72
4575.67,36.1479,104,520000,14.9891,-1367.4114990234375,104,4599.27
4506.98,36.1034,105,525000,12.2026,-1562.7325439453125,105,4389.64
4499.9,37.141,106,530000,13.9676,-1614.442138671875,106,4472.28
4523.48,35.843,107,535000,12.4643,-1477.1160888671875,107,4031.95
4736.18,34.5658,108,540000,13.7365,-1362.08056640625,108,4373.15
4749.47,35.5332,109,545000,13.5803,-1417.7080078125,109,4441.81
3607.73,36.9805,110,550000,14.6278,-1576.0635986328125,110,4611.56
4669.01,35.0462,111,555000,12.5295,-1447.594482421875,111,4473.87
4468.4,35.8044,112,560000,12.0744,-1495.884521484375,112,4491.65
4592.53,34.6571,113,565000,11.8151,-1458.8966064453125,113,4398.09
4656.98,35.7089,114,570000,13.0559,-1587.3865966796875,114,4428.5
4609.9,34.7408,115,575000,13.8206,-1616.3133544921875,115,4536.83
4779.7,34.2043,116,580000,13.7732,-1464.111328125,116,4714.59
4873.85,34.8806,117,585000,13.9855,-1414.0889892578125,117,4698.83
4550.09,38.0085,118,590000,14.2613,-1836.8177490234375,118,4328.32
4624.52,36.4578,119,595000,12.7844,-1728.3157958984375,119,4542.95
4715.11,35.9653,120,600000,14.8286,-1719.3057861328125,120,4584.95
4618.01,34.7579,121,605000,12.5049,-1614.8973388671875,121,4579.61
4656.62,36.0522,122,610000,13.5858,-1602.3740234375,122,4620.7
4718.18,35.8618,123,615000,14.6267,-1593.570556640625,123,4556.09
4827.12,35.2121,124,620000,13.8191,-1724.4716796875,124,4647.62
4820.95,34.8628,125,625000,12.7183,-1661.607177734375,125,4589.62
4750.97,35.4658,126,630000,14.9431,-1722.925048828125,126,4639.68
4847.1,34.8963,127,635000,11.9035,-1669.77099609375,127,4568.05
4530.49,35.7715,128,640000,14.1341,-1724.7412109375,128,4606.92
4857.81,33.1461,129,645000,13.0058,-1474.4927978515625,129,4794.83
4705.52,34.5285,130,650000,12.8529,-1661.135986328125,130,4545.39
4790.28,35.0946,131,655000,12.7776,-1739.740234375,131,4657.93
4690.66,35.4907,132,660000,13.0286,-1749.439208984375,132,4591.44
4613.04,34.866,133,665000,11.1779,-1777.390869140625,133,4214.59
4925.95,33.7639,134,670000,11.8816,-1571.1539306640625,134,4792.74
4729.28,35.1139,135,675000,12.945,-1666.66162109375,135,4648.15
4618.24,34.899,136,680000,12.698,-1746.133056640625,136,4683.77
4787.57,34.6331,137,685000,12.7816,-1781.91259765625,137,4705.41
4757.18,34.1786,138,690000,13.2033,-1771.2974853515625,138,4561.97
4705.92,34.4293,139,695000,12.8243,-1711.6683349609375,139,4582.17
4730.49,34.0875,140,700000,12.8442,-1749.312255859375,140,4666.38
4752.36,34.9098,141,705000,13.0814,-1975.762451171875,141,4625.39
4575.34,35.6577,142,710000,12.8293,-2037.0770263671875,142,4560.7
4674.93,34.0335,143,715000,12.2633,-1821.682861328125,143,4670.1
4709.21,35.4413,144,720000,12.9134,-2035.407958984375,144,4493.79
4825.32,35.1235,145,725000,12.666,-2090.745361328125,145,4592.04
4604.91,35.0542,146,730000,13.3106,-1980.0594482421875,146,4550.78
4765.9,34.1614,147,735000,12.3757,-1904.287841796875,147,4571.04
5063.15,35.3669,148,740000,13.4567,-1954.298828125,148,4786.05
4858.36,33.9492,149,745000,12.8512,-1946.7958984375,149,4716.31
