Running Update Time,Itration,Reward Loss,Running Reverse KL,Real Sto Return,Running Env Steps,Running Forward KL,Real Det Return
0,0,471.1740417480469,16.0117,164.84,0,32.4106,200.86
1,1,353.3136291503906,16.8676,205.07,5000,30.797,317.93
2,2,260.72698974609375,19.0639,247.41,10000,31.7433,253.7
3,3,85.60620880126953,20.8294,332.1,15000,30.2702,343.77
4,4,51.30573654174805,18.9726,293.43,20000,29.6757,289.93
5,5,39.75170135498047,20.0978,333.81,25000,30.6618,325.45
6,6,101.6871337890625,18.7117,401.81,30000,29.7134,413.69
7,7,-114.16375732421875,24.4154,448.92,35000,30.6963,436.39
8,8,-145.41041564941406,19.3057,410.21,40000,30.0101,410.09
9,9,100.23530578613281,14.262,470.45,45000,27.6854,595.53
10,10,137.45228576660156,14.7577,713.05,50000,27.4595,535.64
11,11,161.38128662109375,16.5692,373.48,55000,30.2624,331.06
12,12,100.2416763305664,19.2403,325.53,60000,30.8627,309.94
13,13,26.90174102783203,15.434,524.25,65000,26.6084,687.98
14,14,13.280752182006836,14.5864,522.67,70000,27.5695,674.35
15,15,96.22101593017578,14.4341,781.22,75000,25.2295,845.84
16,16,-13.201119422912598,15.5781,858.71,80000,26.6906,853.67
17,17,-76.67103576660156,15.7885,920.88,85000,26.0119,811.15
18,18,-150.8491973876953,23.2489,900.64,90000,26.1621,892.6
19,19,-226.9728240966797,15.3449,884.57,95000,26.2863,871.64
20,20,-246.89617919921875,14.6107,859.58,100000,27.41,868.58
21,21,-390.7978210449219,19.2992,878.82,105000,28.0786,1136.58
22,22,-514.4575805664062,14.756,587.94,110000,29.5057,617.34
23,23,-247.169189453125,16.3998,832.89,115000,25.7321,721.36
24,24,-356.89056396484375,19.585,869.99,120000,26.2217,876.82
25,25,-482.8011779785156,12.4626,919.07,125000,25.7655,955.97
26,26,-580.412841796875,12.5304,838.71,130000,25.8524,840.48
27,27,-553.6473999023438,16.8726,898.54,135000,26.367,873.43
28,28,-589.7098388671875,14.0146,750.79,140000,26.5719,789.29
29,29,-555.2315063476562,17.9144,945.36,145000,25.5403,913.11
30,30,-601.47119140625,13.2127,919.33,150000,27.0381,911.92
31,31,-639.99365234375,14.6125,1058.87,155000,26.4641,1215.51
32,32,-445.5979309082031,13.1372,1751.9,160000,23.8937,3045.38
33,33,-728.0372314453125,14.7599,1081.8,165000,26.7516,1044.64
34,34,-589.9188842773438,12.408,999.0,170000,25.8112,1024.77
35,35,-729.9108276367188,14.4251,863.95,175000,27.7389,811.78
36,36,-644.2267456054688,12.252,1881.36,180000,23.7667,2921.02
37,37,-578.5180053710938,14.9793,1161.87,185000,25.8519,1365.71
38,38,-529.6535034179688,11.4375,2400.44,190000,23.1276,2536.68
39,39,-572.2034301757812,11.4047,1368.45,195000,23.9215,1885.91
40,40,-565.9408569335938,13.0942,449.81,200000,23.6675,278.38
41,41,-871.3728637695312,12.6757,871.61,205000,23.9735,668.68
42,42,-1063.115478515625,14.7825,983.46,210000,25.528,1071.89
43,43,-1159.7860107421875,16.5572,869.86,215000,26.0573,977.87
44,44,-668.6470336914062,11.9499,1774.68,220000,23.1202,1410.11
45,45,-696.8535766601562,12.6118,2417.83,225000,22.501,2642.48
46,46,-899.3208618164062,13.1982,1695.27,230000,22.9303,2582.88
47,47,-1087.798828125,13.8165,1214.07,235000,24.004,1376.02
48,48,-1026.2926025390625,18.8765,1748.71,240000,23.0649,2966.67
49,49,-1056.6787109375,22.7696,1787.84,245000,23.1976,2310.47
50,50,-1266.677001953125,17.6581,1050.1,250000,24.6308,1206.16
51,51,-1302.7381591796875,15.0651,1093.18,255000,26.5789,1083.14
52,52,-1384.424072265625,15.1168,1245.81,260000,25.2696,1153.39
53,53,-1042.8072509765625,14.8756,2335.7,265000,24.504,3037.98
54,54,-685.7899780273438,13.6196,2719.25,270000,24.5117,2848.11
55,55,-699.9949340820312,13.0186,2654.73,275000,22.3147,3001.24
56,56,-1156.80517578125,14.5734,1735.14,280000,25.039,3143.37
57,57,-415.8296203613281,14.1273,3117.66,285000,21.9459,3069.69
58,58,-635.5494995117188,13.8128,3017.52,290000,22.4713,3011.32
59,59,-595.1561889648438,12.8739,2987.12,295000,22.3411,3073.61
60,60,-679.0831909179688,15.8349,2643.0,300000,22.7613,3004.72
61,61,-1422.4342041015625,15.862,1423.59,305000,24.7496,3207.89
62,62,-432.9007263183594,14.9853,2973.59,310000,22.1976,3025.62
63,63,-1066.2767333984375,16.6085,2169.77,315000,25.2062,3200.52
64,64,-927.8438720703125,17.0753,2321.66,320000,24.7673,3236.96
65,65,-614.9842529296875,15.1269,2716.9,325000,22.8885,3204.23
66,66,-1388.9700927734375,18.2105,2284.52,330000,24.8183,3245.89
67,67,-1181.437744140625,18.3708,1947.87,335000,23.4736,3219.65
68,68,-619.602783203125,15.2542,3171.99,340000,23.112,3188.68
69,69,-683.4259643554688,13.7811,2769.5,345000,21.4571,3082.81
70,70,-778.7491455078125,16.6578,3219.05,350000,25.4586,3267.38
71,71,-658.8353881835938,16.1743,3109.17,355000,23.349,3245.72
72,72,-668.3235473632812,14.4012,3081.44,360000,22.7403,3196.02
73,73,-699.0545043945312,12.5129,2951.48,365000,21.7529,2866.07
74,74,-656.6580200195312,13.8171,3150.57,370000,22.7245,3186.21
75,75,-910.6674194335938,15.1209,3086.77,375000,24.0388,3230.44
76,76,-782.226806640625,15.6116,3181.45,380000,24.9587,3249.38
77,77,-1197.0240478515625,15.0458,2778.96,385000,24.2121,3234.52
78,78,-736.1766357421875,15.0973,3082.05,390000,23.9201,3206.82
79,79,-798.473876953125,16.2001,3162.73,395000,24.2689,3192.58
80,80,-820.4892578125,14.7287,3099.34,400000,22.241,3082.18
81,81,-844.5894165039062,14.8788,3092.28,405000,22.3817,3203.96
82,82,-752.85791015625,16.1266,3035.18,410000,24.08,3201.38
83,83,-1026.5849609375,14.5244,3064.94,415000,23.0903,3202.34
84,84,-1044.9305419921875,15.3908,3134.9,420000,23.4237,3172.55
85,85,-798.6464233398438,15.8194,3196.15,425000,24.3135,3186.1
86,86,-871.0421142578125,14.9014,3228.23,430000,22.9199,3225.39
87,87,-842.333984375,14.5058,3196.47,435000,23.3144,3182.11
88,88,-1104.69921875,16.4494,3237.09,440000,24.9039,3248.67
89,89,-799.13818359375,13.3423,3162.07,445000,21.56,3165.19
90,90,-895.2230834960938,14.9213,3066.82,450000,23.361,3228.42
91,91,-988.796142578125,14.7027,3197.69,455000,23.0249,3197.22
92,92,-992.9052734375,14.8928,3132.25,460000,24.5627,3221.08
93,93,-962.45849609375,15.2301,3177.7,465000,23.0041,3192.94
94,94,-902.132080078125,13.8462,3138.9,470000,23.0969,3221.16
95,95,-1269.9876708984375,15.9096,2985.77,475000,24.205,3248.07
96,96,-1119.413330078125,15.2067,3148.96,480000,23.6931,3155.05
97,97,-1099.7757568359375,16.0799,3121.0,485000,24.4712,3213.89
98,98,-1012.7700805664062,15.0585,3227.04,490000,23.8704,3240.82
99,99,-1272.06787109375,17.4511,3216.74,495000,24.3963,3216.27
100,100,-1140.9478759765625,16.6835,2540.87,500000,24.5501,3225.95
101,101,-1176.6407470703125,15.687,3222.86,505000,24.7577,3253.07
102,102,-1421.6607666015625,21.1173,2700.75,510000,23.546,3139.02
103,103,-1030.91357421875,14.5549,3218.55,515000,23.6393,3241.56
104,104,-1262.02685546875,15.2884,3102.55,520000,24.2691,3239.54
105,105,-1167.25390625,15.0745,3190.23,525000,24.4744,3240.52
106,106,-1171.6986083984375,14.3017,3223.22,530000,23.5591,3240.81
107,107,-1200.057861328125,14.2305,3130.45,535000,23.4319,3257.18
108,108,-1308.1319580078125,15.6743,3206.2,540000,24.363,3255.47
109,109,-1078.27587890625,14.71,3095.73,545000,22.4792,3229.31
110,110,-969.5922241210938,15.7369,3175.98,550000,23.4346,3235.52
111,111,-1226.734375,15.6049,3209.32,555000,22.9093,3219.29
112,112,-1203.8280029296875,14.0421,3204.4,560000,22.8254,3229.39
113,113,-1203.845947265625,14.5413,3213.39,565000,22.9087,3235.75
114,114,-1409.6451416015625,15.5798,3171.88,570000,25.2603,3176.79
115,115,-1359.3282470703125,13.9869,3248.39,575000,24.4039,3275.33
116,116,-1189.4049072265625,15.8172,3091.4,580000,24.3361,3242.2
117,117,-1359.71337890625,14.25,3223.08,585000,23.3555,3215.31
118,118,-1326.21484375,13.9111,3117.81,590000,23.4515,3218.28
119,119,-1423.15087890625,14.6781,3202.28,595000,23.9013,3226.13
120,120,-1234.021484375,14.9378,3232.66,600000,23.4098,3258.06
121,121,-1299.6429443359375,14.6101,3109.77,605000,23.4708,3228.18
122,122,-1371.72314453125,15.4889,3239.48,610000,24.733,3257.68
123,123,-1554.2303466796875,15.3674,3203.32,615000,23.2618,3244.77
124,124,-1334.6025390625,14.4763,3122.34,620000,23.1275,3234.51
125,125,-1440.2027587890625,15.1834,3211.11,625000,23.9511,3218.47
126,126,-1467.120849609375,14.3917,3095.97,630000,23.4758,3220.12
127,127,-1684.0386962890625,17.7005,2964.99,635000,23.2714,3266.01
128,128,-1610.6656494140625,15.0452,3139.5,640000,24.3622,3234.67
129,129,-1129.4918212890625,13.975,2904.5,645000,20.9802,3194.12
130,130,-1411.487548828125,13.4094,3172.39,650000,23.1167,3172.25
131,131,-1482.63525390625,12.6505,2862.07,655000,22.7252,3251.06
132,132,-1434.864501953125,13.6004,3109.06,660000,23.117,3201.27
133,133,-1692.3642578125,13.5886,3197.23,665000,23.9615,3253.24
134,134,-1540.851806640625,14.8474,3245.27,670000,24.2217,3265.2
135,135,-1859.24072265625,15.7151,3197.44,675000,25.5113,3232.43
136,136,-1640.5159912109375,14.9667,3093.09,680000,24.3494,3256.85
137,137,-1654.286865234375,15.6922,3049.6,685000,23.3507,3237.43
138,138,-1629.926513671875,13.2575,2956.84,690000,22.9542,3231.92
139,139,-1764.922119140625,14.6573,2596.47,695000,23.099,3219.05
140,140,-1599.75341796875,13.8938,3229.89,700000,23.2278,3242.48
141,141,-2090.86767578125,14.6921,2232.86,705000,23.7639,3237.84
142,142,-1843.4571533203125,13.8893,3008.14,710000,22.9093,3240.71
143,143,-1672.4071044921875,14.4387,3231.55,715000,23.4831,3252.46
144,144,-1640.9742431640625,13.5764,3190.97,720000,22.9454,3196.94
145,145,-1568.044921875,13.3131,3160.06,725000,22.7935,3247.22
146,146,-1705.2598876953125,14.0642,2758.08,730000,23.7504,3215.73
147,147,-2251.869140625,14.9933,2352.77,735000,22.7616,3207.03
148,148,-1776.7860107421875,12.9434,3193.85,740000,22.6908,3211.36
149,149,-1676.3394775390625,13.2853,3121.48,745000,23.2416,3245.09
150,150,-1764.5648193359375,12.9877,3214.8,750000,22.2426,3250.18
151,151,-2080.39794921875,13.6136,2927.12,755000,23.7998,3256.37
152,152,-1953.1474609375,13.6088,3118.01,760000,23.3508,3254.56
153,153,-1695.4149169921875,13.7542,3217.54,765000,23.1655,3243.81
154,154,-1720.96142578125,12.0224,3027.77,770000,21.8159,3247.02
155,155,-1933.2763671875,13.4614,3223.42,775000,23.715,3244.6
156,156,-1702.546875,13.7618,3135.36,780000,23.1284,3224.24
157,157,-1910.2755126953125,14.1236,3223.83,785000,23.522,3262.22
158,158,-1763.1319580078125,13.9166,3192.82,790000,22.4438,3245.65
159,159,-1830.4752197265625,13.8221,3216.08,795000,22.1781,3243.9
160,160,-2000.5364990234375,21.2245,807.42,800000,23.8019,573.15
161,161,-1955.709228515625,13.8828,3211.25,805000,23.8509,3252.2
162,162,-2036.360107421875,13.1151,3239.68,810000,23.5371,3258.55
163,163,-1904.15478515625,12.8847,3215.56,815000,22.0734,3209.81
164,164,-1648.204833984375,14.3202,3116.03,820000,22.1835,3210.71
165,165,-1620.7442626953125,12.715,3189.97,825000,20.9643,3186.78
166,166,-1922.3006591796875,14.1415,3235.56,830000,23.3094,3269.01
167,167,-1612.0467529296875,12.6808,3198.32,835000,21.2778,3194.94
168,168,-1899.8502197265625,12.8512,3216.31,840000,22.0947,3244.63
169,169,-2258.068359375,13.6813,3244.75,845000,23.4933,3272.59
170,170,-2212.848388671875,13.6933,3016.83,850000,23.7018,3229.33
171,171,-2047.920654296875,11.8187,2927.71,855000,22.1248,3260.0
172,172,-2253.79443359375,12.8838,3152.65,860000,22.2703,3228.97
173,173,-2039.863525390625,12.3212,2839.56,865000,22.4989,3194.11
174,174,-2400.375244140625,14.3823,3220.93,870000,23.1922,3248.5
175,175,-2170.013916015625,13.5377,3039.7,875000,22.7183,3283.36
176,176,-1848.662841796875,12.3612,3172.96,880000,21.826,3217.58
177,177,-2242.236328125,12.0167,2854.53,885000,22.0891,3236.66
178,178,-2302.412841796875,13.5833,3191.43,890000,23.4501,3243.44
179,179,-2052.11328125,12.9964,3204.93,895000,21.8722,3234.72
180,180,-2392.621826171875,13.2307,2801.83,900000,22.4172,3229.23
181,181,-2455.24267578125,13.0999,3150.13,905000,22.7265,3236.91
182,182,-2476.754638671875,13.032,2941.89,910000,23.226,3223.25
183,183,-1916.0780029296875,14.3281,3217.04,915000,22.903,3248.46
184,184,-2330.387939453125,13.7051,3234.56,920000,22.8293,3264.52
185,185,-2375.57080078125,14.1156,3199.48,925000,23.9643,3266.57
186,186,-2334.203369140625,13.2887,3007.3,930000,22.5921,3231.07
187,187,-2407.221435546875,13.8078,3215.67,935000,22.1826,3254.63
188,188,-2668.949462890625,12.9969,2921.76,940000,23.4946,3233.51
189,189,-2519.165283203125,14.2525,3236.28,945000,22.766,3273.22
190,190,-2336.951904296875,13.1603,3222.67,950000,21.7859,3255.81
191,191,-2547.697998046875,13.5296,3231.11,955000,23.1461,3247.15
192,192,-2428.11962890625,12.7257,3212.66,960000,21.7607,3208.07
193,193,-2639.138916015625,13.6949,2990.53,965000,22.6868,3231.96
194,194,-2748.57568359375,15.363,3249.93,970000,23.6443,3289.32
195,195,-2703.254150390625,13.8224,3222.72,975000,23.8191,3227.29
196,196,-2837.551025390625,13.8567,3229.26,980000,22.9395,3244.57
197,197,-2556.4287109375,13.1275,3073.96,985000,22.5423,3234.24
198,198,-2887.468994140625,13.4168,3227.84,990000,23.3702,3227.08
199,199,-2746.210693359375,13.8352,3242.01,995000,22.8653,3267.77
