Reward Loss,Running Forward KL,Running Update Time,Running Env Steps,Real Det Return,Running Reverse KL,Real Sto Return,Itration
345.791748046875,31.996,0,0,198.35,23.8546,195.03,0
163.6796417236328,30.3595,1,5000,268.28,22.2924,275.91,1
145.70184326171875,29.6566,2,10000,280.37,23.5531,287.03,2
281.40936279296875,27.809,3,15000,361.15,15.6565,346.69,3
242.66175842285156,27.5394,4,20000,560.16,21.4815,521.38,4
268.63873291015625,26.8743,5,25000,581.85,30.2109,555.46,5
254.81741333007812,27.0041,6,30000,733.8,41.1132,579.05,6
15.014245986938477,26.8819,7,35000,424.55,23.1791,748.45,7
2.074497938156128,26.9742,8,40000,1615.86,16.8861,1602.7,8
11.003829956054688,28.4841,9,45000,674.59,17.9458,678.07,9
-85.86756134033203,26.6031,10,50000,923.98,20.8091,991.45,10
-150.42027282714844,26.6242,11,55000,945.67,29.7443,873.27,11
-173.56683349609375,26.024,12,60000,974.55,28.1565,951.07,12
-151.44204711914062,25.5681,13,65000,833.91,24.8378,924.84,13
-212.2623291015625,26.2051,14,70000,922.67,32.9573,1001.98,14
-249.40084838867188,25.8232,15,75000,982.35,30.334,1000.76,15
-179.801513671875,24.964,16,80000,1719.98,19.2845,2056.2,16
-130.57798767089844,25.01,17,85000,2653.65,15.3767,2050.25,17
-209.00205993652344,25.0444,18,90000,2352.08,21.6952,2112.03,18
-278.7875671386719,25.4297,19,95000,1872.31,23.2031,1640.79,19
-417.1590881347656,26.2904,20,100000,989.61,31.8832,967.25,20
-403.9285888671875,25.5942,21,105000,996.62,30.5607,1092.88,21
-438.0039978027344,25.8642,22,110000,999.72,27.8238,978.81,22
-511.9707946777344,26.6697,23,115000,934.55,36.9684,914.01,23
-527.6646118164062,26.4092,24,120000,1022.76,34.1185,1152.28,24
-595.5137329101562,26.9226,25,125000,929.07,35.707,908.37,25
-558.9703979492188,25.6756,26,130000,981.31,28.2348,981.29,26
-680.3944091796875,26.0727,27,135000,893.14,29.2153,895.73,27
-698.0914916992188,26.2684,28,140000,980.66,29.8439,1098.98,28
-558.8087768554688,24.7979,29,145000,3025.03,24.0923,1837.27,29
-740.0435791015625,26.0192,30,150000,958.19,29.2987,957.84,30
-218.7671661376953,24.8359,31,155000,3072.98,16.8417,2914.92,31
-779.4869384765625,26.0277,32,160000,998.78,28.7675,1252.98,32
-230.95803833007812,23.7628,33,165000,3120.47,16.4494,2579.24,33
-774.962158203125,25.4936,34,170000,996.87,31.8551,1094.15,34
-911.756591796875,26.5917,35,175000,955.62,34.0005,956.01,35
-738.4508666992188,24.5415,36,180000,3150.34,28.2102,1971.5,36
-808.5652465820312,24.5396,37,185000,993.49,30.8122,1326.33,37
-626.4041748046875,24.2166,38,190000,3082.37,26.5421,1888.47,38
-722.6587524414062,23.7773,39,195000,1142.35,22.9452,1449.46,39
-982.2371215820312,25.1238,40,200000,1559.31,31.764,1349.7,40
-942.2852172851562,25.3337,41,205000,1058.22,24.614,1177.39,41
-659.97509765625,23.6342,42,210000,3187.14,19.7713,2556.55,42
-926.7544555664062,24.7662,43,215000,994.63,23.9118,1022.18,43
-462.79010009765625,23.5034,44,220000,2886.74,16.7204,2771.94,44
-233.85304260253906,23.1133,45,225000,3147.07,15.2174,2944.69,45
-806.5609130859375,23.9422,46,230000,1180.64,18.798,2023.17,46
-724.59619140625,24.2004,47,235000,2630.82,14.873,1804.88,47
-986.6953125,25.1782,48,240000,1059.82,15.3093,1480.65,48
-715.2661743164062,23.2954,49,245000,3154.29,15.8969,2018.47,49
-858.313720703125,23.8917,50,250000,1229.79,14.3549,1855.54,50
-755.9815063476562,23.906,51,255000,3015.09,16.8524,1928.25,51
-612.8741455078125,23.5097,52,260000,2828.89,14.0185,1951.93,52
