Reward Loss,Real Det Return,Itration,Running Env Steps,Running Forward KL,Running Update Time,Running Reverse KL,Real Sto Return
346.67315673828125,301.68,0,0,31.2572,0,16.933,298.5
225.40977478027344,319.94,1,5000,31.3154,1,25.545,322.21
220.95028686523438,289.8,2,10000,31.0125,2,20.993,295.73
254.56991577148438,328.58,3,15000,29.4907,3,22.4178,319.26
0.3729580044746399,354.83,4,20000,27.6311,4,34.4633,371.36
-86.00508117675781,428.11,5,25000,27.9375,5,40.3434,419.95
-68.30597686767578,583.53,6,30000,26.7165,6,29.1433,506.25
-98.81980895996094,763.49,7,35000,25.839,7,22.484,728.55
49.70108413696289,523.48,8,40000,25.5498,8,14.913,806.71
156.2427978515625,1508.4,9,45000,26.0124,9,18.7133,768.24
246.8756103515625,641.52,10,50000,25.7669,10,17.7071,616.74
285.0939636230469,818.05,11,55000,26.5138,11,16.4898,801.02
164.10755920410156,2658.28,12,60000,24.3738,12,13.8841,1597.12
7.184281349182129,872.5,13,65000,26.231,13,16.5507,771.17
84.86119842529297,1011.96,14,70000,23.6648,14,14.1773,1034.3
-302.2182312011719,911.7,15,75000,25.2813,15,19.3866,886.57
-283.0816345214844,1401.87,16,80000,24.6714,16,17.8473,889.7
-409.5169372558594,924.98,17,85000,25.3644,17,20.9849,979.44
-448.2108459472656,947.34,18,90000,24.244,18,21.6094,1110.92
-84.0544662475586,3055.7,19,95000,23.0223,19,16.161,2945.0
-299.92742919921875,3177.42,20,100000,23.2614,20,16.6104,2054.06
-473.8710021972656,886.96,21,105000,24.409,21,18.6564,983.12
-536.9688720703125,1243.22,22,110000,23.4101,22,20.6478,1642.86
-475.2183532714844,1222.57,23,115000,23.3781,23,18.2054,1288.1
-708.2460327148438,981.07,24,120000,24.0686,24,22.2493,877.38
-663.278076171875,1139.29,25,125000,23.4458,25,21.5819,991.46
-773.5730590820312,130.09,26,130000,23.8561,26,23.7809,987.28
-733.7581176757812,1207.34,27,135000,23.79,27,23.9315,1065.02
-666.1520385742188,1021.52,28,140000,23.8139,28,22.1706,1246.84
-527.4378051757812,1244.56,29,145000,22.7153,29,19.3461,1634.7
-604.4937744140625,1239.61,30,150000,23.1007,30,18.7933,2097.87
-698.5696411132812,1557.67,31,155000,23.0104,31,20.2519,1959.43
-276.7265930175781,3306.03,32,160000,21.9342,32,14.5949,2679.16
-235.04481506347656,3370.94,33,165000,22.3205,33,13.9395,2288.68
