Running Update Time,Itration,Real Sto Return,Running Env Steps,Running Forward KL,Running Reverse KL,Reward Loss,Real Det Return
0,0,301.09,0,465.8019,268.5935,-8451.82421875,248.76
1,1,315.5,5000,461.3587,296.664,-7098.22412109375,287.99
2,2,341.42,10000,442.491,270.0212,-14139.5693359375,284.09
3,3,390.1,15000,444.5206,281.958,-6910.29833984375,272.87
4,4,432.48,20000,419.2772,260.8319,-10030.9541015625,457.38
5,5,423.62,25000,443.9714,265.442,-11342.87890625,447.03
6,6,460.72,30000,437.2241,270.7938,-14474.701171875,493.11
7,7,542.08,35000,433.1719,245.319,-16449.7890625,602.26
8,8,484.85,40000,426.126,264.3033,-16254.4658203125,421.52
9,9,432.07,45000,437.9377,270.5091,-18778.193359375,412.81
10,10,464.84,50000,427.8885,263.1921,-19247.525390625,513.11
11,11,521.9,55000,428.9951,248.5364,-21588.591796875,494.37
12,12,525.64,60000,428.1868,252.4769,-21812.439453125,699.68
13,13,547.91,65000,421.5907,254.4146,-22812.53125,537.66
14,14,565.96,70000,416.4417,235.6577,-21619.330078125,489.12
15,15,603.78,75000,418.1457,261.0791,-25573.712890625,614.2
16,16,542.86,80000,425.1782,255.0837,-24712.251953125,512.81
17,17,580.35,85000,426.6449,264.9333,-28066.560546875,529.5
18,18,593.73,90000,422.3935,272.3273,-28992.525390625,534.89
19,19,676.25,95000,419.0036,266.7572,-28196.869140625,630.18
20,20,640.51,100000,419.2478,242.8658,-29839.33984375,558.62
21,21,596.03,105000,416.1501,249.2846,-33023.8515625,525.01
22,22,700.12,110000,419.1938,252.7216,-32798.125,552.26
23,23,612.59,115000,425.9098,247.3027,-35335.2890625,544.07
24,24,601.75,120000,416.5419,273.0817,-37304.21484375,583.16
25,25,596.46,125000,417.7196,263.4102,-34669.58984375,606.96
26,26,533.86,130000,427.2474,259.2457,-40679.5234375,514.87
27,27,624.62,135000,397.3391,248.3883,-39236.625,470.87
28,28,673.05,140000,409.8696,239.046,-38302.46484375,468.25
29,29,683.06,145000,410.8115,241.6042,-40362.37890625,535.08
30,30,678.57,150000,405.734,233.6122,-40644.9375,651.58
31,31,813.7,155000,410.3872,247.5121,-40922.859375,660.9
32,32,729.88,160000,391.1324,240.4899,-39244.953125,656.96
33,33,789.46,165000,385.9401,239.7732,-43859.30859375,661.64
34,34,848.88,170000,391.1656,232.4925,-43852.08984375,875.08
35,35,735.1,175000,401.4836,239.6302,-43030.66015625,581.76
36,36,826.4,180000,394.9913,239.3302,-47613.6875,849.46
37,37,923.75,185000,399.0478,235.9071,-45497.83203125,767.43
38,38,906.75,190000,384.2807,247.9226,-50550.8359375,860.98
39,39,873.21,195000,388.8085,248.4592,-49741.6171875,748.93
40,40,989.4,200000,390.5593,242.6426,-47853.7890625,881.09
41,41,860.48,205000,389.3696,233.4388,-47076.7734375,650.39
42,42,1111.81,210000,387.9902,225.6559,-46380.6015625,755.9
43,43,965.22,215000,382.5424,229.4165,-48889.88671875,716.21
44,44,830.14,220000,396.8379,237.8135,-45125.5625,665.96
45,45,1154.91,225000,390.0877,224.1808,-45977.2578125,909.08
46,46,816.31,230000,381.7809,224.1071,-47785.6875,731.56
47,47,1118.32,235000,397.1378,230.0812,-52755.92578125,731.87
48,48,1002.05,240000,389.8314,227.1133,-51790.09765625,812.7
49,49,869.38,245000,391.2955,228.9729,-51511.45703125,713.62
50,50,995.48,250000,381.5962,222.9002,-54076.921875,831.96
51,51,1008.05,255000,378.8773,231.9614,-55996.765625,624.5
52,52,1073.79,260000,370.9459,208.6541,-48623.7265625,700.68
53,53,1117.01,265000,382.7844,233.9323,-58360.6328125,617.46
54,54,1401.97,270000,381.1831,225.0158,-54725.421875,916.72
55,55,911.05,275000,384.6902,236.9835,-58094.3515625,774.91
56,56,1037.89,280000,380.6742,247.4615,-60800.68359375,722.92
57,57,849.28,285000,399.0672,263.2082,-60875.48046875,627.87
58,58,1216.01,290000,378.591,224.1923,-58917.3203125,900.53
59,59,1322.26,295000,378.912,252.2197,-60780.13671875,695.93
60,60,1096.76,300000,377.6617,223.3385,-57952.3671875,728.94
61,61,1426.22,305000,365.2506,208.0842,-54117.0390625,870.89
62,62,1322.31,310000,377.0838,240.9617,-62103.65234375,847.6
63,63,1313.05,315000,359.8273,202.0899,-52911.453125,648.35
64,64,1239.07,320000,378.2066,222.3364,-58936.4609375,783.76
65,65,1636.73,325000,375.2958,201.6533,-53126.48828125,759.5
66,66,1507.59,330000,382.5637,214.861,-56520.828125,617.06
67,67,1487.88,335000,384.5991,238.7543,-63341.66796875,828.86
68,68,1171.21,340000,377.9901,226.3204,-60536.62109375,633.63
69,69,1550.76,345000,366.8692,183.4472,-51189.80859375,862.33
70,70,1253.71,350000,373.9693,218.0561,-57563.21484375,861.36
71,71,1635.86,355000,362.0378,179.1613,-49390.6875,861.89
72,72,2029.9,360000,353.1445,161.3199,-42398.37109375,938.01
73,73,2144.88,365000,357.2688,178.4551,-49717.53125,693.1
74,74,2082.82,370000,353.9268,164.374,-48650.8046875,892.64
75,75,1839.36,375000,373.5776,202.9852,-57668.79296875,1220.75
76,76,2337.78,380000,343.9765,164.707,-48436.09375,1269.84
77,77,2460.29,385000,360.5017,207.0714,-58554.6953125,1495.56
78,78,2355.65,390000,354.1911,169.6749,-51605.0703125,1287.12
79,79,2845.14,395000,353.4561,176.5478,-52068.8046875,1330.78
80,80,1721.42,400000,374.7978,205.3042,-63023.875,1281.13
81,81,2514.04,405000,377.3237,216.9922,-64192.15234375,1696.51
82,82,2241.2,410000,381.7694,208.9715,-65813.75,1036.09
83,83,2730.53,415000,358.4736,199.1555,-59597.07421875,1369.57
84,84,1880.76,420000,353.6542,174.2456,-56140.34375,1375.7
85,85,2865.36,425000,357.471,197.5901,-58321.3515625,1726.82
86,86,2781.06,430000,351.0211,160.5846,-50388.71484375,1766.17
87,87,2739.54,435000,344.0727,154.2719,-49654.84765625,2158.06
88,88,3157.7,440000,353.2745,161.7074,-49782.92578125,1839.31
89,89,2911.97,445000,354.4025,173.4124,-54044.68359375,2811.86
90,90,3284.06,450000,357.9361,185.2969,-58646.359375,2200.03
91,91,3226.14,455000,361.6638,174.8531,-59338.98046875,1189.05
92,92,3609.44,460000,343.8744,161.3599,-50949.6015625,2472.79
93,93,2997.75,465000,361.8611,173.287,-58427.9296875,1082.18
94,94,3587.23,470000,330.8285,173.7399,-45408.7109375,1953.6
95,95,3089.27,475000,340.2842,146.5992,-46509.51171875,2630.52
