Running Env Steps,Real Sto Return,Reward Loss,Running Update Time,Running Forward KL,Running Reverse KL,Itration,Real Det Return
0,356.43,-128.2926788330078,0,30.5518,24.5501,0,409.65
5000,376.44,-70.15021514892578,1,30.9092,25.5064,1,388.54
10000,1004.64,-150.4958953857422,2,29.6979,22.5119,2,1068.68
15000,352.74,-421.843505859375,3,31.0792,40.2411,3,366.95
20000,332.77,-532.7796020507812,4,30.0623,47.7295,4,371.48
25000,573.39,-691.6253662109375,5,28.1202,88.8017,5,559.47
30000,247.45,-1042.7303466796875,6,31.7728,66.3458,6,241.64
35000,542.68,-626.0252685546875,7,30.0322,76.1615,7,487.14
40000,304.11,-451.4222717285156,8,31.0738,34.8436,8,265.24
45000,553.63,-396.8769226074219,9,27.5767,36.7712,9,595.03
50000,1230.25,-387.5528564453125,10,25.1983,25.5222,10,1151.97
55000,632.67,-481.5044860839844,11,27.0058,40.6178,11,1072.19
60000,785.0,-616.5858764648438,12,26.6138,26.2122,12,885.82
65000,531.4,-718.0830078125,13,27.8227,47.7214,13,695.11
70000,906.41,-814.802490234375,14,25.6874,30.6449,14,1352.21
75000,856.37,-592.9785766601562,15,26.8371,62.939,15,119.34
80000,572.22,-488.4597473144531,16,26.1656,58.877,16,215.86
85000,993.62,-409.07135009765625,17,25.2306,21.6563,17,391.09
90000,1408.46,-513.5399169921875,18,25.1051,18.3315,18,887.01
95000,1548.32,-690.424072265625,19,25.1615,21.8776,19,2002.21
100000,1878.76,-326.07464599609375,20,24.046,14.7863,20,2218.2
105000,1562.04,-669.2360229492188,21,24.9017,17.7257,21,1822.37
110000,1014.21,-935.6074829101562,22,26.4872,21.3415,22,909.38
115000,749.54,-731.5435180664062,23,25.7764,27.9781,23,628.18
120000,1187.05,-976.4602661132812,24,27.1453,33.8138,24,1925.62
125000,1889.09,-636.2860717773438,25,23.9732,18.9602,25,3055.35
130000,1734.29,-708.2703247070312,26,25.409,21.4351,26,1275.08
135000,1180.1,-898.3054809570312,27,24.6885,19.1208,27,1190.49
140000,1679.11,-556.3447265625,28,23.77,17.5138,28,2250.84
145000,1453.87,-1031.050537109375,29,26.2039,22.575,29,1509.01
150000,2240.01,-547.1415405273438,30,22.6684,13.5968,30,3072.03
155000,788.02,-1318.4810791015625,31,27.7884,18.0936,31,544.22
160000,1131.34,-963.4628295898438,32,26.1388,19.5696,32,1531.48
165000,1516.22,-884.2804565429688,33,24.112,15.4894,33,1442.33
170000,1642.51,-817.0238647460938,34,24.8224,18.0682,34,3166.65
175000,1491.02,-825.4750366210938,35,26.9306,18.3023,35,2975.82
180000,1176.64,-735.3169555664062,36,25.038,16.5508,36,1200.81
185000,1162.61,-1292.9691162109375,37,26.9137,19.8081,37,1384.62
190000,1527.6,-1086.7332763671875,38,26.4055,18.204,38,1787.08
195000,1961.66,-1036.462646484375,39,25.843,18.5535,39,1439.08
200000,1173.9,-1184.679443359375,40,26.796,21.0666,40,1845.58
205000,1419.83,-958.160400390625,41,25.5869,18.8594,41,687.79
210000,1221.18,-988.9527587890625,42,25.237,18.6496,42,607.33
215000,1140.22,-1377.1942138671875,43,27.6617,21.7409,43,829.2
220000,1146.29,-1458.490478515625,44,26.0735,23.8377,44,1385.25
225000,1896.49,-1035.41357421875,45,25.1274,15.8605,45,1581.98
230000,1382.16,-1198.38232421875,46,26.5227,18.6154,46,1444.41
235000,1842.99,-666.4057006835938,47,23.9126,14.8789,47,1561.04
240000,1456.28,-925.4188842773438,48,24.9636,18.8418,48,1804.14
245000,1602.5,-948.8049926757812,49,25.3133,19.7092,49,1648.15
250000,287.03,-1202.1129150390625,50,24.6071,17.8273,50,17.2
255000,1359.05,-1282.0150146484375,51,24.7956,23.2283,51,1264.35
260000,1476.66,-1081.1214599609375,52,24.4604,19.7839,52,1666.44
265000,1493.46,-1243.64892578125,53,24.731,21.1703,53,1124.93
270000,1086.02,-1193.0216064453125,54,25.1119,23.3239,54,1731.8
275000,1806.1,-1210.477783203125,55,25.6532,24.971,55,1557.15
280000,645.47,-1497.123779296875,56,25.3761,29.3903,56,937.53
285000,1526.9,-1299.32568359375,57,25.1635,26.8922,57,1274.88
290000,1498.69,-1353.3172607421875,58,24.0454,27.4422,58,920.83
295000,1621.58,-1459.669677734375,59,24.8801,28.8934,59,1849.33
300000,1275.79,-1722.0452880859375,60,26.6223,33.7728,60,1108.28
305000,1805.74,-1560.84228515625,61,23.2589,27.4735,61,1605.82
310000,1521.77,-1467.184326171875,62,25.1926,28.9686,62,1201.85
315000,298.62,-1711.4443359375,63,25.8947,29.9884,63,13.24
320000,1691.19,-1144.729248046875,64,23.6995,22.8891,64,2345.77
325000,1335.86,-1507.399658203125,65,24.3327,23.154,65,1038.09
330000,1830.75,-1426.9150390625,66,25.1966,20.0509,66,1408.3
335000,1403.4,-1237.4241943359375,67,22.692,19.6361,67,1489.14
340000,1458.83,-1877.1077880859375,68,25.4888,30.5212,68,2533.08
345000,1380.47,-1469.686767578125,69,22.5276,23.5486,69,1018.25
350000,1278.55,-1869.6715087890625,70,25.8767,25.9034,70,1355.68
355000,1066.49,-1722.58056640625,71,25.1408,27.2037,71,1249.45
360000,1044.41,-1944.7623291015625,72,24.9377,27.9973,72,1463.29
365000,711.36,-1888.26806640625,73,24.8085,28.4049,73,1475.02
370000,981.8,-2489.57275390625,74,26.0288,28.1293,74,1218.75
375000,1360.51,-2271.99755859375,75,26.7522,29.1312,75,1274.13
380000,1154.96,-2018.4967041015625,76,23.8963,26.361,76,1543.79
385000,507.25,-2107.55908203125,77,24.8359,25.7925,77,94.02
390000,1459.05,-1886.769287109375,78,24.9109,23.3142,78,1219.97
395000,1459.46,-2070.746337890625,79,24.3165,26.4398,79,1429.2
400000,999.3,-2555.2060546875,80,25.3277,28.1547,80,870.41
405000,1270.21,-2367.134521484375,81,24.3566,31.7452,81,1782.03
410000,933.13,-1916.8646240234375,82,23.2857,22.2586,82,1879.71
415000,1249.15,-2712.069580078125,83,26.2452,25.1638,83,883.97
420000,1471.63,-2240.87548828125,84,24.5095,24.1452,84,1383.03
425000,1886.72,-2129.32666015625,85,23.2017,23.79,85,2899.22
430000,1800.76,-2037.0745849609375,86,23.5321,22.3095,86,2072.74
