Running Update Time,Real Sto Return,Real Det Return,Itration,Running Env Steps,Reward Loss,Running Forward KL,Running Reverse KL
0,266.32,274.33,0,0,-683.1656494140625,439.6279,277.5246
1,303.36,317.13,1,5000,-761.5685424804688,432.3819,245.5432
2,337.51,349.36,2,10000,-724.298583984375,410.7139,261.9967
3,394.81,307.14,3,15000,-505.0498352050781,412.4854,298.5244
4,439.49,501.32,4,20000,-991.1555786132812,398.8214,239.1797
5,381.96,416.28,5,25000,-833.821533203125,400.2622,263.603
6,375.93,326.48,6,30000,-1744.7628173828125,408.2053,270.8715
7,407.6,405.25,7,35000,-1377.1614990234375,392.2932,259.5163
8,495.84,497.31,8,40000,-1331.566650390625,390.3344,254.6439
9,489.41,385.66,9,45000,-1465.071533203125,385.884,264.877
10,451.44,564.68,10,50000,-1778.143310546875,397.5965,256.3602
11,544.21,581.99,11,55000,-2249.20458984375,378.453,251.0625
12,494.59,468.68,12,60000,-2245.43798828125,395.9677,270.9171
13,451.22,420.02,13,65000,-2469.5791015625,380.8895,294.2232
14,575.79,494.33,14,70000,-2466.635986328125,378.8636,270.6508
15,558.53,522.14,15,75000,-2637.39013671875,366.0367,247.7357
16,534.34,575.24,16,80000,-2602.61962890625,370.8116,265.6669
17,510.72,392.64,17,85000,-3023.502197265625,361.7616,306.2031
18,757.87,658.27,18,90000,-2972.9765625,362.2241,261.6664
19,679.89,603.29,19,95000,-2803.505859375,365.217,265.503
20,717.4,927.33,20,100000,-3420.1875,352.4462,292.8799
21,736.71,645.73,21,105000,-3583.60986328125,353.4786,268.8341
22,656.32,498.23,22,110000,-4124.14501953125,361.1658,329.8601
23,768.44,704.76,23,115000,-3785.4560546875,349.3538,273.008
24,643.37,565.04,24,120000,-4960.306640625,351.9888,333.756
25,805.12,545.95,25,125000,-4321.18310546875,353.9673,284.9652
26,716.12,646.1,26,130000,-3835.99462890625,342.8793,241.7063
27,854.03,598.12,27,135000,-4445.83154296875,347.1613,284.9718
28,874.7,808.23,28,140000,-4702.10498046875,338.3761,306.6177
29,847.17,662.34,29,145000,-4849.55615234375,346.6824,279.144
30,839.29,723.09,30,150000,-5559.7294921875,355.1477,321.2787
31,885.77,839.61,31,155000,-5107.75341796875,326.5624,283.0946
32,985.73,868.09,32,160000,-5256.76513671875,320.6406,303.9152
33,949.11,863.83,33,165000,-6360.7587890625,318.8736,354.9513
34,764.97,735.98,34,170000,-6751.33203125,334.5256,711.6765
35,912.95,971.13,35,175000,-6715.576171875,320.8314,404.1938
36,975.94,857.36,36,180000,-5813.5458984375,316.8176,289.8816
37,993.54,939.13,37,185000,-6722.27099609375,328.2021,358.1539
38,1007.9,822.94,38,190000,-7272.0537109375,331.9679,308.0011
39,1580.07,848.28,39,195000,-6067.64306640625,306.3528,294.4015
