Real Det Return,Running Forward KL,Real Sto Return,Reward Loss,Running Reverse KL,Itration,Running Update Time,Running Env Steps
234.83,32.0453,220.22,471.2829895019531,14.6565,0,0,0
258.83,31.2909,252.92,717.4707641601562,29.2981,1,1,5000
370.29,31.6059,349.1,620.2346801757812,41.4918,2,2,10000
557.32,29.8719,510.75,170.91281127929688,22.56,3,3,15000
565.7,30.1958,502.75,117.84671783447266,24.2489,4,4,20000
634.73,27.8658,562.84,364.07586669921875,17.3792,5,5,25000
844.88,28.3271,743.85,115.8792495727539,17.6035,6,6,30000
679.4,26.6854,702.68,73.27764892578125,16.8556,7,7,35000
652.73,27.7984,636.16,29.587194442749023,45.3303,8,8,40000
870.37,27.8455,767.72,166.53211975097656,26.7116,9,9,45000
771.43,28.0677,741.4,-23.50110626220703,27.6288,10,10,50000
765.54,27.3113,784.81,63.07054901123047,22.327,11,11,55000
692.86,28.0019,675.07,-114.4328842163086,17.454,12,12,60000
692.56,27.0184,675.05,-28.569469451904297,31.0375,13,13,65000
851.32,24.8945,875.07,-88.02206420898438,26.4976,14,14,70000
880.16,27.1707,841.74,-199.32266235351562,15.1489,15,15,75000
890.01,26.1374,898.12,-260.8458557128906,17.5835,16,16,80000
902.2,25.5651,931.63,-430.76800537109375,19.5063,17,17,85000
992.34,26.6174,1024.38,-503.30084228515625,21.0712,18,18,90000
1022.79,27.4944,1051.07,-547.3773803710938,19.5735,19,19,95000
913.11,25.7177,924.37,-598.2593994140625,22.6716,20,20,100000
966.19,26.3721,933.26,-602.91943359375,22.5449,21,21,105000
545.51,27.0301,453.74,-614.100341796875,31.4039,22,22,110000
1464.6,24.2433,1176.37,-595.1101684570312,19.5231,23,23,115000
1218.49,26.2985,1140.3,-706.9677734375,18.5225,24,24,120000
1781.6,27.0153,1341.21,-751.7333374023438,18.431,25,25,125000
3109.87,24.4566,2193.93,-661.9879150390625,14.7705,26,26,130000
3032.88,22.6494,1935.55,-525.09716796875,13.3409,27,27,135000
1877.85,25.0923,1908.26,-721.9469604492188,15.9518,28,28,140000
2532.26,23.4575,1953.14,-667.7675170898438,14.0066,29,29,145000
3050.33,22.7071,2707.97,-514.4641723632812,11.6816,30,30,150000
2619.77,22.8362,2483.91,-641.935791015625,13.0282,31,31,155000
1799.79,23.8555,2421.84,-807.9583129882812,16.4738,32,32,160000
1204.16,24.2722,1342.74,-820.6746826171875,16.3154,33,33,165000
