Running Reverse KL,Real Sto Return,Real Det Return,Running Forward KL,Itration
13.7766,326.19,408.12,48.9428,0
13.6834,407.1,394.14,48.8705,1
23.7775,427.93,433.18,48.7036,2
24.8801,344.11,338.39,49.8559,3
15.3466,703.96,811.94,48.4895,4
21.8083,478.01,416.86,48.7137,5
15.5448,437.34,506.1,48.7317,6
25.9552,482.24,465.47,48.5715,7
34.2192,514.45,543.1,48.5148,8
47.7769,607.54,651.01,48.5528,9
30.2605,632.93,715.18,47.487,10
32.5749,723.67,802.82,47.8311,11
42.7266,735.1,864.2,47.6043,12
51.0117,1010.75,1312.04,47.7113,13
41.4651,692.57,760.51,47.4118,14
39.3549,822.74,572.35,47.8247,15
33.0697,796.34,850.06,47.9002,16
43.4828,790.91,820.17,47.7244,17
38.3922,1054.04,1630.48,47.294,18
44.012,834.78,965.51,48.1528,19
22.0801,976.17,1143.57,47.9099,20
24.1278,870.07,978.89,47.8759,21
20.553,810.53,934.76,48.1964,22
25.1603,774.9,882.96,47.9251,23
43.8661,849.84,952.99,48.0693,24
23.0391,855.82,933.59,46.9568,25
34.1454,863.04,937.98,47.0464,26
14.1879,914.5,955.48,46.8004,27
18.2297,596.77,227.97,47.1952,28
12.3207,679.87,739.9,47.1178,29
20.6505,-19.65,38.87,53.6782,30
33.9208,420.35,645.67,49.3591,31
22.3726,23.68,-59.18,53.3266,32
14.1345,478.83,431.95,49.0395,33
36.6221,205.06,259.29,52.1176,34
14.2242,245.54,308.22,50.2581,35
16.0692,236.31,276.55,49.307,36
40.5381,410.1,398.24,50.3493,37
72.2637,476.71,351.37,49.6624,38
30.9694,630.33,500.51,48.3744,39
13.2496,497.25,851.91,47.8868,40
15.5133,207.64,302.39,49.5397,41
26.4879,295.29,248.95,49.4441,42
79.079,502.16,721.86,52.0185,43
68.2569,-14.72,-14.1,56.4514,44
28.9205,231.67,252.28,51.8131,45
30.4129,793.95,1023.65,53.2822,46
19.3566,418.99,375.32,49.5138,47
29.2797,408.84,394.23,51.1846,48
21.4833,809.77,1022.41,48.555,49
28.6041,491.38,596.02,49.7171,50
54.4433,377.58,405.9,48.8772,51
31.2213,560.33,270.06,51.2413,52
25.3707,98.02,96.55,52.6574,53
21.7358,129.47,123.3,52.3552,54
55.8045,1000.07,999.91,56.3535,55
33.9981,446.83,508.18,51.0337,56
46.5617,1003.71,1007.04,56.2331,57
21.2956,480.4,543.32,49.9883,58
58.2565,-8.77,-7.68,52.3658,59
84.3726,0.59,14.61,54.8827,60
54.7078,1030.67,1030.89,56.8856,61
35.4134,816.99,462.86,54.81,62
38.5105,1024.07,1025.83,56.3987,63
31.4533,994.75,1045.98,54.2069,64
36.519,436.65,327.02,50.8029,65
42.8052,1001.72,1005.09,55.4863,66
109.9516,-14.9,-17.2,56.6475,67
81.7675,188.41,251.66,52.886,68
59.6667,285.79,276.9,51.9134,69
78.5446,372.54,291.75,49.7809,70
20.6475,364.57,364.55,47.0121,71
37.5198,750.7,692.13,48.6021,72
24.0375,1536.02,1336.32,46.7761,73
42.354,1232.75,1091.26,47.6006,74
55.1737,1092.02,1575.53,48.1925,75
54.6865,800.11,803.14,48.8813,76
64.1319,850.59,847.8,49.6427,77
36.9713,466.92,473.74,49.8814,78
18.5892,1051.32,1029.37,48.2707,79
24.1271,554.08,580.7,50.4441,80
60.7049,478.99,579.32,50.7039,81
44.198,580.1,511.11,50.4591,82
76.5276,70.21,34.73,52.1831,83
93.4483,90.3,88.44,56.2616,84
42.649,467.87,669.92,49.8928,85
50.7599,577.16,517.93,50.9119,86
43.5202,372.41,351.48,50.8228,87
