Itration,Running Reverse KL,Real Det Return,Running Update Time,Real Sto Return,Running Forward KL,Reward Loss,Running Env Steps
0,13.9114,438.87,0,350.9,49.3336,676.5629272460938,0
1,14.0255,324.25,1,331.69,49.1869,537.6953735351562,5000
2,24.1106,374.93,2,397.38,49.847,-21.30123519897461,10000
3,16.4552,386.2,3,358.53,49.6125,423.5966796875,15000
4,13.7963,582.55,4,413.85,49.0554,508.7127685546875,20000
5,15.7255,443.9,5,387.58,48.8793,895.086669921875,25000
6,14.2956,696.41,6,477.13,48.8671,774.7291259765625,30000
7,28.6564,608.14,7,496.92,47.9518,272.809326171875,35000
8,17.0473,616.03,8,547.3,48.1735,345.98419189453125,40000
9,22.019,556.73,9,518.54,49.1661,218.26651000976562,45000
10,30.8889,530.36,10,492.97,48.8076,-16.56593894958496,50000
11,16.3068,558.74,11,518.06,48.4972,32.785194396972656,55000
12,16.945,484.94,12,521.04,49.0323,162.5030059814453,60000
13,13.2487,639.8,13,563.37,48.5698,331.8744201660156,65000
14,20.6561,563.58,14,529.6,49.1368,50.74441146850586,70000
15,14.2428,657.82,15,569.44,48.5169,410.1447448730469,75000
16,16.2864,682.27,16,655.44,48.0796,-56.203147888183594,80000
17,14.1247,654.47,17,622.77,47.4168,256.7049255371094,85000
18,13.8793,639.18,18,610.41,48.2018,-298.692138671875,90000
19,14.6419,690.52,19,643.5,48.1369,-142.6657257080078,95000
20,14.6387,708.44,20,638.78,47.6935,-37.862449645996094,100000
21,15.6729,653.93,21,649.8,48.1006,-595.5278930664062,105000
22,27.1623,685.65,22,663.21,46.9751,-344.5511474609375,110000
23,16.013,846.04,23,692.91,47.1625,-767.772705078125,115000
24,16.1662,805.3,24,679.34,47.2229,-928.0800170898438,120000
25,18.9357,885.53,25,691.72,46.6817,-868.0880126953125,125000
26,16.359,751.79,26,671.71,47.1705,-993.6928100585938,130000
27,31.1119,751.19,27,740.6,47.0306,-1581.2359619140625,135000
28,32.2137,751.41,28,752.81,47.6071,-1803.0760498046875,140000
29,18.8119,767.46,29,763.91,47.0663,-1354.9815673828125,145000
30,16.7405,953.4,30,789.24,47.5455,-1104.1981201171875,150000
31,22.9665,760.72,31,750.04,46.7466,-1358.4468994140625,155000
32,18.2191,819.8,32,788.95,47.4456,-1256.3948974609375,160000
33,17.3083,778.24,33,826.66,46.564,-1495.0592041015625,165000
34,16.8568,744.81,34,777.09,47.9291,-1337.9708251953125,170000
35,17.1024,822.28,35,897.36,47.3831,-1334.9014892578125,175000
36,16.8041,788.03,36,897.11,46.9779,-1496.4931640625,180000
37,15.1166,910.76,37,937.97,46.5573,-1575.071533203125,185000
38,14.7564,755.11,38,751.43,46.6218,-1607.5916748046875,190000
39,17.3262,707.44,39,751.37,47.4407,-1765.1278076171875,195000
40,14.3258,826.34,40,859.3,46.4051,-1476.039794921875,200000
41,19.2769,662.1,41,785.05,47.5609,-1922.818115234375,205000
42,18.5231,741.67,42,825.33,46.6684,-1729.6553955078125,210000
43,17.3905,1066.23,43,941.33,46.4918,-1882.3599853515625,215000
