Real Det Return,Running Reverse KL,Reward Loss,Running Forward KL,Real Sto Return,Itration,Running Env Steps,Running Update Time
1983.5,20.7258,-385.2803039550781,47.7593,1599.56,58,290000,58
3414.33,20.773,-390.1795349121094,46.957,1717.26,59,295000,59
2406.65,19.1941,-432.2586364746094,47.155,1484.43,60,300000,60
2865.14,19.2797,-475.979248046875,48.6157,1485.12,61,305000,61
2718.35,19.2988,-490.2080993652344,48.7739,2216.94,62,310000,62
2675.68,18.9119,-459.30865478515625,47.369,1691.63,63,315000,63
2027.34,20.089,-492.6078186035156,49.554,1492.28,64,320000,64
2377.3,20.0982,-448.25006103515625,48.3216,1787.34,65,325000,65
1436.12,20.8471,-535.4061889648438,51.1023,1110.15,66,330000,66
2567.0,20.214,-565.4307861328125,51.0113,1641.94,67,335000,67
2778.26,20.801,-567.4821166992188,51.134,1740.59,68,340000,68
2562.07,22.061,-441.4727783203125,49.2018,2328.61,69,345000,69
2086.05,20.1843,-557.3267822265625,51.0588,1681.08,70,350000,70
3218.31,23.1562,-471.3157958984375,50.3421,2603.15,71,355000,71
3203.67,26.5363,-446.73681640625,50.7709,2610.17,72,360000,72
2976.67,21.4161,-599.404052734375,51.8423,1994.16,73,365000,73
2253.34,21.3421,-512.2269897460938,50.7622,1501.49,74,370000,74
2800.65,21.1279,-571.5384521484375,51.2714,1595.4,75,375000,75
2252.48,21.1899,-614.4832153320312,51.4402,1793.6,76,380000,76
1872.39,21.5869,-565.57373046875,51.0399,1969.43,77,385000,77
2799.68,25.7488,-536.6712036132812,52.203,2626.11,78,390000,78
2270.98,22.2757,-569.6197509765625,49.9587,1845.3,79,395000,79
2859.38,21.7059,-572.41015625,50.0193,2476.08,80,400000,80
2903.82,24.1471,-534.5753173828125,50.7425,2421.68,81,405000,81
2553.83,20.1555,-741.4940795898438,52.6943,1985.23,82,410000,82
3150.81,25.5793,-504.0342712402344,51.5418,3192.35,83,415000,83
3580.45,23.7694,-633.3607788085938,52.3741,3019.09,84,420000,84
3206.4,22.1267,-677.6385498046875,52.0528,2369.67,85,425000,85
3508.82,26.8896,-597.6787109375,53.2447,2810.22,86,430000,86
3481.7,21.9698,-671.8471069335938,53.0199,2372.1,87,435000,87
2891.28,23.7636,-654.4622192382812,51.9743,2419.59,88,440000,88
2666.95,23.4254,-616.7034912109375,51.6185,1178.71,89,445000,89
2954.21,26.5679,-580.305908203125,53.4776,3165.22,90,450000,90
3076.21,26.197,-570.9669799804688,52.4358,2200.12,91,455000,91
3843.18,32.2087,-522.7092895507812,54.8709,3233.87,92,460000,92
3405.03,23.0373,-738.1356811523438,51.7823,2698.62,93,465000,93
3793.97,27.396,-635.9387817382812,53.782,3279.85,94,470000,94
2224.43,22.0974,-777.3892822265625,54.2863,1757.99,95,475000,95
4021.02,31.7685,-627.7478637695312,54.0221,3243.54,96,480000,96
2907.87,29.4057,-558.0925903320312,51.7329,2970.95,97,485000,97
3866.73,26.5297,-680.783935546875,52.816,3017.85,98,490000,98
2645.73,24.0974,-735.42822265625,51.9995,2097.15,99,495000,99
3692.01,26.609,-651.2357177734375,52.6226,3407.24,100,500000,100
4491.94,28.5763,-661.3807373046875,53.3016,3401.76,101,505000,101
3143.22,21.9186,-866.0010375976562,54.6865,1898.71,102,510000,102
3654.27,28.9826,-675.8311157226562,53.5382,2739.32,103,515000,103
4512.66,33.0572,-661.5844116210938,53.7586,3739.0,104,520000,104
4256.65,29.1706,-715.353759765625,54.4196,3680.2,105,525000,105
3739.58,26.3177,-766.5882568359375,54.1539,2682.9,106,530000,106
4342.2,29.3059,-699.0403442382812,53.0757,3515.98,107,535000,107
3057.35,25.1134,-829.0518188476562,54.947,2322.22,108,540000,108
4394.72,31.7829,-637.9364624023438,54.2096,3423.12,109,545000,109
3176.85,24.9669,-909.4849243164062,56.0594,3350.68,110,550000,110
4334.61,34.6637,-690.0934448242188,55.4436,3809.62,111,555000,111
4176.46,33.2117,-708.3367919921875,55.5203,3385.87,112,560000,112
4282.89,28.6259,-825.243408203125,54.9899,3451.71,113,565000,113
2977.22,33.0235,-738.7496948242188,57.116,3063.45,114,570000,114
3874.42,33.7245,-716.2261962890625,56.9022,3659.11,115,575000,115
4250.37,30.2802,-787.3833618164062,55.6742,3574.74,116,580000,116
3949.57,27.6277,-886.2928466796875,55.301,2496.44,117,585000,117
4596.21,33.8022,-762.1134643554688,55.4314,3257.91,118,590000,118
3334.18,31.5946,-816.132080078125,56.57,2305.5,119,595000,119
4619.02,29.3561,-897.0442504882812,56.1394,3725.53,120,600000,120
3873.31,31.5774,-809.4365844726562,55.7989,3151.68,121,605000,121
5017.88,38.8905,-826.0325317382812,59.2366,4249.07,122,610000,122
4907.9,37.6719,-840.1593627929688,59.0927,4062.45,123,615000,123
4353.75,34.7113,-870.4915161132812,58.346,3902.28,124,620000,124
4570.86,39.1225,-893.7706298828125,59.6753,4004.06,125,625000,125
4839.51,34.8648,-941.377197265625,58.8582,4072.91,126,630000,126
5138.93,35.9655,-918.8226928710938,57.6391,3775.18,127,635000,127
4944.06,40.0906,-902.9769287109375,60.694,4124.41,128,640000,128
4625.95,42.9333,-929.8504638671875,61.4331,4117.92,129,645000,129
4703.64,39.2553,-917.9613037109375,59.8126,3870.07,130,650000,130
3921.34,38.3951,-912.9506225585938,59.2312,3210.55,131,655000,131
4799.44,37.9214,-942.3299560546875,59.0251,3731.55,132,660000,132
4976.77,34.5907,-1061.53466796875,58.9645,3892.91,133,665000,133
5053.42,43.4657,-1003.5308837890625,61.3416,4218.47,134,670000,134
4853.26,39.5186,-1042.5828857421875,59.367,3288.55,135,675000,135
5189.0,41.5345,-1008.1415405273438,61.811,4123.19,136,680000,136
4715.13,47.994,-985.102783203125,63.4463,3632.71,137,685000,137
4357.9,44.5254,-1070.4267578125,61.6011,3827.27,138,690000,138
5043.95,38.4436,-1066.72705078125,59.3059,3484.79,139,695000,139
4945.1,39.1975,-1128.285400390625,61.0298,4345.14,140,700000,140
5063.52,35.6961,-1133.1771240234375,58.4767,3996.28,141,705000,141
4972.71,39.5923,-1159.6422119140625,59.955,4403.38,142,710000,142
5105.88,45.1687,-1139.6614990234375,62.1396,4035.96,143,715000,143
5319.53,45.015,-1184.038818359375,62.1532,4534.16,144,720000,144
5059.25,37.2796,-1237.82177734375,60.181,3604.96,145,725000,145
5365.46,43.1916,-1198.140380859375,62.2747,4639.23,146,730000,146
4782.68,40.802,-1265.6839599609375,61.7963,4097.0,147,735000,147
4918.59,45.4491,-1231.9171142578125,63.6602,4636.69,148,740000,148
4564.43,45.0701,-1314.473876953125,62.7928,3863.99,149,745000,149
4591.49,41.4615,-1303.3211669921875,60.9393,3967.25,150,750000,150
4825.79,43.8031,-1294.014892578125,61.9502,4270.0,151,755000,151
4520.7,44.0494,-1369.16015625,62.0969,2902.01,152,760000,152
3575.02,33.2205,-1501.15966796875,60.3467,2923.29,153,765000,153
5174.52,41.6602,-1433.189453125,61.1103,4115.44,154,770000,154
4800.66,39.9921,-1432.458740234375,60.7482,4474.51,155,775000,155
5085.62,41.864,-1495.6304931640625,62.3981,4443.66,156,780000,156
4848.08,44.9404,-1530.03857421875,62.1203,4489.78,157,785000,157
4892.6,44.5903,-1492.46435546875,61.6179,3788.58,158,790000,158
4443.91,42.8742,-1487.7694091796875,62.813,4167.86,159,795000,159
3942.87,38.6148,-1620.5430908203125,60.2039,2724.29,160,800000,160
3803.03,40.4493,-1582.700927734375,62.1438,3903.98,161,805000,161
4330.14,36.6176,-1633.736572265625,59.89,3366.09,162,810000,162
5423.38,47.7098,-1612.568603515625,62.7625,4326.69,163,815000,163
3497.05,42.949,-1702.1856689453125,61.734,3532.23,164,820000,164
4961.79,46.7808,-1739.87939453125,62.909,3890.26,165,825000,165
4517.86,39.3364,-1823.4923095703125,61.8104,3745.81,166,830000,166
5504.12,52.6482,-1805.40966796875,66.9074,4787.75,167,835000,167
5282.79,51.0367,-1796.6353759765625,63.731,4765.03,168,840000,168
4138.07,37.1369,-1914.6807861328125,61.6015,3675.83,169,845000,169
4766.38,46.1825,-1871.9803466796875,63.4515,3668.94,170,850000,170
4882.11,55.0282,-1846.0130615234375,65.4102,4627.75,171,855000,171
4929.53,54.562,-1953.2332763671875,66.1477,4026.69,172,860000,172
5088.46,49.1908,-1994.881591796875,63.1163,4674.15,173,865000,173
4562.07,56.2619,-1997.6448974609375,67.2414,4675.53,174,870000,174
4918.22,46.3941,-1961.880126953125,62.106,4249.66,175,875000,175
4943.34,53.1447,-2036.25439453125,65.5491,4473.06,176,880000,176
4271.5,48.5846,-2041.078125,62.9219,3489.63,177,885000,177
5335.95,50.7348,-2085.634765625,65.0007,4012.88,178,890000,178
5552.51,43.5592,-2154.037109375,61.8664,4834.61,179,895000,179
5217.81,49.4807,-2176.402099609375,64.1763,4433.4,180,900000,180
4580.28,61.7093,-2249.73681640625,67.909,4442.22,181,905000,181
5508.53,53.1617,-2286.52099609375,65.4879,5217.2,182,910000,182
4928.25,57.0614,-2313.826416015625,66.5215,4550.64,183,915000,183
5517.24,57.615,-2374.158447265625,67.9743,4834.45,184,920000,184
4919.74,58.0532,-2366.96533203125,66.5319,4372.38,185,925000,185
5542.23,54.0018,-2426.909912109375,66.9575,4884.58,186,930000,186
5063.81,53.521,-2396.370849609375,66.2868,4652.26,187,935000,187
5308.22,54.511,-2554.6953125,65.8739,4525.3,188,940000,188
5233.26,58.3303,-2562.791748046875,67.6023,4713.02,189,945000,189
5100.83,61.7914,-2550.322998046875,69.5883,4368.18,190,950000,190
5181.19,59.1684,-2644.561767578125,67.2278,4473.9,191,955000,191
4976.02,48.0936,-2626.838134765625,62.8755,4412.64,192,960000,192
5032.99,44.2404,-2660.98876953125,62.5673,4158.04,193,965000,193
5562.03,64.5507,-2784.6416015625,69.2002,4705.06,194,970000,194
4462.75,58.4711,-2822.0341796875,67.748,3887.8,195,975000,195
4807.45,59.2898,-2870.4443359375,68.1823,4188.08,196,980000,196
4935.41,63.1903,-2890.987548828125,69.6441,4128.28,197,985000,197
5032.09,58.2866,-2933.751220703125,65.6086,3973.56,198,990000,198
5239.6,64.0172,-3029.42578125,69.0034,4791.15,199,995000,199
5696.63,50.7751,-2937.048583984375,64.2516,5085.99,200,1000000,200
5745.21,56.0158,-3031.35595703125,66.1518,4842.61,201,1005000,201
5071.0,55.3002,-3046.755615234375,65.4345,4274.67,202,1010000,202
4905.27,56.2075,-3082.86865234375,65.0892,3861.15,203,1015000,203
5625.72,52.7347,-3132.3408203125,64.4432,4419.21,204,1020000,204
5672.72,58.5879,-3170.343994140625,67.3363,3877.36,205,1025000,205
5465.9,62.3587,-3244.406005859375,69.3106,5014.17,206,1030000,206
5680.41,56.7194,-3307.81884765625,65.6624,4601.32,207,1035000,207
5412.78,61.7395,-3393.14501953125,68.0766,4951.6,208,1040000,208
5409.12,57.5441,-3345.635009765625,67.809,4327.89,209,1045000,209
4241.83,51.2248,-3346.8525390625,64.6838,4555.9,210,1050000,210
5373.25,63.8087,-3469.632568359375,69.446,5203.75,211,1055000,211
5265.49,59.816,-3481.866455078125,68.0185,4425.12,212,1060000,212
5685.76,50.8021,-3470.33349609375,64.1417,4788.07,213,1065000,213
4859.6,59.0661,-3552.01513671875,67.3862,4363.57,214,1070000,214
4825.06,63.7644,-3593.82275390625,69.1721,4676.63,215,1075000,215
5798.65,58.721,-3624.03369140625,66.734,4724.68,216,1080000,216
5537.4,56.6729,-3639.596435546875,65.5474,4865.36,217,1085000,217
5395.76,59.9024,-3689.32373046875,68.0206,4985.21,218,1090000,218
5333.56,63.0937,-3819.885009765625,68.9254,5192.4,219,1095000,219
5085.59,59.5568,-3815.74267578125,67.723,5220.76,220,1100000,220
4936.54,62.0566,-3861.393310546875,68.2129,5070.58,221,1105000,221
5383.19,61.917,-3898.529052734375,68.9918,4825.55,222,1110000,222
5574.62,62.8224,-4019.988037109375,68.9185,5240.92,223,1115000,223
5661.1,64.1901,-4037.12646484375,69.908,5165.35,224,1120000,224
4970.4,49.9636,-3894.814208984375,63.9232,4833.81,225,1125000,225
5138.25,61.9018,-4130.6865234375,67.1761,3501.65,226,1130000,226
5489.55,65.9105,-4224.681640625,71.6106,4990.73,227,1135000,227
4555.98,61.5544,-4161.28515625,67.1263,4597.78,228,1140000,228
5138.67,65.0648,-4251.1572265625,70.7843,4898.34,229,1145000,229
5800.21,66.258,-4330.9658203125,70.5878,5136.52,230,1150000,230
5679.74,56.0619,-4212.85107421875,65.2766,5002.77,231,1155000,231
5818.59,56.4165,-4240.2705078125,64.4105,4994.12,232,1160000,232
5303.99,54.6775,-4328.17578125,64.518,5056.78,233,1165000,233
