Running Env Steps,Real Sto Return,Real Det Return,Running Reverse KL,Reward Loss,Running Forward KL,Itration,Running Update Time
0,224.6,220.81,17.7427,-1215.7049560546875,30.4874,0,0
5000,303.95,305.39,14.811,-909.196533203125,29.2058,1,1
10000,315.41,339.5,15.8355,-1046.83837890625,29.5859,2,2
15000,341.55,323.68,15.127,-958.8200073242188,29.4583,3,3
20000,398.74,399.73,16.016,-767.34228515625,28.5785,4,4
25000,475.85,477.75,14.0764,-1104.58935546875,27.7787,5,5
30000,498.04,491.93,16.0333,-864.8004760742188,27.0494,6,6
35000,625.45,603.77,15.1578,-902.1022338867188,25.5489,7,7
40000,512.99,557.61,14.3219,-937.2894897460938,25.263,8,8
45000,655.77,632.87,15.4907,-927.3242797851562,25.4552,9,9
50000,993.75,721.28,14.8126,-967.5439453125,25.3537,10,10
55000,795.74,934.07,13.1565,-1025.4466552734375,24.4751,11,11
60000,991.73,985.23,14.8525,-1107.848388671875,24.5314,12,12
65000,979.84,1101.73,20.3112,-1606.848876953125,23.628,13,13
70000,919.84,926.21,20.196,-1604.4866943359375,24.0685,14,14
75000,747.25,756.88,21.2809,-1621.213623046875,24.3073,15,15
80000,1120.9,1097.39,19.0819,-1428.1199951171875,22.9719,16,16
85000,1180.38,1489.24,21.7843,-1412.9537353515625,22.4507,17,17
90000,1136.39,975.96,23.4599,-1706.5364990234375,23.4357,18,18
95000,1114.03,1437.18,23.7675,-1622.17333984375,22.4213,19,19
100000,1533.02,1822.12,18.9539,-1405.8485107421875,22.2571,20,20
105000,1394.27,2538.77,19.5616,-1236.490966796875,21.1388,21,21
110000,2650.1,3237.41,13.4976,-692.8104248046875,21.0053,22,22
115000,1814.96,1718.37,22.2023,-1228.4954833984375,20.0645,23,23
120000,2833.12,3172.61,12.2274,-431.7283630371094,20.9569,24,24
125000,2337.08,3296.85,14.8097,-729.7567749023438,19.651,25,25
130000,2881.19,3364.13,13.9658,-641.7437133789062,18.9303,26,26
135000,2559.99,3373.99,18.1502,-837.493408203125,19.3495,27,27
140000,2999.27,3340.1,12.2885,-240.65084838867188,19.2967,28,28
145000,1650.73,3308.83,21.0616,-1265.19775390625,19.5736,29,29
150000,1881.08,2142.71,21.9308,-1115.1737060546875,19.1359,30,30
155000,2851.36,3389.29,12.4214,-383.7559509277344,18.0952,31,31
160000,2719.23,3295.91,13.3163,-527.5993041992188,17.1282,32,32
165000,2750.64,3387.98,11.266,-420.619873046875,18.819,33,33
170000,3337.48,3313.15,12.0258,-197.26353454589844,19.312,34,34
175000,2118.24,3389.35,10.5832,-598.2346801757812,18.1294,35,35
180000,3251.6,3343.87,11.6398,-135.36790466308594,18.7823,36,36
185000,3267.59,3364.33,11.2714,-132.66481018066406,18.7838,37,37
190000,2816.73,3426.57,10.9708,-494.0927429199219,18.7506,38,38
