Running Reverse KL,Real Sto Return,Itration,Running Forward KL,Real Det Return,Running Env Steps,Reward Loss,Running Update Time
26.5166,1668.24,77,46.2003,1570.15,385000,-684.2780151367188,77
41.7816,1265.6,78,46.5095,1378.31,390000,-726.6238403320312,78
20.9902,2072.79,79,45.8826,3037.27,395000,-664.7310180664062,79
25.3904,1636.79,80,45.6453,3270.78,400000,-684.7015991210938,80
27.3993,2216.81,81,45.9793,3282.69,405000,-657.0001831054688,81
30.1218,1442.86,82,46.1433,1764.39,410000,-742.034423828125,82
17.3451,2764.88,83,45.2934,3651.78,415000,-617.8683471679688,83
19.4897,3547.09,84,46.045,3597.63,420000,-442.3108825683594,84
17.6928,3140.94,85,45.5686,3425.71,425000,-478.154541015625,85
18.0104,2135.97,86,45.6319,2368.3,430000,-704.2000732421875,86
16.2386,2414.56,87,45.4472,3314.21,435000,-619.9711303710938,87
21.8697,1931.03,88,46.0367,2145.27,440000,-699.27880859375,88
15.4539,2895.68,89,44.7669,3336.79,445000,-614.8820190429688,89
16.9564,3027.1,90,45.0445,3524.93,450000,-507.5293273925781,90
21.8153,3638.12,91,46.1773,3712.33,455000,-467.252685546875,91
18.1459,3204.71,92,44.3207,3611.85,460000,-484.8133544921875,92
18.7385,3421.77,93,45.027,2805.89,465000,-576.1029052734375,93
16.3911,2741.6,94,45.4753,2936.21,470000,-720.4879760742188,94
17.9772,3140.21,95,45.6387,3679.11,475000,-586.8939819335938,95
20.9232,3373.56,96,45.2605,3819.33,480000,-515.5699462890625,96
18.9033,3512.26,97,45.0521,3730.93,485000,-563.3134155273438,97
18.7834,3700.37,98,44.0274,3721.92,490000,-456.8541259765625,98
21.387,3342.2,99,45.1435,3161.63,495000,-618.866943359375,99
17.4121,3729.08,100,44.5546,3815.97,500000,-505.8184814453125,100
20.3785,2410.82,101,45.3861,3747.81,505000,-745.7757568359375,101
18.1692,3128.28,102,44.6864,3826.23,510000,-675.9737548828125,102
20.5879,3830.1,103,45.1262,3817.35,515000,-494.1211853027344,103
20.5212,3525.04,104,44.6002,3663.37,520000,-531.7992553710938,104
18.2869,3742.92,105,44.0927,3869.07,525000,-530.1339721679688,105
18.5098,3435.04,106,44.7472,3792.13,530000,-596.9733276367188,106
20.3395,3824.39,107,44.9658,3800.9,535000,-547.8383178710938,107
17.6727,3761.79,108,44.5747,3695.95,540000,-551.3974609375,108
18.4773,3844.41,109,43.9932,3911.63,545000,-563.4953002929688,109
18.8056,3806.21,110,45.1623,3889.85,550000,-574.7987670898438,110
18.2979,3279.97,111,43.847,3622.74,555000,-568.34375,111
19.8219,3746.38,112,44.7109,4014.24,560000,-629.4722290039062,112
18.7865,3647.27,113,43.5879,3734.53,565000,-605.920166015625,113
19.5055,3855.8,114,44.7378,3850.41,570000,-586.8323974609375,114
20.2855,3818.0,115,44.8584,3770.65,575000,-568.8738403320312,115
17.8471,3805.82,116,44.603,3810.72,580000,-633.1895141601562,116
19.8542,3544.28,117,43.9319,3925.75,585000,-620.3955688476562,117
20.3375,4009.99,118,44.3517,3932.8,590000,-562.60693359375,118
19.3171,3945.34,119,44.6545,3939.5,595000,-639.4090576171875,119
17.0043,3858.46,120,44.7999,3878.92,600000,-691.8192138671875,120
18.4124,3748.4,121,44.8423,3796.22,605000,-627.9319458007812,121
18.2304,3501.32,122,45.2471,3746.39,610000,-685.6643676757812,122
18.9171,3816.0,123,44.8418,3814.62,615000,-674.0191040039062,123
19.0777,3786.17,124,44.7968,3903.86,620000,-684.7260131835938,124
18.2845,3886.23,125,44.5497,3941.34,625000,-650.3494262695312,125
19.4556,3911.0,126,44.6394,3878.03,630000,-644.6002197265625,126
20.668,3975.18,127,44.6591,3964.38,635000,-640.2998046875,127
19.0398,3694.21,128,44.9041,3800.91,640000,-727.5092163085938,128
21.7292,3923.6,129,44.9095,3920.06,645000,-660.55078125,129
20.1539,3858.68,130,45.1537,3903.86,650000,-713.0753784179688,130
18.332,3831.39,131,44.7482,3890.45,655000,-769.6902465820312,131
20.0699,3926.82,132,44.5339,3979.03,660000,-706.1397094726562,132
19.4883,3856.12,133,45.1641,3878.59,665000,-729.9046020507812,133
17.6117,3920.79,134,43.7167,3944.43,670000,-690.0775756835938,134
20.3541,4073.38,135,44.9879,4015.23,675000,-716.0205688476562,135
20.9314,4047.58,136,44.3709,4059.57,680000,-693.53564453125,136
21.1236,4027.02,137,44.5608,4002.73,685000,-718.974609375,137
21.2248,4054.67,138,44.2898,4046.01,690000,-707.5703735351562,138
19.3655,4014.97,139,44.812,4050.94,695000,-743.0108032226562,139
18.8614,4018.4,140,44.6055,4071.41,700000,-780.9486694335938,140
18.9445,3968.97,141,44.3379,4008.95,705000,-720.5680541992188,141
18.6572,4071.39,142,44.3154,4045.62,710000,-765.070556640625,142
18.0795,3951.12,143,44.495,3907.59,715000,-767.4705810546875,143
19.5142,3997.95,144,44.0634,3967.61,720000,-739.7149047851562,144
19.2238,4032.5,145,44.0915,4062.35,725000,-752.722412109375,145
20.4697,4080.95,146,44.4843,4113.71,730000,-749.373291015625,146
24.9287,3717.86,147,44.8531,4103.56,735000,-931.6883544921875,147
20.3906,4025.6,148,44.115,4031.17,740000,-736.3463745117188,148
19.6591,4090.71,149,44.1113,4098.89,745000,-777.9702758789062,149
20.7315,4131.36,150,44.1965,4110.49,750000,-755.3010864257812,150
